기업명,주요업무,자격요건,우대사항
현대오토에버,• IOS 개발 및 안드로이드 개발 및 아키텍처 구축• : 기존 운영중인 모바일 서비스 없음• : 기존 개발된 완성차 품질 업무에 대해 모바일 서비스 아키텍처 개발 및 Agile 운영 환경 구축• : 네이티브 모바 일 앱상 동 작하는 하이브리드 앱 개발 방법론 제시.,"• 인프라 : CI/CD 파이프라인 활용• AOS : java , 코틀린• IOS : Swift• 안드로이드 와 IOS의 다년간의 경험으로 신규시스템을 구축 하고 ""모바일웹 하이브리드 웹"" 서비스의 아키텍처 및 운영 환경 제안 및 구축/리딩 역량.","• React, springBoot• 컨플루언스 , Jira 사용."
케이티밀리의서재,"이 포지션은 플랫폼기술본부 클라이언트팀 소속이에요.클라이언트팀은 서비스의 중심이 되는 밀리의서재 앱을 개발하고 관리하는 팀이에요. 앱을 중심으로 다양한 영역 확장에 적극적으로 대응하고 있어요!• 밀리의서재 iOS 앱을 개발해요.• 오디오 플레이어를 개발해요.• EPub, PDF 뷰어를 개발해요. • Unit Test, UI Test 를 도입하고 운영하는 업무를 맡아요.• 최적의 아키텍처를 제안하고 주도하는 일을 해요.","• 최소 4년 이상의 경력으로, iOS 앱을 개발한 경험을 가진 분을 찾고 있어요. • 실제 스토어에 런칭한 앱의 3년 이상 개발에 참여하고 운영한 경험이 있으신 분이 필요해요. • MVI, MVVM 설계 경험이 있으신 분을 찾아요. • 다양한 이해관계자(기획자, 디자이너 등)와 유연하게 소통할 수 있는 분을 찾고 있어요. • 뛰어난 문제해결 능력으로 이슈 사항을 끝까지 마무리하는 역량이 필요해요.","• 10만 이상의 다운로드를 가진 앱의 개발 경력을 1년 이상 경험하신 분이면 좋아요. • 플랫폼 서비스 앱을 운영한 경험이 있으면 좋아요. • AI IDE, AI CLI 툴을 실제 업무에 적용한 경험이 있는 분이면 좋아요. • firebase, sentry등의 모니터링 툴을 도입하고 운영해본 분이면 좋아요. • git flow 운영 경험이 있는 분을 선호해요. • 다양한 플랫폼, 언어 개발 경험과 습득에 유연한 분을 환영해요."
리디(RIDI),"• 네이티브 기반 사용자 앱 서비스 설계하고 개발합니다.• 서비스를 안정적으로 유지하기 위한 자동화 및 유지보수를 수행합니다.• 더 나은 서비스를 위한 새로운 기술 도입, 구조 개선, 성능 최적화 등의 다양한 시도를 합니다.",• iOS 또는 Android 프로덕트 및 피쳐 개발 경험을 해오신 분• 기술에 대한 편견 없이 프로젝트에 적합한 기술을 사용하여 개발하는 것을 선호하시는 분.,"• 6개월 이상의 자사 서비스 유지보수 경력이 있으신 분• 플랫폼(iOS or Android) 고유의 특성에 대한 이해• 프로세스 자동화나 지속 가능하고 효율적인 유지보수에 대해 고민하고 시도하시는 분• 성능 최적화 및 더 나은 사용성을 위해 끊임없이 고민하고 연구하시는 분• MVVM, Clean Architecture 등 다양한 디자인 패턴에 고민하고 연구하시는 분• React 또는 React Native를 활용한 개발 경험이 있으신 분• 콘텐츠 소비나 서비스 개발을 즐기시는 분• 자유로운 근무환경에서 스스로의 목표와 일정을 관리할 수 있으신 분• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받으시는 분• 맡은 작업에 대한 오너십을 갖고, 이를 완성시키는 일에 열정이 있으신 분."
왓챠,"• 왓챠, ​숏챠, 왓챠피디아 ​내 ​iOS ​의 모든 개발을 ​다루게 ​됩니다.",• iOS 앱 ​개발 경력 ​2년 ​이상• Swift 를 ​자신 있게 ​사용할 ​수 있는 분• Apple의 ​Human Interface ​Guidelines를 잘 이해하시는 분• 동료와 함께 배우고 성장하는 과정을 즐기시는 분• 다양한 직군과 원활하게 협업할 수 있는 커뮤니케이션 능력을 갖추신 분.,"• Combine, Swift Concurrency, SwiftUI에 대한 이해• Architecture에 대한 경험 (MVVM, VIPER, Clean Architecture 등)• iOS 기반의 여러 플랫폼 경험 환영 (iPadOS, tvOS, WatchOS)• HLS(HTTP Live Streaming)에 대한 이해• 앱을 직접 출시한 경험이 있으신 분• 개발 뿐 아니라 UI, UX, 기획에 대한 욕심과 센스가 있으신 분• AI 기술을 활용해 개발 생산성을 개선한 경험이 있으신 분."
빗썸,• 빗썸 APP 개발.,"• iOS 앱 개발 경력 3년 이상 보유하신 분• Swift, SwiftUI, Combine을 활용한 개발 경험이 있으신 분• 코드 품질과 성능 개선에 관심이 많고, 지속적으로 학습하며 성장하시는 분• 원활한 커뮤니케이션 능력과 책임감을 바탕으로 협업에 적극적이신 분.","• 대규모 B2C 서비스 개발 및 운영 경험이 있으신 분• 긴급 상황이나 이슈 대응에 유연하고 침착하게 대처하실 수 있는 분• 코드 리뷰와 기술 공유에 적극적으로 참여하며 팀 성장에 기여하실 수 있는 분• 최신 iOS 기술 동향을 빠르게 파악하고, 새로운 기술 도입을 즐기시는 분."
트리플콤마(골드스푼),"• Flutter 를 사용하여 ‘재팬’ 앱 서비스 개발• 백엔드 개발자와 커뮤니케이션하며 모바일 앱 설계• 신규 기능 개발, 지속적인 개선, 더 높은 퍼포먼스를 위한 고도화.","• 모바일앱 1년 이상 혹은 그에 준하는 실력을 보유한 분• Flutter/Dart 기반 모바일 앱 개발 경험• 상태관리 Riverpod 활용 경험• RESTful API 활용하여 서비스 개발 경험이 있으신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분(일본 시장 중심 서비스 특성상, 일본어 활용 경험이 있으시거나 관심이 있는 분을 환영합니다.).","• 일본 시장 서비스나 콘텐츠에 익숙한 분• 일본어로 기본적인 커뮤니케이션이 가능한 분 (비즈니스 수준 우대)• 글로벌 환경에서 협업 경험이 있으신 분• 프로젝트를 처음부터 끝까지 참여하고 운영까지 경험해 본 분• Android 또는 iOS 환경에 대한 높은 이해도를 보유하신 분• 새로운 기술을 접하는데 주저함이 없는 분• 다양한 플랫폼 개발 경험을 가지신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분• 안정적이고 퍼포먼스 높은 앱을 개발하기 위해 지속적으로 학습하시는 분."
토스플레이스,• 매장 운영의 기본이 되는 토스 포스(POS) iOS/iPadOS 앱을 더 좋은 제품으로 개선해요.• Go 언어로 작성된 멀티플랫폼 SDK를 토스 포스 앱에서 사용할 수 있도록 적용해요.• 모바일 포스 환경에 필요한 새로운 기능을 만들어요.,"• iOS 개발 경력 3년 이상에 준하는 실력을 보유한 분이면 좋아요.• iOS 개발 역량을 중심으로, 멀티플랫폼에 관심을 갖고 새로운 기술을 탐구하고 적용하는 것에 즐거움을 느끼시는 분과 함께하고 싶어요.• 특정 기술 스택이나 프레임워크의 지식보다 탄탄한 기본기, 논리적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요.• 서로 다른 직군과 협업할 수 있는 커뮤니케이션 능력이 필요해요.• WKWebView를 통해 Native와 Web 기능을 통합하여 제품을 개발한 경험이 있으면 좋아요.","[이력서는 이렇게 작성하시는 걸 추천해요]• ‘이 서비스는 내가 정말 애정을 갖고 개발했다’는 경험이 있다면 알려주세요.• 기술적으로 어려웠지만 끝까지 파고들어 해결한 경험이 있다면, 어떻게 해결했는지와 임팩트를 작성해주세요.• 주도적으로 사용자 경험을 개선하기 위해 해본 노력이 있다면 알려주세요.[토스플레이스가 사용하는 기술]• Multi-module App, Micro Feature Architecture• Swift Concurrency, Combine• WebKit, AutoLayout, XCTest• Fastlane, Tuist, SPM• Golang."
컬리,컬리 iOS 앱 개발.,"• 8년 이상의 iOS 앱 개발 경력 혹은 그에 준하는 실력을 보유한 분 • UI/UX에 대한 높은 이해와 사용자 중심의 개발 경험을 보유한 분• SwiftUI 개발 경험이 있으신 분 • 테스트 코드 작성 경험 서버-클라이언트 간 데이터 통신(REST API 등) 설계 및 연동 경험이 있는 분• A/B 테스트, 실험 플랫폼 연동 경험 Amplitude, Braze 개발 경험이 있는 분.","• e-Commerce 도메인에 대한 깊은 이해 및 관심이 있으신 분• 생성형 AI를 적극 활용하여 개발 생산성과 기술 경쟁력을 향상시키고, 문제해결/고부가가치 업무로의 전환 등 업무 방식을 개선하는 데 관심이 있으신 분 • 앱 아키텍처 설계 역량이 높으신 분• 앱 안정성 및 성능 최적화를 위해 개선 경험이 풍부하신 분• CI/CD(Github Action 등) 구축 및 운영 경험이 있으신 분• 팀원과 협업 개발 및 코드 리뷰 경험이 있으신 분."
뱅크샐러드,"[뱅크샐러드 iOS 엔지니어는 아래와 같은 업무를 수행합니다.]• 뱅크샐러드의 네이티브 기능 개발을 진행합니다.• 뱅크샐러드의 주요 제품인 홈, 자산, 가계부 화면의 기능을 개발 및 개선합니다.• Push Notification, 딥링크 관련 기능을 개선하여 유저가 뱅크샐러드의 각 기능을 쉽고 빠르게 접근할 수 있도록 합니다.• Web과 Native 간의 interface를 유지보수하여 WebView 기반의 서비스를 안정적으로 운영할 수 있도록 합니다.• 프로젝트 내 동일 관심사를 갖는 코드의 모듈화 작업을 진행합니다.• iOS Chapter 내 코드리뷰에 참여하여 코드 퀄리티 향상에 기여하고, 기술 토론을 통해 Best Practice 를 논의하여 개발 생산성을 향상시킵니다.[아래의 기술 스택(툴)을 주로 활용합니다.]• 비동기 프로그래밍 : Swift Concurrency, RxSwift, Combine• UI 레이아웃 : SnapKit, SwiftUI• 디자인 패턴 : MVVM• 테스팅 : SwiftTesting, XCTest• 빌드 자동화, 의존성 관리 : Github. Action, Fastlane, Tuist, SPM, Cocoapods• Clean Architecture 를 추구합니다.","• iOS 개발경험이 2년 이상이거나 그에 준하는 실력을 보유하고 있으셔야 합니다.• Swift 언어에 대한 높은 이해도를 기반으로 제품을 개발 및 출시한 경험이 필요합니다.• 비동기 프로그래밍 (eg. RxSwift, Combine)의 경험이 필요합니다.• 앱 아키텍처에 대해 고민하고 적용했던 경험이 있으셔야 합니다.• MVVM, MVI 등의 디자인패턴을 적용해본 경험이 필요합니다.• Apple Human Interface Guidelines에 대한 이해가 필요합니다.• Zeplin, Figma, ProtoPie 등 하나 이상의 디자인 협업 도구를 이용한 협업 경험이 필요합니다.• 다양한 Crash-Reporting, Analytics 도구들을 이용하여 문제를 분석하고 해결할 수 있어야 합니다.• 프로젝트에서 필요한 외부 라이브러리를 적절한 요구조건에 맞게 선택하고 검증 및 적용할 수 있어야 합니다.• 컴퓨터 공학의 기초 지식에 대한 이해를 바탕으로 한 응용 시스템 설계 능력이 요구됩니다.","• CI/CD 설계 및 유지보수 경험이 있는 분을 우대합니다.• 모듈화 등을 통해 전반적인 프로젝트 관리 및 유지보수성을 높인 경험이 있으면 더욱 좋습니다.• Instrument 등을 사용하여 디버깅 난이도가 높은 이슈를 해결한 경험이 있으면 더욱 좋습니다.• JIRA, Notion 등 하나 이상의 협업 도구를 이용한 협업 경험이 있으면 좋습니다.• 100만 이상의 MAU를 가진 상용 서비스 개발 경험이 있다면 더욱 좋습니다.• 고객 피드백을 통한 실험 가설을 설정하고, A/B Test 등의 실험을 통한 검증 경험이 있다면 더욱 좋습니다.• 하위 호환을 고려한 대규모의 Architecture Migration 경험이 있다면 더욱 좋습니다.• 서비스의 핵심 시나리오에 대한 Automated UI Test 구축 경험이 있는 분과 함께하고 싶습니다.• 오픈소스 프로젝트에 기여한 경험을 우대합니다.• 내 작업물을 문서나 외부 공유용 (Readme, 블로그 등) 으로 기록하고 업데이트 하는 습관을 가지신 분이면 더욱 좋습니다.• 새로운 기술이나 개발 패러다임에 관심있고 꾸준히 학습하는 분이면 더욱 좋습니다."
중고나라,[입사 후 맡게 될 주요 업무에요]• Flutter 기반으로 중고나라 iOS/Android 앱을 개발하고 유지보수해요.• 사용자 경험 개선을 위한 UI/UX 구현과 최적화를 진행해요.• RESTful API를 연동하고 효율적인 상태 관리를 구현해요.• 앱 성능을 최적화하고 안정성을 강화하며 코드 리뷰에 참여해요.,[이런 분과 함께하고 싶어요]• 3년 이상의 앱 개발 경력 또는 이에 준하는 경험을 가지신 분이 필요해요.• iOS/Android 플랫폼에 대한 이해가 있으신 분이 필요해요.• RESTful API 연동 개발 경험이 있으신 분이 필요해요.• Git/GitHub를 활용한 협업 경험이 있으신 분이 필요해요.• 앱 UX/UI에 대한 높은 이해도를 가지신 분이 필요해요.,"[이런 경험이 있다면 더 좋아요]• Riverpod, GetX 등 상태관리 라이브러리를 사용해 본 경험이 있으면 좋아요. • 클린 아키텍처, MVVM, MVC 등 디자인 패턴을 적용해 본 경험이 있으면 좋아요. • Android 또는 iOS 네이티브 개발 경험이 있으면 좋아요. • 앱 성능 최적화 및 메모리 관리 경험이 있으면 좋아요. • CI/CD 파이프라인 구축 및 운영 경험이 있으면 좋아요. • E-Commerce(특히 C2C) 서비스 개발 경험이 있거나 관심이 많으면 좋아요."
