기업명,주요업무,자격요건,우대사항
빗썸,"• React를 이용하여 빗썸내 다양한 서비스들의 프론트엔드 개발• 회원, 입출금, 관리자 시스템 개발 및 운영• PHP로 개발된 시스템을 React로 전환• 다양한 이슈와 장애에 대응하고 시스템 점진적 개선 작업.","• React, TypeScript 경험이 있으신 분• 항상 배우고 학습하고자 하는 의지가 있으신 분• 동료를 존중하고 팀의 가치를 중요시 하시는 분.",• 프로젝트 혹은 팀을 리딩한 경험이 있으신 분• 공통 로직를 개발하고 운영한 경험이 있으신 분• 어려운 문제를 깊게 파고들어 고민하고 해결한 경험이 있으신 분.
커넥트웨이브,"[합류 시 함께 하게 될 업무에요]• 메이크샵 솔루션의 다양한 기능을 개발해요• 메이크샵 솔루션의 기존 기능을 안정적으로 운영하고, 유지 보수해요.","[저희는 이런 분과 함께 하고 싶어요]• 백엔드 개발 2년 이상 7년 이하 경험을 보유하신 분• Node.js / Nest.js / TypeScript 기반 개발에 익숙하거나 관심이 깊은 분• RESTful API, 비동기 처리, 모듈 구조 설계 등에 관심과 이해가 있는 분• 클린코드와 보안코딩에 관심이 있고 코드 품질 개선을 즐기는 분.","[다음과 같은 자격을 갖고 계시면 더욱 좋아요]• PHP 또는 유사한 서버사이드 언어 경험이 있는 분• 대용량 데이터 처리나 API 성능 최적화 경험이 있는 분• 프론트엔드와 협업하며 전체 서비스 흐름을 이해할 수 있는 분 (Next.js, JavaScript, jQuery, HTML/CSS 등)• 쇼핑몰, 커머스, 주문·결제 연동 등 실서비스 도메인 경험이 있는 분."
문피아,• 문피아 플랫폼 신규 기능 개발 및 유지보수• 레거시 시스템 분석 및 개선을 위한 아키텍쳐 설계와 포팅.,"• Java/Kotlin & Spring Framework 5년 이상 경험한 개발자• RESTful API 설계 및 개발경험• MySQL 대용량 DB 성능 개선 및 설계 경험• Linux, Apache, Tomcat 환경에 대한 전문성 보유• 문제 해결 능력과 비개발직군과의 커뮤니케이션 능력• 긍정적 사고 및 끝없는 성장을 지향하시는 분.",• 디지털콘텐츠(웹소설/웹툰) 매니아• 레거시 코드를 최신 기술로 성공적인 리팩토링을 해 본 경험• 개발 언어의 진입 장벽이 낮다고 생각하는 분• PHP & Laravel Framework 개발 경험자• 서비스의 성능 문제를 진단하고 해결하거나 개선한 경험이 있는 분• 보안 관련 시스템 개발 경험 및 ISMS에 대해 이해.
머스트핀테크,• WordPress(PHP) 기반 고객사 시스템 운영 및 유지보수• 메타 데이터 구조 기반의 데이터 관리 및 커스터마이징• 고객사별 기능 개선 요청 분석 및 반영• 외국인 개발자와 협업하여 프론트엔드 보완 작업 수행• 신규 프로젝트(NestJS + Next.js) 개발 참여.,"• 백엔드 개발 경력 1~3년(php, Java, Nodejs 등 1~3년차에 준하는 개발 경험)• PHP(WordPress) 기반 서비스 유지보수 경험• 객체지향 및 절차지향 프로그래밍 이해• HTML/CSS/JavaScript 퍼블리싱 수정 가능• Git 등 버전관리 툴 사용 경험• Slack, Jira 등 협업 관리 툴 사용 경험.","• 금융·핀테크 서비스 개발 경험• 비동기 처리(Async) 및 외부 API 연동 경험• TypeORM, NestJS, Next.js 사용 경험• 글로벌 협업 경험(영어 커뮤니케이션 가능)• Old 스타일 퍼블리싱 및 커스터마이징 경험."
지란지교소프트,"팀에 합류하시면 주로 이런 일들을 하시게 됩니다.-API 개발: Laravel로 REST API를 만들고, 다른 서비스/외부 시스템과 연동합니다.-인증/보안: OAuth2, 토큰 관리, 권한 체크 같은 로그인·보안 기능을 안정적으로 구현합니다.-코드 품질: 리팩터링, 테스트 코드 작성, 아키텍처 패턴 적용으로 깔끔하고 유지보수 쉬운 코드를 만듭니다.-성능 최적화: 쿼리 최적화, 캐시/Redis, 비동기 처리(Queue)로 빠른 서비스를 유지합니다.-데이터 모델링: DB 테이블 설계, 마이그레이션, 트랜잭션 관리 등 데이터 구조와 흐름을 책임집니다.-운영/모니터링: 로그, 알림, 장애 모니터링으로 안정적인 서비스 운영을 지원합니다.-AI 연동: AI API를 백엔드에 붙여서 프론트엔드·고객이 쓸 수 있도록 제공합니다.-팀 협업: 기획/디자인/프론트엔드와 협업하며, GitHub MR 리뷰 + CI/CD로 배포합니다.","이런 경험과 역량을 갖고 계신 분을 모시고 있습니다.-경력: 2년차 이상 백엔드 개발자-언어/프레임워크: PHP, Laravel 기반 개발 경험 또는 학습 경험이 있는 분-API 개발: RESTful API 설계·구현 경험자, 또는 관련 프로젝트 경험이 있는 분-데이터베이스: MySQL/PostgreSQL 등 관계형 DB, NoSQL 사용 경험 (ERD 이해 가능자)-협업/도구: Git 사용 경험, 협업 도구(JIRA, Confluence, Slack 등) 활용 가능자-커뮤니케이션: 기획/디자인/프론트엔드와 원활히 협업할 수 있는 분.","이런 것도 있으시면 금상첨화 입니다!-최신 개발 스택과 기술 트렌드를 학습하고 실무에 적용해본 경험-문제를 스스로 정의하고 솔루션을 제안·실행해본 경험-웹 보안 원칙을 이해하고 프로젝트에 적용한 경험-AWS, Azure, Docker 등 클라우드 플랫폼 및 컨테이너 기술 활용 경험."
아토모스,• Back-end API 개발 및 유지보수.,• PHP/Laravel 5년 이상 (PHP v8.4 / Laravel v12)• AWS 사용 경험자• Github 사용 경험자• Restful API 개발 경험자• MVC 아키텍처 패턴을 이해한 자.,"• AWS 사용 경험자 (ec2, rds, route53, s3, cloudfront, lambda, gateaway, ecr, ecs, eck 등)• Laravel Forge, Vapor 사용 경험자• DevOps 능력자• 대용량 트래픽 개발 경험자• Database Sharding, Partitioning 개발 경험자."
코웨이,"- 임베디드 GUI 프레임워크 사용 개발 경력 - C/C++ 기반 임베디드 소프트웨어 개발 중급 이상 - FreeRTOS, Linux 시스템 및 어플리케이션 개발 경력 - 해외 출장 결격 사유가 없는 분 - 새로운 기술 습득이나 선행적인 프로젝트를 선호하시는 도전적인 분.","- 임베디드 GUI 프레임워크 사용 개발 경력 - C/C++ 기반 임베디드 소프트웨어 개발 중급 이상 - FreeRTOS, Linux 시스템 및 어플리케이션 개발 경력 - 해외 출장 결격 사유가 없는 분 - 새로운 기술 습득이나 선행적인 프로젝트를 선호하시는 도전적인 분.","- LCD 탑재 제품 개발 경험 - C/C++ 기반 사용자 서비스 어플리케이션 개발 경험 - 임베디드 GUI 솔루션(QT, LVGL 등) 개발 경험 - IoT 제품 개발 및 양산 프로세스 지원 경험 - 영어 회화 가능 - Cursor AI 프로그램 사용 경험 - Git, Jira 등 협업툴 사용 경험."
우주프로퍼티매니지먼트,• 자사 웹사이트 개발 및 유지 관리• 백오피스 개발 및 유지 관리• API 연동 및 데이터 처리.,"• PHP 실무 경력 2년 이상• Codeigniter, Laravel 등 Framework 개발이 가능하신 분• LAMP 환경 개발이 가능하신 분• 웹 개발 : HTML 및 웹 기반 화면 개발이 가능하신 분 (ex. Javascript, jQuery 등)• Ajax / JSON 기반 API 통신을 통한 데이터 활용이 가능하신 분• Git, Figma, Slack, Notion, Google Drive 등을 통해 협업이 가능하신 분• 기획자, 디자이너와 소통하며 원활한 협업이 가능하신 분.","• AI를 활용한 개발 경험이 있으신 분• Bootstrap 등 CSS 라이브러리 활용 경험이 있으신 분• swiper.js, chart.js 등 JS 라이브러리 활용 경험이 있으신 분• ES6 문법에 대한 이해가 있으신 분• 인터랙션 또는 마이크로인터랙션 활용 경험이 있으신 분• Git branch 활용 및 commit convention에 익숙하신 분• Open API를 활용한 개발 경험이 있으신 분• SEO에 대한 이해가 있으신 분• AWS를 활용한 클라우드 환경에 익숙하신 분."
쏘카(SOCAR),"• 프론트엔드 기술 전략을 수립• 최신 기술 도입과 운영 안정성 사이에서 균형 잡힌 아키텍처 설계• 웹 프론트엔드 제품 전반 책임 및 사용자 경험 중심 의사결정 주도• 운영 효율성 향상을 위한 백오피스 및 내부 도구를 설계·개선 및 다양한 조직 업무 지원• 기존 시스템의 한계를 극복하기 위한 레거시 코드와 아키텍처 개선• 팀이 더 효율적으로 일할 수 있도록 개발 환경, 프로세스, 협업 문화 개선 진행.","• 팀 리딩 또는 리더십 경험이 3년 이상 있는 분• 10년 이상의 웹 프론트엔드 개발 경험을 보유하신 분• 문제를 스스로 정의하고 해결 방안을 제시할 수 있는 주도성을 가진 분• 다양한 직군과 협업하며 투명하고 열린 커뮤니케이션으로 팀을 이끌 수 있는 분• 동료 개발자의 성장을 돕고, 팀 전체의 성과를 함께 만들어가는 데 보람을 느끼시는 분• 모던 프론트엔드 프레임워크 생태계와 아키텍처 설계에 대한 폭넓은 이해와 경험이 있는 분모바일 앱(WebView) 환경과 네이티브 연동에 대한 이해와 경험이 있는 분.","• 조직 운영의 관점에서 개발 문화, 협업 프로세스, 성과 관리 체계를 개선해 본 경험이 있는 분• 빠르게 변하는 환경 속에서 팀의 목표와 방향성을 설정하고 실행으로 이끌어 본 경험이 있는 분• 마이크로프론트엔드 아키텍처나 대규모 애플리케이션을 설계·운영한 경험이 있는 분• 클라우드 환경에서의 배포·운영, 컨테이너 기반 파이프라인, CI/CD 자동화 경험이 있는 분• 개발·운영·지원팀 등 다양한 내부 사용자를 고려한 복잡한 백오피스(어드민)를 처음부터 설계하고 구축한 경험이 있는 분• 디자인시스템을 직접 구축하거나 운영하며 고도화한 경험이 있는 분• A/B 테스트를 설계·운영하며 데이터 기반으로 기능 효과를 검증하고 의사결정을 주도하는 분."
키즈노트,"• 키즈노트 스토어, 혜택, 커뮤니티 BE 서비스 기능 고도화 및 유지보수.",• 10년 이상 백엔드 개발 및 운영 실무 경험 • PHP 기반 커머스 개발 실무 경험 • Django 백엔드 개발 실무 경험 • Rest API에 대한 설계 및 개발 실무 경험 • SQL Database에 대한 충분한 이해와 실무 경험 • 대용량 트래픽 처리 경험 • 인프라 지식이 어느 정도 있으신 분 • 리드 개발자로서 팀을 이끌어본 경험.,"• 대용량 트래픽 상용 서비스 개발 경험이 있는 분 • 디자인 패턴, 리팩토링 지식 및 경험 있는 분 • 프로그래밍 관련 대회 수상 경력 • SQL 쿼리 튜닝 및 퍼포먼스 측정 가능하신 분 • 화이트 해커 • 버그 바운티 경험 • 오픈소스 컨트리뷰터 • 대회 입상 또는 기술 블로그 운영, 컨퍼런스 발표 경험."
