기업명,주요업무,자격요건,우대사항
빗썸,"• 기존 / 신규 웹 & 모바일 서비스의 웹표준 마크업 개발 진행• 디자인 시안 및 UX 기획안을 바탕으로 UI 구현코드 리뷰, 성능 최적화, 최신 FE 기술 적용• 성능 및 재사용을 고려한 UI Component 개발.","• React기반의 UI 개발(마크업) 실무 경력이 3년 이상인 분• 웹 기본 구조 이해 및 웹 개발에 대한 전문적인 지식 보유하신 분• 접근성, 웹 표준에 대한 심도 깊은 이해를 보유하신 분• 다양한 서비스 환경에서의 HTML, CSS, javascript 개발 경험이 있으신 분• Web 기술에 적합한 UX/UI에 대한 감각을 바탕으로 다양한 협업관계와의 원활한 커뮤니케이션이 가능한 분.","• 웹사이트 최적화 관련 성능 문제 진단/해결이 가능하신 분• 새로운 기술에 관심이 많고 성장을 위해 노력하시는 분• PHP 환경에 퍼블리싱 작업을 경험해보신 분• Git, Wiki, Jira 등 협업에 필요한 도구를 잘 이해하시는 분• UI 라이브러리 개발 경험이 있으신 분• 디자인 시스템 구축 및 운영 경험이 있으신 분."
틸다,"Metheus 팀의 FE Engineer는 다음과 같은 역할을 맡고있습니다.• 고객 요구사항을 바탕으로 화면 기획과 인터랙션 흐름을 구성합니다.• 데이터를 시각화하거나 복잡한 상태를 관리할 수 있는 UI 컴포넌트를 구현합니다.• API를 연동하고, 클라이언트와 서버 간의 데이터 흐름을 안정적으로 관리합니다.• 서비스 운영 과정에서 발생하는 UI 버그나 오류를 수정하고 기능을 개선합니다.• 여러 실무자들과 협업하여 기능을 구현하고 검수합니다.FE Engineer Intern 포지션은 위 업무의 보조 및 일부 기능 개발을 담당하게 됩니다.","• JavaScript를 이용한 프로젝트 개발 경험이 있으신 분 (React, Next.js 등)• 컴포넌트 간 구조를 체계적으로 설계하고, 재사용성을 고려해 UI를 구성하시는 분• 협업을 위한 열린 자세와 논리적인 의사소통 능력을 갖추신 분• 회사와 함께 성장하고자 하는 의지가 있으신 분.","• 서비스의 개발부터 배포까지 전체 라이프사이클을 주도적으로 수행한 경험이 있는 분• 브라우저 개발자 도구를 활용해 네트워크, 성능 문제를 분석하고 해결한 경험이 있는 분• 테스트 코드 작성 또는 테스트 도구 활용 경험이 있는 분 (Jest, Vitest, Playwright 등)• 디자인 시스템을 구축하거나 운영해본 경험이 있는 분• 일관된 코드 품질 유지를 위한 리뷰나 컨벤션 문화 경험이 있는 분• AI 분야 또는 스타트업에서 개발 경험이 있는 분• 특정 기술 스택에 얽매이지 않고, 새로운 도전과 학습을 즐기며 문제 해결 중심의 사고방식을 가진 분• 오픈소스 프로젝트에 코드 기여 및 커뮤니티 활동을 수행한 경험이 있는 분."
코니바이에린,• 자사몰 웹 사이트 리뉴얼• 자사몰 웹 페이지 퍼블리싱_메인 페이지/서브 페이지/상세 페이지/프로모션&이벤트 페이지• 자사몰 유지 보수.,"• 이커머스 자사몰 웹 퍼블리싱 경력 5년 이상• HTML, CSS, JavaScript, jQuery에 대한 깊은 이해를 바탕으로 완성도 높은 페이지를 구현할 수 있는 분• 웹 표준/웹 접근성/반응형 웹/브라우저 호환성 등을 고려한 마크업 구현 및 개선 역량• 웹 사이트 모니터링을 통해 UI/UX 개선 사항을 발굴하고 기능 개선을 제안, 구현할 수 있는 탁월한 웹 퍼블리싱 역량• 웹 퍼블리싱 트렌드, 기술에 대해 능동적으로 학습하고 실무에 적용하실 수 있는 분• 디자인, 세일즈, 마케팅 등 유관부서 담당자와 긴밀한 협업을 통해 성과를 만들어 내실 수 있는 분• 담당 업무를 주도적으로 추진하며 목표를 달성하는 오너십, 프로젝트 리더십• 높은 업무 정확도와 빠른 업무 추진력, 멀티태스킹 및 텍스트 커뮤니케이션 역량.","• 카페 24, 쇼피파이 환경에서의 퍼블리싱 경험을 보유하신 분• 주요 소비재/커머스 브랜드 퍼블리싱 경력을 보유하신 분• 패션, 육아 관련 브랜드에 대한 이해도가 높으신 분• 프런트엔드 개발 경험을 보유하신 분• 임신/출산/육아 경험이 있으신 분."
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""• 미리캔버스의 새로운 기능들을 개발합니다. • lazy loading, fine grained reactivity 등 여러 기술을 활용하여 성능을 향상 시킵니다. • 애니메이션을 적용해 유저 경험을 높입니다. • 테스트 코드를 작성하여 서비스의 신뢰도를 높입니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• 뛰어난 웹 서비스 개발 역량을 가진 분• 뛰어난 React, CSS 역량이 있으신 분• Intersection Observer 를 비롯한 다양한 브라우저 API 를 활용하여 직관적인 코드를 짤 수 있는 분• UI/UX 을 고려하여 개발해본 경험이 있으신 분• 성능 최적화 경험이 있으신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• 확장 가능하고 유연한 인터페이스 설계 경험이 있는 분• framer motion, gsap 같은 애니메이션 툴을 활용해본 경험이 있으신 분 • 라이브러리를 만들어본 경험이 있거나, 다양한 라이브러리를 많이 사용해본 경험이 있으신 분 • 테스트 코드 작성 경험이 있으신 분 • 이벤트 처리에 대한 깊은 이해가 있으신 분 (zustand, jotai, RxJS) | 미리디에서 활용하는 기술 스택미리캔버스 웹&에디터 팀은 최신 기술을 적극적으로 도입하며, 팀원들과 함께 최적의 스택을 고민하고 적용합니다.• 코어: React, Typescript, Next.js• 상태관리: jotai, React-Query• 스타일링: styled-components• 빌드: Turborepo, Vite, Webpack, Rollup• CI/CD: GitHub Actions| 이력서에 이런 내용을 함께 공유해주시면 좋아요!• 단순히 어떠한 기술을 사용할 줄 아는지 에 대한 내용보다, 다양한 기술을 어떻게 활용하여 어떠한 문제를 해결했는지 경험에 기반하여 서술해주시면 좋아요.• 지원자님의 경력 중 가장 임팩트 있었던 경험이나, 큰 실패를 극복한 과정에 대해 공유해 주세요.• 오픈소스 라이브러리 기여 경험이나, 코드 분석 후 적용 경험이 있다면 알려 주세요.• 팀의 생산성을 저하시키는 문제를 발굴하고 개선한 경험이 있다면 서술해주시면 좋아요."
씨드로닉스,"• React 기반 Front-end 개발· 실시간 스트리밍, 지도 시각화, 영상 분석 등 복합 UI 구성· 대용량 실시간 데이터 스트림 처리 및 시각화 최적화※산업기능요원 지원 가능.","• 3년 이상의 React 기반 SPA/SSR 웹 서비스에 대한 개발 및 운영 경력· JavaScript 및 ES6+ 문법에 대한 깊은 이해· 서버 상태관리 도구를 사용하여 서버 상태를 관리한 경험· 프로젝트 상태관리 도구에 대한 이해 및 활용 경험· 자료구조, 네트워크, 운영체제, 알고리즘 등 CS 전반에 대한 이해.","(우대) WebSocket, Socket.IO, WebWorker 등 실시간 처리 경험(우대) Canvas / WebGL / SVG 기반 애니메이션 또는 시각화 경험(우대) 관제 시스템, 대시보드, 실시간 데이터 기반 UI 개발 경험(우대) Openlayers, Mapbox, Leaflet 등의 도구를 사용한 지도 UI 개발 경험(우대) 웹 서비스 성능을 측정하고 개선한 경험."
포켓컴퍼니,"주요고객사 시스템 유지보수 및 자사 서비스 개발디자이너 및 개발자와 협업하여 웹 표준/웹 접근성에 기반한 퍼블리싱반응형/적응형 웹 구현• AWS 인프라 및 백엔드, 보안 전담 개발자와 긴밀하게 협업하며 다양한 기술 스택을 경험할 수 있습니다• 본인의 역량과 관심사에 따라 인프라, 백엔드, 보안 등 관련 분야로의 커리어 확장이 가능합니다.","관련 경력 4년 이상Vue, React 등의 프론트엔드 프레임워크 사용 경험HTML5, CSS3, JavaScript에 대한 높은 이해크로스 브라우징 및 반응형 웹 퍼블리싱 경험디자이너 및 프론트/백엔드 개발자와의 협업 경험.",웹 성능 최적화에 대한 이해cafe24 기반 쇼핑몰 제작경험.
기웅정보통신,"• 빌메이트(Billmate) 솔루션 기능 개선 및 유지보수 · 운영 이슈 분석 및 장애대응 (로그 점검, 오류 원인 분석, Hotfix 수행) · 고객사 커스터마이징 및 설치형(On-Premise) 환경 지원 · Java 웹 서비스 유지보수 및 신규 기능 개발 · Tomcat + MSSQL 기반 서버 운영 및 성능 최적화 · 배포 자동화 및 소스형상관리(Git, Jenkins) 환경 지원 · 업무 요구사항 분석 및 시스템 개선 기획 참여.","• Java /JSP 기반 웹 개발 경험 1년 이상(사원~대리) · Tomcat, MSSQL, Linux 환경 서비스 운영 경험 · Git, Jira, Jenkins 등 협업·형상관리 툴 사용 경험 · 웹 표준 및 MVC 패턴 구조에 대한 이해 · REST API, SQL 튜닝, 로그 분석 경험.","• Spring/전자정부 표준 프레임워크(eGovFrame) 실무 경험 · 기업용 시스템 개발 경험 (ERP, 회계, 전자결재, 지출결의 등) · 계산서 발행, 보안·인증, 전자서명 모듈 연동 경험자 · 문제 해결 및 커뮤니케이션 능격 우수자."
피엑스디(pxd),• 브랜드 및 서비스 사이트의 지속적인 운영과 관리• 디자인/기획/개발 등 유관 팀과의 협업을 통한 콘텐츠 수정 및 유지보수• 접근성·웹 표준·브라우저 호환성 등을 고려한 마크업 구현 및 개선.,"• HTML, CSS, JS• 웹 표준/시멘틱 마크업• 웹 접근성• 유관 경력 4년 이하.",• CMS에서의 사이트 운영 및 유지보수 경험이 있으신 분• 반응형 웹 구현 경험이 있으신 분• 원활한 협업 및 커뮤니케이션 가능하신 분• 각종 법령에서 우대 채용으로 정하는 분.
오케스트로,"[입사 후 담당할 업무를 안내드립니다]• 오케스트로 그룹은 빠른 성장을 기반으로 동일한 직무라도 다양한 업무를 담당하고 있습니다.• 상세한 업무에 대한 내용은 아래 링크를 통해 확인해주세요.＞ 상세 직무 확인 링크 : https://buly.kr/YfPBMR[걱정하지 마세요]• 오케스트로 그룹은 보다 다양한 부서, 다양한 업무를 경험하실 수 있는 환경을 조성하고 있으며, 인터뷰에서 보여주신 역량과 경험을 토대로 최적의 부서로 배치 제안을 드립니다.",• 업무 별 자격요건은 상세 링크를 참고 부탁 드리겠습니다.,• 업무 별 우대사항은 상세 링크를 참고 부탁 드리겠습니다.
미스릴,"웹 기반 서비스 프론트엔드 UI/UX 개발 및 고도화, 유지보수React, Vue 등 SPA 프레임워크 기반 프론트엔드 개발API 연동 및 비동기 데이터 처리 구현반응형 웹/크로스브라우징 대응 UI설계.","웹 프론트엔드 개발 경력 1년 이상 경력을 보유하신 분React, Vue, Angular, svelte 등 SPA 프레임워크 사용에 능숙하신 분Git 등 기본적인 협업도구를 사용하는데 익숙하신 분.",
