기업명,주요업무,자격요건,우대사항
현대오토에버,• IOS 개발 및 안드로이드 개발 및 아키텍처 구축• : 기존 운영중인 모바일 서비스 없음• : 기존 개발된 완성차 품질 업무에 대해 모바일 서비스 아키텍처 개발 및 Agile 운영 환경 구축• : 네이티브 모바 일 앱상 동 작하는 하이브리드 앱 개발 방법론 제시.,"• 인프라 : CI/CD 파이프라인 활용• AOS : java , 코틀린• IOS : Swift• 안드로이드 와 IOS의 다년간의 경험으로 신규시스템을 구축 하고 ""모바일웹 하이브리드 웹"" 서비스의 아키텍처 및 운영 환경 제안 및 구축/리딩 역량.","• React, springBoot• 컨플루언스 , Jira 사용."
잠바구니,"• SNS형 숙박 플랫폼 웹 신규 기능 개발(Next.js)• 소셜 피드 시스템 구현 (여행 콘텐츠 타임라인, 실시간 Q&A, 추천 알고리즘 UI)• 포인트 리워드 시스템 프론트엔드 구축 (적립/사용 내역, 포인트 대시보드)• 실시간 알림 시스템 구현 및 사용자 인터랙션 최적화• 제휴점 관리 시스템 - 숙박업체 파트너를 위한 예약관리, 정산, 통계 백오피스• CMS/관리자 시스템 - 콘텐츠 모더레이션, 포인트 정책 설정, 사용자 관리 도구 개발• 데이터 시각화 - 사용자 행동 분석, 매출 통계, 커뮤니티 활성도 대시보드• API 연동 및 최적화 - RESTful API 통신 최적화 및 에러 핸들링 구현• 기획, 디자인, 백엔드팀과 애자일 방식의 스프린트 진행• 기술 스택 선정 및 아키텍처 개선 제안.","• Next.js 사용 경험• 상태관리 아키텍처 설계 (React Query + Zustand 조합)• React Hook Form, Zod 등을 활용한 폼 밸리데이션 구현• ES6+ 문법 및 최신 JavaScript 패턴 활용• 웹 성능 최적화 (번들 사이즈, 렌더링 최적화, 코드 스플리팅)• Github Flow 기반 협업 및 PR 코드 리뷰 문화 경험• 포트폴리오 필수 (GitHub, 배포된 서비스, 기술 블로그 중 택 1).","• Next.js 심화:• SSR/SSG/ISR 전략적 활용 및 성능 최적화• App Router 마이그레이션 및 Server Components 활용• Middleware 구현• 모바일 개발:• 웹뷰와 네이티브 브릿지 통신 구현• React Native Expo/CLI 프로젝트 운영• CodePush를 통한 OTA 업데이트 경험• iOS/Android 스토어 배포 프로세스 이해• SNS/커뮤니티 플랫폼 개발:• 피드 가상화(Virtual Scrolling) 및 인피니트 스크롤 최적화• WebSocket/SSE 기반 실시간 기능 구현• 이미지 최적화 및 CDN 활용• 소셜 로그인 및 공유 기능 연동• 시스템 설계:• FSD(Feature-Sliced Design) 아키텍처 설계 및 적용 경험• Storybook 기반 컴포넌트 문서화• 테스트 자동화 (Jest, React Testing Library, Cypress)• 컴퓨터공학 또는 관련 전공자• Notion, Jira, Slack 활용한 비동기 협업."
테서,"• 온톨 어플리케이션 프론트엔드 개발 (React Native)• 온톨 병원용 SaaS 프론트엔드 개발 (React.js, Next.js)• 환자 중심 AI 의료 플랫폼과 병원 검진센터 B2B SaaS 솔루션의 프론트엔드를 개발합니다.• 환자용 모바일 앱 개발 및 운영 (React Native)• 병원 검진센터 대상 웹·데스크톱 솔루션 개발 및 운영 (React.js, Next.js, Electron)• Socket, SSE 등을 활용한 실시간 통신 기능 구현 및 안정적 운영• 서비스 도메인 기반 UI/UX 설계 및 디자인 토큰, Storybook 기반 디자인 시스템 구축·운영• 빌드·배포 자동화, 성능 모니터링, 장애 대응을 통한 서비스 안정성 및 개발 생산성 향상.","• TypeScript, React 기반 웹 서비스 개발 경험• React Native 기반 모바일 앱 개발 경험• Next.js를 활용한 프로덕션 레벨의 웹 서비스 개발 경험• Zustand, TanStack Query를 활용한 상태 관리 및 비동기 데이터 흐름 설계 경험• styled-components를 활용한 컴포넌트 스타일링 경험• Git 기반 협업 및 브랜치 전략에 대한 이해.","• GraphQL 기반 API 설계 및 연동 경험• Monorepo 환경에서의 개발 경험 (패키지 구조 관리, 공유 모듈 활용, 빌드·배포 전략 포함)• 디자인 토큰 및 Storybook을 활용한 디자인 시스템 구축·운영 경험• CI/CD 파이프라인 구축 및 배포 자동화 경험 (GitHub Actions, Fastlane 등)• Electron 기반 크로스플랫폼 애플리케이션 개발 경험• 웹·모바일 성능 최적화 경험 (렌더링 최적화, 메모리 관리, 번들 사이즈 최적화 등)• 개발 경험(DX) 개선 및 프로세스 자동화를 통한 팀 생산성 향상 경험• 의료 도메인에 대한 높은 관심과 이해."
트리플콤마(골드스푼),"• Flutter 를 사용하여 ‘재팬’ 앱 서비스 개발• 백엔드 개발자와 커뮤니케이션하며 모바일 앱 설계• 신규 기능 개발, 지속적인 개선, 더 높은 퍼포먼스를 위한 고도화.","• 모바일앱 1년 이상 혹은 그에 준하는 실력을 보유한 분• Flutter/Dart 기반 모바일 앱 개발 경험• 상태관리 Riverpod 활용 경험• RESTful API 활용하여 서비스 개발 경험이 있으신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분(일본 시장 중심 서비스 특성상, 일본어 활용 경험이 있으시거나 관심이 있는 분을 환영합니다.).","• 일본 시장 서비스나 콘텐츠에 익숙한 분• 일본어로 기본적인 커뮤니케이션이 가능한 분 (비즈니스 수준 우대)• 글로벌 환경에서 협업 경험이 있으신 분• 프로젝트를 처음부터 끝까지 참여하고 운영까지 경험해 본 분• Android 또는 iOS 환경에 대한 높은 이해도를 보유하신 분• 새로운 기술을 접하는데 주저함이 없는 분• 다양한 플랫폼 개발 경험을 가지신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분• 안정적이고 퍼포먼스 높은 앱을 개발하기 위해 지속적으로 학습하시는 분."
페이히어,• 페이히어 사용자와 연동되는 모든 내/외부 서비스를 개발합니다. • React 혹은 React Native를 활용하여 앱/웹 서비스를 개발합니다.• 보다 나은 사용자 경험을 목표로 사용성 개선 및 최적화를 진행합니다.• 프론트엔드 서비스 전반에 걸친 공용 컴포넌트를 개발하고 개선합니다.• 생산성 향상을 위해 개발 환경을 개선합니다.,"• React 혹은 React Native 개발 및 운영 경험이 4년 이상 이거나 그에 준하는 개발 경험이 있으신 분을 찾습니다.• HTML, CSS, JavaScript에 대한 깊은 이해가 있으신 분을 찾습니다.• 프로젝트의 한 사이클(서비스 설계부터 구축, 출시까지)을 경험해보신 분을 찾습니다.• 개발 문화에 대해 이해하고 고민해보신 분을 찾습니다.",• Typescript 경험이 있으시면 더욱 좋습니다.• 모듈 번들러를 능숙하게 사용하시는 분이시면 더욱 좋습니다.• 금융/핀테크 및 커머스 서비스를 개발하고 운영해본 경험이 있으시면 더욱 좋습니다.
토스플레이스,• 매장 운영의 기본이 되는 토스 포스(POS) iOS/iPadOS 앱을 더 좋은 제품으로 개선해요.• Go 언어로 작성된 멀티플랫폼 SDK를 토스 포스 앱에서 사용할 수 있도록 적용해요.• 모바일 포스 환경에 필요한 새로운 기능을 만들어요.,"• iOS 개발 경력 3년 이상에 준하는 실력을 보유한 분이면 좋아요.• iOS 개발 역량을 중심으로, 멀티플랫폼에 관심을 갖고 새로운 기술을 탐구하고 적용하는 것에 즐거움을 느끼시는 분과 함께하고 싶어요.• 특정 기술 스택이나 프레임워크의 지식보다 탄탄한 기본기, 논리적 사고력과 추론 능력 그리고 실제 코드 구현 능력을 중요하게 생각해요.• 서로 다른 직군과 협업할 수 있는 커뮤니케이션 능력이 필요해요.• WKWebView를 통해 Native와 Web 기능을 통합하여 제품을 개발한 경험이 있으면 좋아요.","[이력서는 이렇게 작성하시는 걸 추천해요]• ‘이 서비스는 내가 정말 애정을 갖고 개발했다’는 경험이 있다면 알려주세요.• 기술적으로 어려웠지만 끝까지 파고들어 해결한 경험이 있다면, 어떻게 해결했는지와 임팩트를 작성해주세요.• 주도적으로 사용자 경험을 개선하기 위해 해본 노력이 있다면 알려주세요.[토스플레이스가 사용하는 기술]• Multi-module App, Micro Feature Architecture• Swift Concurrency, Combine• WebKit, AutoLayout, XCTest• Fastlane, Tuist, SPM• Golang."
뱅크샐러드,"[뱅크샐러드 iOS 엔지니어는 아래와 같은 업무를 수행합니다.]• 뱅크샐러드의 네이티브 기능 개발을 진행합니다.• 뱅크샐러드의 주요 제품인 홈, 자산, 가계부 화면의 기능을 개발 및 개선합니다.• Push Notification, 딥링크 관련 기능을 개선하여 유저가 뱅크샐러드의 각 기능을 쉽고 빠르게 접근할 수 있도록 합니다.• Web과 Native 간의 interface를 유지보수하여 WebView 기반의 서비스를 안정적으로 운영할 수 있도록 합니다.• 프로젝트 내 동일 관심사를 갖는 코드의 모듈화 작업을 진행합니다.• iOS Chapter 내 코드리뷰에 참여하여 코드 퀄리티 향상에 기여하고, 기술 토론을 통해 Best Practice 를 논의하여 개발 생산성을 향상시킵니다.[아래의 기술 스택(툴)을 주로 활용합니다.]• 비동기 프로그래밍 : Swift Concurrency, RxSwift, Combine• UI 레이아웃 : SnapKit, SwiftUI• 디자인 패턴 : MVVM• 테스팅 : SwiftTesting, XCTest• 빌드 자동화, 의존성 관리 : Github. Action, Fastlane, Tuist, SPM, Cocoapods• Clean Architecture 를 추구합니다.","• iOS 개발경험이 2년 이상이거나 그에 준하는 실력을 보유하고 있으셔야 합니다.• Swift 언어에 대한 높은 이해도를 기반으로 제품을 개발 및 출시한 경험이 필요합니다.• 비동기 프로그래밍 (eg. RxSwift, Combine)의 경험이 필요합니다.• 앱 아키텍처에 대해 고민하고 적용했던 경험이 있으셔야 합니다.• MVVM, MVI 등의 디자인패턴을 적용해본 경험이 필요합니다.• Apple Human Interface Guidelines에 대한 이해가 필요합니다.• Zeplin, Figma, ProtoPie 등 하나 이상의 디자인 협업 도구를 이용한 협업 경험이 필요합니다.• 다양한 Crash-Reporting, Analytics 도구들을 이용하여 문제를 분석하고 해결할 수 있어야 합니다.• 프로젝트에서 필요한 외부 라이브러리를 적절한 요구조건에 맞게 선택하고 검증 및 적용할 수 있어야 합니다.• 컴퓨터 공학의 기초 지식에 대한 이해를 바탕으로 한 응용 시스템 설계 능력이 요구됩니다.","• CI/CD 설계 및 유지보수 경험이 있는 분을 우대합니다.• 모듈화 등을 통해 전반적인 프로젝트 관리 및 유지보수성을 높인 경험이 있으면 더욱 좋습니다.• Instrument 등을 사용하여 디버깅 난이도가 높은 이슈를 해결한 경험이 있으면 더욱 좋습니다.• JIRA, Notion 등 하나 이상의 협업 도구를 이용한 협업 경험이 있으면 좋습니다.• 100만 이상의 MAU를 가진 상용 서비스 개발 경험이 있다면 더욱 좋습니다.• 고객 피드백을 통한 실험 가설을 설정하고, A/B Test 등의 실험을 통한 검증 경험이 있다면 더욱 좋습니다.• 하위 호환을 고려한 대규모의 Architecture Migration 경험이 있다면 더욱 좋습니다.• 서비스의 핵심 시나리오에 대한 Automated UI Test 구축 경험이 있는 분과 함께하고 싶습니다.• 오픈소스 프로젝트에 기여한 경험을 우대합니다.• 내 작업물을 문서나 외부 공유용 (Readme, 블로그 등) 으로 기록하고 업데이트 하는 습관을 가지신 분이면 더욱 좋습니다.• 새로운 기술이나 개발 패러다임에 관심있고 꾸준히 학습하는 분이면 더욱 좋습니다."
이지케어텍,"• 자사 의료정보시스템 BESTCare, EDGE&NEXT 등과 연동되는 애플리케이션 개발 및 유지보수• 의료진·환자용 앱(UI/UX) 개발 및 병원 업무 프로세스 모바일화 추진• 의료데이터 연동(API, FHIR 등) 및 실시간 정보 조회 기능 개발• 신규 기능 기획·설계·개발 및 성능 개선• 클라우드 환경(AWS, OCI, Private Cloud 등) 기반 모바일 서비스 배포 및 운영 자동화• 사용자 피드백을 반영한 UI/UX 개선 및 품질 고도화.","• 경력 2년 이상• 모바일 앱 개발 경력 (Flutter, Android, iOS)• Dart, Kotlin, Java, Swift, Objective-C 중 1개 이상 숙련• RESTful API, JSON, WebSocket 등 서버 연동 개발 경험• Git, Jira, Jenkins 등 협업·형상관리 툴 사용 경험• 의료정보시스템 또는 기업형(엔터프라이즈) 앱 개발 경험• 의료정보시스템 또는 기업형(엔터프라이즈) 앱 개발 경험.","• Flutter, React Native 등 Cross-platform Framework 활용 경험자• 의료기관용 모바일 서비스(의사 처방, 간호 업무, 환자 포털 등) 개발 경험자• 엔터프라이즈 환경의 폐쇄망, 온프레미스, 클라우드 인프라 환경 경험자• UI/UX 설계, 디자인 시스템 이해 및 사용자 경험 중심 개발 역량 보유자• 보안 인증, 개인정보 보호 등 모바일 보안정책 적용 경험자• 의료정보 표준(FHIR, HL7 등) 및 API 연동 이해자."
이팝소프트(말해보카),"합류 후 이런 업무를 함께 담당하게 돼요.① 말해보카 앱의 다양한 기능을 개발하고 기존 기능을 고도화합니다.• AI 기반 학습 로직, 퀴즈 시스템, 음성 인식 등 다양한 기능을 설계 및 구현합니다.• 사용자 맞춤형 경험 제공을 위한 UI/UX 개선 및 성능 최적화를 담당합니다.• 신규 학습 콘텐츠와 게임화 요소를 개발합니다.② 클라이언트 및 서버를 아우르는 풀스택 개발 업무를 담당합니다.• 피처 단위의 Task를 나누어, 하나의 기능을 처음부터 끝까지 책임지고 개발합니다.• TypeScript 하나로 클라이언트와 서버를 개발합니다.• 데이터 흐름을 이해하고, API 설계부터 클라이언트 연동까지 일괄적으로 수행합니다.③ 서비스의 안정성과 확장성을 고려한 시스템을 설계합니다.• 사용자 증가에 대비한 성능 최적화 및 코드 구조 개선 업무를 담당합니다.• 클라우드 환경(AWS 등)에서의 서비스 운영 및 배포 자동화 업무를 지원합니다.• 최신 기술 트렌드를 적용하고, 코드 품질 향상을 위한 지속적인 개선 업무를 담당합니다.________________________________________________.","이런 경험을 보유하고 계신 지원자를 찾고 있어요.① 말해보카 풀스택 개발자는 경력보다 개발 역량과 문제 해결 능력을 더 중요하게 생각합니다.• 실무 경험이 많지 않더라도, 서비스를 깊이 이해하고 논리적으로 사고하며 개발하실 수 있는 분• 복잡한 로직을 체계적으로 정리하고, 최적의 해결책을 고민하는 능력을 보유하신 분② 어떤 언어든 논리적으로 이해하고, 빠르게 적응할 수 있는 분을 찾습니다.• 주 개발 언어 외에도 언어에 국한되지 않고 프로그래밍 개념과 원리를 잘 이해하시는 분• 새로운 언어나 기술 스택을 배우는데 거부감이 없고 적응력이 뛰어나신 분③ 복잡한 서비스 로직 개발과 유지보수 경험을 보유하신 분을 찾습니다.• 다양한 기능이 유기적으로 연결된 애플리케이션을 설계하고 개선해 본 경험을 보유하신 분• 모듈화, 리팩토링, 테스트 작성, 지속적인 개선 등에 대한 이해도가 있으신 분________________________________________________.",이런 경험이 있다면 더욱 좋아요.• Unity 엔진 또는 Cocos Creator를 이용한 게임의 UI 및 2D 개발에 익숙하신 분________________________________________________.
밍글랩,"• 런즈 및 런즈 티처스 사용자 인터페이스와 백오피스를 개발하고, 유지보수해요. 2. TypeScript, React Native, Next.js 기반의 프론트엔드 환경을 구축하고 개선해요.3. GraphQL 기반 Apollo 클라이언트를 활용해 효율적으로 데이터를 연동해요.4. 디자이너, 기획자, 백엔드 개발자와 긴밀히 협업하며, 사용자 경험 중심의 제품을 만들어가요.5. 빠르게 실험하고, 코드 품질과 구조를 꾸준히 개선해요.[개발 스택]Frontend: TypeScript, React, Next.js (App Router / Pages Router), React Native, Apollo (GraphQL)CI/CD: GitHub ActionsWorkspace: Slack, GitHub, Figma.","• 실제 사용자 대상 서비스를 기획부터 개발, 프로덕션 환경에 배포 및 운영까지 전 과정을 경험해 보신 분2. 협업을 좋아하고, 문제 해결 과정에서 의견을 적극적으로 나누는 분3. 사용자 입장에서 생각하고, 코드로 더 나은 경험을 만드는 걸 즐기는 분.",• 컴퓨터공학(CS) 학사 학위(또는 동등한 실무 경험)을 보유한 분 2. Claude Code를 활용해 개발 효율을 높여본 경험이 있는 분 3. AI 없이도 좋은 품질의 코드를 작성할 수 있는 분. 4. 백엔드 실무 경험이 있는 분 5. 디자인 시스템 구축 경험이 있는 분.
