기업명,주요업무,자격요건,우대사항
우아한형제들(배달의민족),"• 전사 BI 통합 개발 및 운영 관리• 서비스/분석/리포팅을 포괄하는 DW·DM 설계 및 개발• 비즈니스 요구 사항을 기반으로 핵심 지표(KPI) 정의• 정의된 지표 기반의 데이터 모델링 및 시각화 대시보드 개발 (Tableau, Superset 등)• BI 성능 최적화 및 사내 셀프 서비스 BI 환경 운영 지원.","• End-to-End 경험: 기획개발운영까지의 전 과정 독립 수행 경험을 보유한 분• SQL 기반 정합성 검토 및 지표 추출 역량을 보유한 분• Tableau, Superset 등 시각화 툴 실무 경험을 보유한 분• 뛰어난 커뮤니케이션 및 문서화/운영 역량을 보유한 분.","• 단독 또는 주요 도메인 과제 리딩 경험을 보유한 분• 서비스 기획/PM과 분석 업무 병행 경험을 보유한 분• 운영 체계 안정화 경험을 보유한 분 (가이드, 요청 흐름 정의, 산출물 기준 수립 등)[개발환경]• 인프라 : AWS EMR, Bigquery• 데이터파이프라인 : aiflow, Spark, Trino, Python, SQL• 시각화 : Tableau, Superset."
컬리,"커머스, 물류, 고객 행동 로그 등 마켓컬리 전반의 데이터를 집계 및 가공하여 데이터 마트 개발/운영대시보드 및 슬랙 알림 등 다양한 데이터 프로덕트 개발 및 운영데이터 카탈로그 구축 및 유지보수, 표준화 등 데이터 거버넌스 업무 수행.","관련 경력 5년 이상 보유하신 분GCP 등 클라우드 기반 인프라 환경 경험이 있으신 분SQL 및 Python을 활용한 데이터 처리 및 서비스 개발 경험이 있으신 분Airflow 등 워크플로우 관리 도구의 개발 및 운영 경험이 있으신 분데이터 마트 구축 및 운영 경험이 있으며, 분석 목적에 맞춘 데이터 모델링이 가능하신 분.","Tableau, Looker 등의 BI 도구를 활용한 데이터 시각화 경험이 있으신 분Git을 활용한 버전 관리 및 협업 경험, Airflow 기반 데이터 파이프라인 구축 경험이 있으신 분자동화된 데이터 품질 검사(Quality Check) 경험을 보유한 분."
뤼튼테크놀로지스,"• 뤼튼의 투자자와 커뮤니케이션 함에 있어서, 필요한 데이터 제공을 수행합니다.• 뤼튼에서 운영중인 제품 (뤼튼, 크랙, 캬라푸)에 대한 현황과 비전에 대한 데이터이며, 이를 원활히 제공하기 위해서, 해당 기준에 맞는 마트 설계를 수행합니다.• 단순히 마트 설계 및 운영 뿐 아니라, 실질적인 투자자 리포트 자동화에 대한 고민도 함께 하게 됩니다.• 본 포지션은 Airflow, Git 활용 능력을 필수적으로 요구합니다.",• 2년 이상의 Airflow를 활용한 데이터 파이프라인 오케스트레이션 및 관리 경험이 있으신 분• Dimensional Modeling 기반의 데이터 모델링 설계 및 구축 경험이 있으신 분• 비즈니스 성과 지표에 대한 깊이 있는 이해와 이를 데이터로 연결하는 능력이 있으신 분• 데이터 거버넌스 원칙에 대한 이해 및 실제 적용 경험이 있으신 분.,• BigQuery 환경에서의 데이터 처리 및 분석 경험이 있으신 분• DBT를 활용한 데이터 마트 관리 경험이 있으신 분• 제품 분석 또는 IR데이터 공급 경험이 있으신 분• Git을 통한 협업 개발 경험이 있으신 분.
콘센트릭스서비스코리아CATALYST,"• 신규 고객 발굴 및 영업 기회 창출: 잠재 고객사를 발굴하고, BI 솔루션 도입을 통한 비즈니스 개선 기회를 파악하여 신규 사업 제안• 고객 비즈니스 분석 및 컨설팅: 고객의 비즈니스 환경과 요구사항(KPI, 데이터 현황 등)을 깊이 있게 분석, 최적의 BI 솔루션 아키텍처 설계 및 제안• 솔루션 제안 및 시연 (PoC & Demo): Tableau, Power BI 등 BI visualization tool을 활용, 고객 데이터를 기반으로 한 PoC 및 데모• 프로젝트 수주 및 관리: 제안서 작성, 견적 산출, 계약 협상 및 체결까지 세일즈 전 과정 주도.• 고객 관계 관리: 기존 고객과의 신뢰 관계 구축, 추가적인 비즈니스 기회 창출 및 장기적인 파트너십 유지.","• BI 솔루션 경험: Tableau, Power BI 등을 활용한 대시보드 개발 및 데이터 시각화 프로젝트 경험 (3년 이상)• IT 세일즈/컨설팅 경력: IT 솔루션(특히 데이터, SW) 분야에서의 영업, 프리세일즈, 또는 컨설팅 경력 (3년 이상)• 데이터 이해도: 데이터베이스(SQL), 데이터 웨어하우스(DW), ETL 등 데이터 관련 기본 지식 및 경험 보유• 커뮤니케이션 능력: 복잡한 비즈니스 및 데이터 문제를 명확하게 이해, 고객 눈높이에 맞춰 설명할 수 있는 탁월한 커뮤니케이션 및 프레젠테이션 스킬• 문제 해결 능력: 고객의 비즈니스 과제를 데이터 기반으로 해결하려는 논리적 사고 및 적극적인 문제 해결 능력.",• 장애인 우대 채용하고 있는 포지션입니다. 지원서에 관련 내용 기재해 주시면 적극 반영할 예정입니다.또한 관련 규정에 따라 입사시 별도의 수당이 지급되오니 이 점도 참고 부탁드립니다.
인포유앤컴퍼니,• Power BI를 이용한 분석 보고서 개발• 데이터의 기본 이해를 통한 모델 설계 및 개발• 고객사 상주 운영 업무 또는 프로젝트 수행.,"• Tableau, Power BI 등 시각화 개발 2년차• 데이터에 대한 이해도.",• Public Cloud 경험이 있으신 분• ERP System 개발/운용 경험이 있으신 분.
밀버스,"• Salesforce Data Cloud 기반 고객 데이터 통합 및 운영• 데이터 모델 설계 및 데이터 매핑, 품질 관리• 외부 채널/솔루션과의 데이터 연동 설계 및 운영• Salesforce 솔루션을 통한 CRM 비즈니스 서포트• Prep Builder 및 Python-Apache Airflow 기반 데이터 파이프라인 설계 · 구축 · 운영과 레거시 데이터 소스 연동을 위한 중계 서버 설계 및 운영.","• 유관 경력 3년 이상• Salesforce Data Cloud 프로젝트 수행 및 운영 경험이 있으신 분• SQL 활용 능력 및 데이터 처리/분석 역량을 보유하신 분- 데이터 모델링, 데이터 정합성 관리 및 대규모 데이터 처리 경험이 있으신 분• 마케팅, 세일즈, 서비스 등 Salesforce 솔루션과의 연계 이해도가 높으신 분• 원활한 커뮤니케이션 및 협업 역량을 보유하신 분.","• Salesforce 자격증을 보유하신 분• 데이터 관련 Tool 사용 경험을 보유하신 분(SQL, Python, Tableau 등)• CRM, DMP, CDP 등 고객 데이터 플랫폼 관련 실무 경험이 있으신 분• Prep Builder 및 Python-Apache Airflow를 활용한 데이터 파이프라인 구축/운영 및 레거시 데이터 소스 연동 경험이 있으신 분."
리스큐어바이오사이언시스,∙ Multi-omic 데이터 분석 및 해석∙ 미생물 기반 빅데이터 플랫폼 개발.,∙ 석사학위자 이상∙ Bioinformatic analysis에 능숙한 자∙ 관련경력 2년 이상 경력.,∙ 미국 소재 대학 졸업자(박사학위자) 및 Post Doc 경험자∙ 해외 바이오 AI관련 회사 개발 경험자.
해긴,"게임의 지표를 정의하고 데이터 웨어하우스(DW) 설계 및 관리데이터를 직관적으로 이해할 수 있도록 대시보드 개발• 게임 내 이상 데이터 추적 및 데이터 가공, 통계 개발• 게임별 ETL 프로세스 운영 및 데이터 파이프라인 설계/구축• 데이터 모델 설계 및 최적화를 통해 비즈니스 요구 사항에 맞는 데이터 제공• SQL, Python 등을 활용하여 필요한 데이터 추출 및 가공• 비즈니스 인사이트 도출을 위한 데이터 시각화 및 레포팅 작업• 유관 부서와의 협업 및 데이터 결과 공유를 위한 커뮤니케이션 및 문서화 작업.","• 게임 관련 데이터 가공 및 분석 경험• SQL, Python 등을 이용한 데이터 처리가 능숙하신 분• 데이터 파이프라인 설계/구축 및 ETL 프로세스 운영해 보신 분• 여러 팀과 원활한 협업을 위한 커뮤니케이션 스킬을 갖추신 분.","• 게임업계 경력이 있으신 분• Snowflake, PowerBI 사용 경험이 있으신 분• 통계 및 프로그래밍 관련 전공자이신 분• DB/SQL 쿼리 최적화 경험이 있으신 분• 머신러닝 및 AI에 대한 기본적인 이해가 있으신 분• 사업 분석 및 의사결정에 필요한 데이터 분석 능력이 있으신 분• 데이터베이스 관리 및 데이터 모델링에 대한 심화 지식이 있으신 분• 데이터베이스 관리 및 데이터 모델링에 대한 심화 지식이 있으신 분."
피엠인터내셔널코리아,"• 데이터 수집 및 정제• 회원 매출, 커미션, 탈퇴, 세미나 정보 등 다양한 출처의 데이터를 수집• 데이터의 정확성과 일관성을 확보하기 위한 데이터 정제 및 전처리 수행2. 데이터베이스 관리• 실무 모델 개발을 위한 SQL/NoSQL 모델 설계 및 구현• 대규모 데이터베이스(SQL 및 NoSQL) 관리 및 최적화• 데이터베이스 보안 유지 및 접근 권한 관리3. 데이터 분석• 수집된 데이터를 분석하여 성공적인 TP(Top Performer)의 행동 패턴 분석• Tableau, Power BI 등의 시각화 도구를 활용한 데이터 분석 결과를 시각적으로 표현 4. AI 모델 개발• 성공적인 TP의 베스트 프랙티스를 도출하기 위한 예측 분석 및 머신러닝 모델 개발 • 세미나 정보 및 커뮤니케이션 내용 분석을 위한 자연어 처리(NLP) 기술 활용5. 보고 및 전략 제안• 분석 결과를 바탕으로 비즈니스 전략 제안• 경영진 및 관련 부서에 분석 결과 보고 및 데이터 기반 의사결정 지원6. 지속적인 개선• 분석 모델의 성능을 주기적으로 모니터링하고 개선• 최신 데이터 분석 및 AI 기술 학습 및 적용.","• 학사 이상의 학력을 소지하신 분• 데이터 분석, 통계학, 컴퓨터 공학 등 관련 분야에서 학사 학위 이상을 소지하신 분• 영어 의사소통 능력이 뛰어나신 분.","• 데이터 분석 및 머신러닝 분야에서 5년 이상의 경력을 보유하신 분• 네트워크 마케팅 또는 유사 분야에서 데이터 분석 경험을 보유하신 분• Python, R 등 데이터 분석 언어에 능숙하신 분• Tableau, Power BI 등 데이터 시각화 도구 사용 경험이 있으신 분• 자연어 처리(NLP), 머신러닝 및 예측 분석 경험이 있으신 분• SQL 등을 활용한 대규모 데이터베이스 구축 및 관리 경험이 있으신분• AWS, Azure 등 클라우드 컴퓨팅 환경에서의 업무 경험이 있으신 분• 우수한 문제 해결 능력과 분석적 사고를 갖추신 분• 원활한 커뮤니케이션 및 협업 능력을 지니신 분• 성과 중심적 및 창의적인 사고와 문제 해결 능력을 갖추신 분• 최신 AI 기술 및 트렌드에 대한 이해를 갖추신 분• 프로젝트 관리 경험을 보유하신 분."
씨제이올리브영(CJ올리브영),"[유닛 소개]코어플랫폼유닛 - ①카탈로그서비스 / ②회원서비스 / ③인벤토리서비스 ""고효율 플랫폼""의 핵심 엔진을 개발하고 최적화합니다.올리브영 코어플랫폼유닛은 이커머스 옴니채널 비즈니스의 핵심 자산인 상품, 회원, 프로모션, 물류/재고 데이터를 통합 관리하며, 플랫폼의 효율성과 확장성을 책임지는 중요한 역할을 수행합니다. 깊이 있는 기술적 전문성과 풍부한 경험을 바탕으로, 안정적이고 성능 뛰어난 Back-End 시스템을 구축하고 운영하며, 미래 성장을 위한 혁신적인 기술 도입을 주도할 숙련된 Back-End 엔지니어를 찾습니다. 핵심 비즈니스 로직을 효율적으로 설계하고 구현하여 올리브영의 지속적인 성장에 기여할 전문가를 기다립니다.• 핵심 비즈니스 로직 (상품 관리, 회원 관리, 프로모션, 캠페인, 재고 관리 등) 개발 및 운영• Java 또는 Kotlin 기반의 Spring Framework를 활용한 애플리케이션 개발• JPA, Hibernate 등 ORM을 이용한 효율적인 데이터 모델링 및 관리• 대규모 트래픽 및 데이터 처리를 위한 시스템 설계 및 최적화• 시스템의 안정성, 확장성, 성능 향상을 위한 지속적인 기술 검토 및 개선.","• 4년 이상의 Application 개발 경력 보유• Java 또는 Kotlin 중에 숙련된 개발 경험 보유• Spring Framework 기반의 Application 개발 경험• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험.",• 새로운 기술을 익히고 도메인 지식을 쌓는 것을 좋아하시는 분• e-commerce 분야에서 개발경험이 있으신 분• 틀에서 벗어난 사고를 하고 기존 지식에 도전하기 좋아하시는 분• 어떤 문제든 끝까지 파고들어 해결하시는 분.
