기업명,주요업무,자격요건,우대사항
펄어비스,"• 게임 인프라 시스템 구축 및 서비스 운영 관리• 시스템 모니터링, 분석, 자동화 등 서비스 운영툴 구성 및 운영• 자사의 오피스, IDC 인프라, Cloud 구축 및 운영• 사내 업무 시스템 구축 및 운영시스템 엔지니어 직무에 대해 자세히 알고 싶다면 아래 링크를 통해 확인해 주세요!(펄크루트): https://www.youtube.com/watch?v=JKjuRuxI4WU.",• 대학(원) 기졸업자 또는 졸업 예정자• 남성 지원자의 경우 군필자 또는 군 면제자• 해외여행에 결격 사유가 없는 자.,"• 업무 관련 학과 전공자 (컴퓨터공학과 등)• OS (Windows, Linux), Network, Database 기본 지식 보유자• 프로그래밍 언어 활용 가능자 (Python, Powershell, Bash, Javascript 등)• Public Cloud 경험자."
빗썸,"• 월렛 시스템과 블록체인 노드를 안전하게 격리하고 보호하기 위해, VPC, Subnet, Security Group, VPN 등을 활용한 보안 중심의 네트워크 아키텍처를 설계하고 운영합니다.• 24/7 중단 없는 입출금 서비스를 위해 Multi-AZ/Region을 활용한 고가용성 및 재해 복구아키텍처를 주도적으로 설계하고 구축합니다.• 개발자들이 안정적으로 서비스를 운영할 수 있도록 Kubernetes(EKS/GKE) 클러스터를 설계, 구축하고 네트워킹(CNI) 및 보안 정책을 수립합니다.• Terraform을 중심으로 모든 인프라 자원을 코드로 관리(IaC)하여, 반복 가능하고 일관성 있는 인프라 환경을 구축하고 고도화합니다.• 수백 대의 노드와 서버 리소스 사용량을 모니터링하고, 비즈니스 요구사항과 안정성을 고려한 비용 최적화 방안을 수립하고 실행합니다.","• 클라우드(AWS/GCP) 환경에서 인프라 아키텍처를 주도적으로 설계, 구축, 운영해 본 경험을 보유하신 분• IaC(Infrastructure as Code) 도구(특히 Terraform)를 활용한 인프라 관리 경험을 보유하신 분• 네트워크(TCP/IP, VPC, Subnet, LB, Firewall, VPN)에 대한 깊이 있는 이해를 보유하신 분• Kubernetes(EKS/GKE) 클러스터 설계 및 구축/운영 경험을 보유하신 분• Linux 시스템 엔지니어링 및 트러블슈팅 역량을 보유하신 분.","• 클라우드 환경에서의 고가용성 및 재해 복구 아키텍처 설계/구축에 대한 깊이 있는 전문성• Kubernetes 네트워킹(CNI) 및 보안(Network Policy 등)을 포함한 심층적인 클러스터 설계/운영 경험• 클라우드 네이티브 보안(IAM, WAF, KMS, Security Group 등)에 대한 깊은 이해 및 아키텍처 적용 경험• 핀테크, 거래소 인프라 또는 실제 블록체인 풀노드 운영 인프라를 다뤄본 경험• 초기 구축 단계에서 시스템 전체를 조망하며, 주도적으로 최적의 아키텍처를 제안하고 구축하는 역량• 비즈니스 요구사항과 비용 효율성을 모두 고려하여 인프라를 설계하고, 개발팀과 원활하게 소통하는 능력[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
페이타랩(패스오더),"【페이타랩 프로덕트팀】프로덕트팀은 패스오더 유저와 점주님을 연결하며 고객지향적인 프로덕트를 만드는 팀이에요. 프로덕트의 성장을 위해 각 팀에서 실현하고자 하는 수많은 아이디어와 프로젝트를 유기적인 의사소통을 통해 흡수하고 구현해내고, 이를 위해 불필요하고 복잡한 업무 프로세스를 지양하며 실행 중심의 효율적인 업무 문화를 갖고 있어요.“개발의 마지막 관문”이라는 마음가짐으로 안정적이면서도 혁신을 일으킬 수 있는 프로덕트를 개발하기 위해 수단과 방법을 가리지 않고 학습하고 실행하는 팀이에요. 프로덕트 매니저, 프로덕트 디자이너, 데브옵스 엔지니어, 개발자 등 프로덕트를 실현하는 과정 자체에서 즐거움을 느끼는 사람들과 그 이상으로 비즈니스 임팩트가 가장 중요하다는 점에 공감하는 사람들이 모여있어요.■ 풀스택 개발자 철님과 명규님의 패스오더 설립 과정이 궁금하다면? https://paytalab.notion.site/18631bd26cb647558e83fb608733c00c?pvs=4■ 페이타랩 개발이사 철님께 물어본 '개발자에게 좋은 회사란?'https://paytalab.notion.site/CTO-cd78820312074067a32671ec63fdc839?pvs=4【 오시면 이런 업무를 하게 되실 거예요! 】• 클라우드 인프라 및 시스템의 아키텍처를 설계하고, 효율적으로 리소스를 관리 및 운영하는 방법을 계속 고민하고 발전시켜요.• 프로덕트팀 업무의 생산성과 운영 효율을 높이기 위해 고민하고 발전시켜요.• 구축된 여러 인프라와 시스템, 파이프라인을 모니터링하며 안정적으로 서비스가 운영될 수 있도록 관리해요.• MSA 환경에서 안정적이고 효율적인 운영 방안을 계속 고민하고 발전시켜요. 【 개발환경 】• 개발환경 및 도구: AWS, Jenkins, k8s, argo, teraform, helm, elastic search, datadog, prometheus.","【 이런 분을 찾고 있어요! 】 • 클라우드 인프라 및 DevOps 환경 구축 및 아키텍처 설계 경험이 있는 분• New Relic, Datadog, Pinpoint 등의 APM 솔루션을 이용해본 경험이 있는 분• MSA 환경에서의 서비스 운영 경험이 있으신 분• 쿠버네티스 기반의 운영 경험이 있으신 분• 클라우드 아키텍처에 대한 이해도가 높으신 분• 개발 환경에 대한 지표를 가시적인 데이터로 모니터링 하실 수 있는 분.",【 이런 분이면 더 좋아요! 】• 트래픽 관리를 위한 시스템 설계&개발 경험이 있는 분• 대규모 MSA 환경에서 다양한 경험을 해보신 분• 매우 빠르게 성장하는 서비스의 안정적인 운영을 위한 빠른 문제해결 능력을 갖추신 분• 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분 • 보안 시스템 구축 경험이 있거나 최신 보안 이슈에 관심이 많으신 분.
오픈소스컨설팅,"• Atlassian 제품 설치/구성에 대한 지원• Atlassian 제품에 대한 성능튜닝, 트러블슈팅, 장애지원/정기기술점검 지원• Atlassian 제품을 이용한 DevOps 환경구축/컨설팅 및 해당 제품을 사용하기 위한 교육 진행• Atlassian 관련 정보를 사내 기술 블로그에 지속적으로 게재하고 커뮤니티에서 최신 정보 유지.",• IT 개발 교육 또는 관련 전공 교육을 이수한 자.,"• Atlassian 제품 (Jira & Confluence & Bamboo 등)에 대한 구축 및 지원 경험• Git, Jenkins등 (CI/CD) 사용 경험• 아틀라시안 솔루션 연동 개발 경험• 오픈소스 웹서버(Apache, Nginx, JBoss, Tomcat, WildFly) 유경험자• WAS 서버 (Tomcat, Weblogic ) 유경험자• Linux / Network 관련지식 및 클라우드 환경 이해• 솔루션 엔지니어링 경험자."
디렉셔널,"• 온프레미스 환경 구축/배포/운영• 클라우드 환경 구축/배포/운영• CI/CD 파이프라인 개발 구성• Kubernetes 컨테이너 클러스터 구축 및 운영• 모니터링 시스템 개선[기술 스택 & 업무 도구]• JIRA, GitLab, GitHub, Slack, Google Workspace• AWS (EKS 등)• Kubernetes, ArgoCD, Flux, Prometheus, Grafana, Loki, Kafka, Redis.","• DevOps 경력 또는 유관 업무 경험이 있으신 분• 다양한 인프라 환경에서의 구축, 운영 경험이 있으신 분 - 온프레미스 환경과 클라우드 환경 모두 경험이 있으신 분• Terraform, Ansible 등의 IaC 활용 경험이 있으신 분• Kubernetes 클러스터 구축와 운영 경험이 있으신 분 (Helm Chart, Kustomize)• 1가지 혹은 그 이상의 개발 언어에 대한 지식과 경험• 다음 조건 중 하나가 필요합니다. - 관련분야의 학사⓵ 학위 이상과 관련분야 업무⓶ 1년 이상 경력 - 금융업⓷에서 관련분야 업무⓶ 1년 이상 경력⓵ 전기,전자,정보,컴퓨터, 반도체,제어계측,메카트로닉스,통신,전파,방송설비,전산,시스템,멀티미디어⓶ IT분야 개발• 운영• 정보보호 등의 업무⓷ 은행(농협,신협, 저축은행 등 포함), 금융투자회사, 증권금융회사, 종합금융회사, 명의개서대행회사, 보험회사, 여신전문금융회사(겸영여신업자), 그 외 금융감독원이 검사하는 기관.","• 고가용성, 내결함성 및 회복 탄력성을 갖춘 아키텍처를 고도화를 해보신 분• Kafka, Redis 등 오픈 소스 도입 및 운영에 대한 다양한 경험이 있으신 분• CNCF 생태계의 다양한 오픈소스를 적용하고 활용한 경험이 있으신 분• Spring/Kotlin 기반 백엔드 플랫폼 개발 참여 경험이 있으신 분."
오케이포스,"• 목동 KT IDC(7개 rack), 상일동 NICE IDC (1개 rack) 내 on-premise 시스템 운영• 컨테이너 오케스트레이션(Kubernetes) 시스템 운영• Oracle DBMS, VMWare, 스토리지, 백업, 보안장비 유지보수 업체 관리 및 운영• 도메인, SSL 인증서 관리.","• 사용자가 있는 서비스가 운영되는 인프라 환경 운영 경험자• Linux 운영체제 운영 경험자• Docker, Kubernetes 클러스터 구축 및 운영 경험자• 인프라 운영에 필요한 네트워크 및 보안 기본 지식 보유자.","• Public Cloud (AWS) 구축 및 운영 경험자• Shell script, Python 등 스크립트 언어 능숙한 분• 개발 및 타 직군과 커뮤니케이션에 능한 분."
엘리스,"• CI/CD 도구를 사용하여 엘리스 플랫폼 및 클라우드 서비스를 운영합니다.• 엘리스 시스템 및 서비스를 모니터링, 분석 및 장애 대응을 합니다.• 클라우드 마이그레이션, 트래픽 스케일링, 모니터링 시스템 최적화를 수행합니다.• 네트워크 보안 및 접근 제어를 운영합니다. • 코드 개발을 통한 인프라를 관리합니다.","• 컨테이너, Kubernetes 또는 서버리스 기반 DevOps 구축 경험이 있으신 분• Ansible, Terraform 등 IaC 기반 클러스터 운영 경험이 있으신 분• 리눅스 시스템에 대한 전반적인 이해 (커널, 파일시스템, 네트워크 등)가 가능하신 분• 자동화를 위한 스크립트 작성 및 코딩 기술 (Python, Shell script 등)을 보유하신 분• 컴퓨터공학 또는 전산학 관련 분야를 전공하신 분• AI 도구를 활용해 업무 효율성을 높이고 성과를 최적화할 수 있는 역량을 보유하신 분.","• 클라우드 DevOps 또는 MLOps 경험이 있으신 분• 클라우드 마이그레이션, 트래픽 스케일링, 네트워크 보안 경험이 있으신 분• AI/ML에 대한 경험 및 이해가 있으신 분."
오케스트로,[입사 후 담당할 업무 안내드려요]• CI/CD 파이프라인 구축 및 통합• 사내 클라우드 인프라 환경 운영• 서비스 자동화 환경 구성• 자사 솔루션 패키징• 솔루션 현장 설치 및 기술 지원.,"[이런 분을 찾고 있어요]• Docker, Kubernetes 등 컨테이너 기반 플랫폼 환경에 대한 경험이 있으신 분 • 하나 이상의 프로그래밍 언어 지식을 보유하신 분• 멀티 클라우드, 인프라 환경에 대한 서비스 및 구축 경험이 있으신 분 • 네트워크, 보안에 대한 이해와 경험을 보유하신 분 • CI/CD 파이프라인 구축 경험을 가지신 분.","[이런 부분이 있으면 더욱 좋아요]• Terraform, Ansible과 같은 IaC 사용 경험이 있으신 분 • Istio와 같은 Service Mesh에 대한 경험이 있으신 분 • 모니터링 및 로깅 시스템 구축 관련 경험이 있으신 분."
토스씨엑스,"[합류하면 함께 할 업무예요]• 사내 IT 담당자로서 전반적인 사내 인프라를 구축, 운영하고 팀원들의 각종 IT문제를 해결하고 업무에 몰입할 수 있는 환경을 조성해요.• 방화벽, L2,L3 네트워크, AP, VDI, AD, End Point 보안솔루션 등 사내 인프라 및 사용자 업무 환경을 운영, 관리해요.","[이런 분과 함께하고 싶어요]• 논리적 사고를 바탕으로 PC 및 S/W 레벨의 문제를 해결한 경험이 있으신 분이 필요해요.• L2 ~ L3 네트워크, AP, 방화벽을 구축하고 운영하신 경험이 있으신 분이 필요해요.• 사내 IT 자산을 관리하고 운영하셨던 경험이 있으신 분이 필요해요.• 오피스 내 인프라 환경을 개선하고 사용자 업무환경 개선을 해보신 경험이 있으신 분이 필요해요.• 자기 주도적인 학습을 통해 스스로 성장하실 수 있는 분이면 더욱 좋아요.",
보이저엑스(VoyagerX),"• 주요 업무:보이저엑스 구성원들이 업무에 몰입할 수 있도록 안정적이고 효율적인 IT 환경을 만들고 운영합니다.기술적인 문제 해결을 넘어, 더 나은 업무 환경을 위한 고민과 실행을 함께합니다.1. 컴퓨터 및 각종 기기 관리• 컴퓨터 및 각종 기기 구매 및 세팅• 하드웨어 문제 진단 및 해결• 사무용 기기 관리• IT 자산 관리2. 네트워크 관리• 유무선 네트워크 안정성 유지 및 연결 문제 해결• 네트워크 접근 권한 관리3. 소프트웨어 관리• 소프트웨어 라이선스 관리• 계정 관리■ 추가 업무:4. 사무 환경 개선• 사무 환경 개선 아이디어 제안 및 실행.","A. 아래 모두에 해당하는 분1. IT 관련 학과 졸업 또는 실무 경험 3년 이상2. 기초적인 프로그래밍이 가능함B. 아래 중 6가지 이상에 해당하는 분1. 지원 업무에 보람을 느낌2. 성실하고 꼼꼼함3. 정직하고 책임감이 강함4. 논리적이고 분석적임5. 공감하고 경청할 수 있음6. 글을 잘 읽고 잘 쓸 수 있음7. 각종 소프트웨어를 잘 다룸 8. 스타트업 근무 경험이 있음9. AI에 대한 관심이 많음C. 아래 중 5가지 이상에 대해 잘 대답할 수 있는 분• Q1. HDD, SSD, DRAM 각각의 성능은?• Q2. CPU와 GPU의 차이는?• Q3. VM과 컨테이너의 차이점은?• Q4. Cache 정책이란?• Q5. 공유기의 원리는?• Q6. 패스워드를 안전하게 전송/보관하는 방법은?• Q7. 오픈소스 소프트웨어 사용시 주의할 점은?• Q8. 올바른 백업 전략은?• Q9. GDPR이란?",
