기업명,주요업무,자격요건,우대사항
미리디,"""미리디에서 ​이런 일들을 함께 하고 ​싶어요""• MSA ​전환 과정에 ​참여하여, 기존 모놀리식 ​아키텍처를 마이크로서비스로 ​분리하는 ​경험을 쌓고, ​서비스 ​확장성과 ​유지보수성을 높이는 설계를 ​주도합니다.• 실시간 ​저장 및 동시 ​편집 ​기능을 ​구현하며, 기술적으로 복잡한 ​시스템 아키텍처를 ​설계하고 ​최적화하는 도전을 ​경험합니다.• AI 기술을 ​활용한 ​추천 시스템 개발에 ​참여하여, 사용자 ​맞춤형 디자인 경험을 제공하고 서비스의 가치를 높입니다.• 글로벌 사용자들을 위한 서비스 최적화 및 인프라 설계를 통해 글로벌 트래픽 관리와 다국어 지원 등 글로벌 서비스 운영 경험을 쌓습니다.• PM, 기획자와 긴밀히 협업하여 요구사항을 도출하고 일정을 수립하며, 빠르고 효율적인 개발 프로세스를 이끌어갑니다.• 동료와의 코드 리뷰 및 기술 토론을 통해 서비스 성능을 최적화하고, 개발 문화를 함께 만들어갑니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• Java, Spring, AWS 기반 웹 백엔드 서비스 개발 경험이 있으신 분• RESTful API 설계 및 개발 경험을 보유하신 분• DB 쿼리 분석을 통한 최적화 경험이 있으신 분• 대용량 트래픽 최적화하고 분산 처리 구현 경험이 있으신 분• 자료구조, 운영체제, 컴퓨터 아키텍쳐, OOP 등 기본 CS 지식을 갖추신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• Spring WebFlux 기반 Reactive Programming 개발 경험이 있으신 분• 디자인패턴을 이해하여 코드에 적용할 수 있고 아키텍쳐 설계에 능숙하신 분• 클린 코드를 작성할 줄 알며 코드 리뷰를 통한 리팩토링에 능하신 분• 유관 부서와 원활하게 소통할 수 있는 뛰어난 커뮤니케이션 능력을 갖추신 분 | 미리디에서 활용하는 기술 스택• 언어 및 프레임워크: Java, Spring MVC• 데이터베이스: PostgreSQL, MongoDB, DynamoDB, Redis, Vector 데이터베이스• 검색 엔진: AWS Opensearch• 모니터링 : Datadog, CloudWatch• 데이터솔루션 : Databricks• 클라우드 환경: AWS."
테크타카(ARGO),"• 팀소개 Backend Engineer는 ARGO 시스템에 발생되는 모든 데이터를 End-to-End로 연결할 수 있고 비즈니스 데이터를 효율적으로 관리/제어 가능하도록 개발 운영하고 있습니다. 대표적으로는 수많은 데이터의 효율적인 처리 방법과 24시간 연속적으로 시스템이 멈추지 않고 안정적으로 운영되기 위해 Uptime 유지를 목표로 기술적 해법을 고민하고 있습니다. 또한 알고리즘을 활용해 빠르고 정확한 아르고 운영을 목적으로 고객의 입장에서 문제를 찾고 푸는 것에 집중합니다.• 제품 기획 단계부터 참여하여 요구사항 정의 및 기술적 검토• 서비스 분석, 설계 및 구현• 데이터베이스 및 메시징 시스템을 활용한 아키텍처 설계와 최적화• 최신 LLM 및 AI 도구를 활용한 문제 해결과 생산성 향상• 코드 리뷰 및 테스트를 통한 품질 관리 (AI 활용)• 제품 로드맵에 따른 신규 기능 개발 및 운영 환경 최적화.","• 신입 또는 경력 2년 이하 (신입/경력 구분 없이 지원 가능) - 컴퓨터공학·소프트웨어·정보통신 관련 전공자 또는 이에 준하는 학습/경력 보유자• JAVA, Kotlin 프로그래밍 언어 활용 가능자• 다음과 같은 기본 CS 지식 보유 - 자료구조 및 알고리즘 (예: 배열, 리스트, 트리, 그래프, 정렬/탐색 알고리즘) - 운영체제(OS)의 기본 개념 (프로세스/스레드, 메모리 관리, 입출력, 동기화 등) - 데이터베이스(DB)의 설계 및 운영 개념 (정규화, 인덱스, 트랜잭션, SQL 등) - 기본적인 CS(Computer Science) 지식 및 문제해결 능력• 팀 협업 및 커뮤니케이션 역량이 우수한 분• 프론트엔드와 백엔드 전반에 대한 이해를 바탕으로 풀스택 역량을 지향하는분.","• 주도적으로 우선순위를 정하고 실행한 프로젝트 경험 - 내가 만든 프로젝트의 전, 후 임팩트를 측정해본 경험• 프론트엔드(NextJS, React, TypeScript 등) 경험• RESTful API 설계 및 구현 경험• Git, Jira, CI/CD 도구 등 협업 및 형상관리 경험• 클라우드 환경(AWS, GCP 등)에서 개발/운영 경험• CI/CD 파이프라인, 테스트 자동화 등 협업 효율화 경험• 테스트 코드 작성 및 코드 리뷰 경험• 오픈소스 활용 및 기여 경험."
타다(VCNC),"[What we do]현재 VCNC 서버 개발 파트는 타다(TADA) 서비스의 백엔드 시스템 개발에 주력하고 있으며, 클라이언트 애플리케이션을 위한 API 서버, 오프라인 운영을 위한 사내 시스템 등을 개발하고 있습니다.• 타다 클라이언트 어플리케이션을 위한 API 개발• Jenkins, AWS 및 Kubernetes 기반의 DevOps 작업• 효율적인 오프라인 운영을 위한 사내 시스템 개발• 더욱 쾌적한 타다 서비스를 위한 다양한 최적화 작업 및 리서치• VCNC 기술 블로그 운영 (http://engineering.vcnc.co.kr/) 타다를 누구보다 좋아하고 최고의 동료와 일하는 즐거움을 함께 누리고 싶은 분이라면 언제든 환영합니다 [How we work]• 실시간 대용량 데이터 처리 : 타다 서비스는 실시간 GPS 정보를 바탕으로 모든 드라이버의 위치를 파악하여 유저에게 최적의 드라이버를 배정해주어야 합니다. 이를 위해 VCNC 서버 팀은 실시간으로 업로드 되는 대용량 GPS 정보를 안정적으로 처리하는 데에 많은 노력을 쏟고 있습니다.• 확장성 있는 백엔드 개발 : 현재 타다 서비스는 폭발적인 성장세를 보이고 있습니다. 그 만큼 타다 서비스는 빠르게 변화하고 있습니다. VCNC 서버 팀에서는 이러한 변화의 속도에 충분히 대응할 수 있도록 확장성을 중시하여 백엔드 개발을 진행하고 있습니다.• 장애가 나지 않는 안정적인 시스템 구축 : 타다 서비스는 서비스 특성상 반드시 실시간 GPS 정보를 기반으로 운영되어야 합니다. 그렇기 때문에 서비스에 장애가 발생하여 드라이버의 GPS 정보를 받을 수 없는 상황에 대한 fallback을 준비할 수 없습니다. 따라서 VCNC 서버 팀은 백엔드 시스템에서 장애가 발생하지 않도록 매우 세심한 주의를 기울이고 있습니다.• 정밀한 지도 관련 기술 : 타다 서비스의 핵심은 지도 관련 기술입니다. 출발지로부터 목적지까지 걸리는 예상 시간(ETA), 거리 및 경로 계산과 GPS 기반의 요금 계산의 정확도는 서비스 품질에 직접적인 영향을 미칩니다. VCNC 서버 팀은 map matching 등 여러가지 기술을 활용하여 정확하고 정밀하게 GPS 정보를 처리할 수 있도록 노력하고 있습니다.• 데이터 기반의 자동화 : 타다 서비스는 기본적으로 O2O(Offline to Online) 서비스입니다. 오프라인의 수많은 드라이버와 차량을 관리하기 위해서는 반드시 시스템의 보조가 필요합니다. VCNC 서버 팀은 여러 경로로 수집한 데이터를 통해 서비스 운영을 개선하기 위한 다양한 인사이트를 얻고 데이터 기반의 자동화 및 최적화를 적용합니다.",• 기본적인 전산학 지식을 보유하신 분• 하나 이상의 프로그래밍 언어를 능숙하게 사용할 수 있는 능력을 갖추신 분• 새로운 기술을 거부감 없이 받아들이고 사용할 수 있으신 분• 자신의 작업에 대한 책임감이 강하고 자부심이 있으신 분• 제품 혹은 개발에 대한 의견을 거리낌없이 공유하시는 분[사용기술]• 서버 - Spring Boot + Kotlin + gRPC + Amazon Kinesis + Amazon SQS + Redis• 클라이언트와의 프로토콜 - Protocol Buffer• 데이터베이스 - MySQL + Amazon RDS• CI - Jenkins• 배포 및 운영 - Kubernetes + Helm + Amazon EKS + Terraform• 모니터링 - Prometheus + PagerDuty(* 타다 백엔드 아키텍처 대한 더욱 자세한 설명은 VCNC 기술블로그를 참고하시면 됩니다. http://engineering.vcnc.co.kr/ ).,"• Spring 기반 개발 경험 1년 이상 있으신 분• AWS 기반 서비스 운영 경험 1년 이상 있으신 분• 아키텍처 설계에 능숙하신 분• Jenkins, Kubernetes 등의 오픈소스 사용에 능숙하신 분[타다 개발팀 Tech blog] https://blog-tech.tadatada.com/ 모바일 클라이언트 사용 기술에 대해 더욱 자세한 설명이 기술되어 있으니 참고 부탁드립니다.[VCNC 개발팀 발표 자료]https://speakerdeck.com/vcnc."
닥터나우,"• 대용량 트래픽을 지탱하기 위한 고가용성 아키텍처 설계, 개발 및 운영• 진료, 조제, 배송, 결제, 백오피스 등등 각종 마이크로 서비스의 비즈니스 로직을 도메인 중심으로 설계 및 개발• 각종 비즈니스 요구사항에 대한 API 설계 및 개발• 각종 기술 부채 해결, 잠재적 기술문제 예측 및 제거• 코드 리뷰 및 테스트코드 작성.","• 2년 이상의 서버사이드 개발 경험이 있으신 분• 이커머스, 음식배달, 리뷰, 정산 등 하나 이상의 도메인 지식을 가지신 분• Kotlin, Java, TypeScript 등 하나 이상의 언어에 능숙하신 분• AWS 등 클라우드 환경에서 서비스를 운영해보신 분• PO, Stakeholder 와의 협업 경험이 있으신 분• 테스트코드, 코드리뷰의 필요성에 대한 이해가 있으신 분• 신규 피처를 개발 및 프로덕션에 런칭해보신 분• (대학교 재학중인 분의 경우 졸업예정자 지원 가능).","• 대용량 트래픽 처리에 대한 경험이 있으신 분• 스크럼, 칸반 등 애자일 프레임워크 기반의 업무 경험이 있으신 분• 스타트업에서 너무나 일해보고 싶으신 분• 이커머스 개발 및 운영 경험이 있으신 분• AWS 등 클라우드 환경에서의 인프라 구축 경험이 있으신 분• 프론트엔드 개발 경험이 있으신 분."
짐싸(ZIMSSA),• 높은 가용성과 확장성을 가지도록 짐싸 백엔드 시스템 개발 및 개선• 요구사항 분석 및 테스트를 통한 RESTful API 구축• 서비스의 성능을 위한 애플리케이션 최적화• 클라우드 환경에서의 서버 운영.,"• Spring boot(Java), Jpa 기반의 서비스를 2년 이상 6년 이하의 개발/운영하신 경험을 가지고 있으시거나 그에 준하는 역량을 가지고 계신 분• DB(RDB, NoSQL) 테이블 설계가 가능하신 분• 새로운 기술을 두려워하지 않고 도전하며 이를 동료에게 공유하는 것을 즐기시는 분• 컴퓨터 공학 전공 혹은 이에 준하는 지식 및 활용 역량이 있으신 분• 해외여행에 결격사유가 없는 분 (남성의 경우, 병역필 또는 면제자).","• 프로젝트를 A to Z로 경험해 보신 분• 아키텍쳐 설계에 대한 고민을 해보신 분• MSA, messaging queue에 대한 관심이 많고 이해가 있으신 분• Django(python) 개발 경험이 있으신 분[제출서류]• 필수 : 이력서 (경력 기술서 또는 포트폴리오 포함)• 이력서에는 기술적/비즈니스의 관련된 문제 상황을 개선하거나 해결해보신 부분을 구체적으로 작성 부탁 드립니다."
채널코퍼레이션,"[Backend Engineer]• 하루 800만명이 사용하는 국민 고객 메신저! 채널톡의 백엔드 개발을 담당합니다.• Java, Dropwizard를 이용해 만들어진 메인 API 서버를 개발합니다.• 가파르게 늘어나는 사용량에 처리하기 위해 기존에 구축된 시스템을 리뷰하고 좀 더 스케일하도록 재설계 합니다.• 서버 장애를 감지하고 알림을 주는 시스템을 개발하고 장애를 처리합니다.• AWS Lambda, Serverless와 nodejs, python, golang 등의 언어로 마이크로 서비스를 개발 합니다.• AWS 환경안에서 ECS, Docker 및 k8s(EKS)인프라를 이용해 빌드, 디플로이, 메인터넌스를 담당합니다.[Frontend Engineer]• 고객과 대화하고 비즈니스를 돕는 기능들이 있는 '데스크'를 개발합니다. - 많은 source(REST, WebSocket, LocalStorage, ...) 로부터의 i/o를 관리하는 통합 수신함을 개발하는 경험을 합니다. - 고객 연락처 등 대용량 데이터를 시각화하는 문제를 풀어 나갑니다. - 복잡한 비즈니스 요구사항을 코드로 구현하기 위해 GUI 에디터 등을 개발합니다.• 고객과 채널톡의 첫번째 접점인 '프론트'를 개발합니다. - 수많은 환경에서 일관성 있게 동작하도록 하는 크로스브라우징에 신경씁니다. - 고객사 웹앱의 스타일과 성능에 영향을 미치지 않도록, 가볍고 격리된 환경을 만드는 문제를 풀어 나갑니다.• 디자인 시스템, 위지윅과 같은 core-library를 관리합니다. - 제품 전반에 걸쳐 일관성 있는 룩앤필을 가질 수 있게 돕는 디자인 시스템을 오픈 소스로 개발합니다. - 채팅 메시지부터 블로그 등 Rich Text까지 작성할 수 있도록 지원하는 에디터를 개발합니다.• 대규모 프로젝트를 다수의 인원이 작업하더라도 퀄리티와 속도를 놓치지 않도록 프론트엔드 개발환경을 개선합니다.[Android/iOS Engineer]• 모바일과 관련된 모든 개발을 담당합니다. • 하루 300만명이 사용하는 국민 라이브챗! 채널톡의 모바일 플러그인(SDK)을 만드는 역할을 합니다.• 1만 명의 매니저가 매일매일, 고객이나 팀과 대화하기 위해 사용하는 채널톡 데스크 앱을 개발합니다.• 채널톡의 B2C 서비스, 콘텐츠와 커뮤니티를 바탕으로 채널톡 고객사의 디스커버리 문제를 해결하는 채널엑스 앱을 개발합니다.• 안드로이드는 대표적으로 Compose, Kotlin Coroutines(+ Flow), Hilt, RxJava, Socket.IO, WebRTC 등을 사용하여 개발하고 있습니다.• iOS는 대표적으로 SwiftUI, UIKit, Combine, RxSwift, ReSwift, Socket.IO, Tuist, Needle, WebRTC 등을 사용하여 개발하고 있습니다.","• 컴퓨터 공학 또는 관련 학과 전공• 자료구조, 알고리즘과 관련한 지식이 깊은 분• 팀 워크 및 커뮤니케이션 역량• 새로운 것을 빠르게 배우고 적용시킬 수 있는 역량• 문제가 생겼을 때 빠르게 디버깅 및 수정할 수 있는 역량.",• 컴퓨터 공학 또는 관련 기술 분야에서 석사 학위 또는 박사 학위.
두나무(업비트/증권플러스),"• 서비스 전 과정에 필요한 백엔드 아키텍처를 설계·개발·운영합니다.• 블록체인 상의 거래를 안전하게 생성·서명·전송하고, 이를 정확하게 반영·기록할 수 있는 시스템을 만듭니다. 또한 이 시스템을 감사 가능한 투명한 형태로 구성합니다.• 기존 시스템의 기능적·성능적 한계를 파악하고 이를 개선하여 완성도 높은 시스템을 만듭니다.• 모니터링·알림을 구축해 서비스의 문제를 빠르게 파악·대응하고, 장애 대응 및 원인 분석·재발 방지를 수행합니다.• 사용 기술 - Ruby on Rails, Go, TypeScript, Spring Boot - MySQL, Redis/Valkey, DynamoDB - REST, GraphQL, JSON-RPC, gRPC - AWS, Kubernetes.","• 데이터 구조, 알고리즘, 문제 해결 및 복잡성 분석 역량을 갖추신 분• 객체 지향 설계, 데이터베이스 설계, 운영체제, 네트워크 등 컴퓨터과학 분야의 지식을 갖추신 분• Unix-like OS(macOS 포함) 개발 경험이 있으신 분• 테스트 코드 작성, 코드 리뷰, 리팩토링 등의 활동이 서비스의 안정성과 사용성에 기여한다고 생각하시는 분• 스스로 문제를 찾아내 정의하고 이를 해결하는 능동적인 태도를 갖추신 분.","• 블록체인, 암호학, 스마트 컨트랙트에 대한 관심이나 경험이 있으신 분• AWS, Kubernetes 등 클라우드 및 인프라에 대한 지식과 경험이 있으신 분• GitOps, CI/CD, 모니터링 등을 활용하여 안정적이고 자동화된 백엔드 서비스를 구축하고 운영하는 데 관심 있으신 분• 대규모 트래픽 또는 금융/결제 시스템 개발 경험이 있으신 분• 생소한 기술과 개념도 빠르게 학습하고, 이를 동료와 공유하는 것을 즐거워하시는 분."
쏘카(SOCAR),"[담당하시게 될 업무를 소개합니다]쏘카 공통플랫폼그룹은 인증, 결제, 고객 지원 등 다양한 도메인의 핵심 시스템을 담당하고, 서비스 운영의 기반이 되는 플랫폼을 설계하고 개선하는 역할을 합니다. 입사 후에는 아래와 같은 도메인 중 하나의 파트에 배정되어 업무를 수행하시게 됩니다.• 주문/결제 파트 쏘카의 다양한 결제연동시스템 및 크레딧 시스템을 개발/운영하고 있습니다. 쏘카 서비스의 예약·결제·취소를 아우르는 주문 시스템을 설계하고 안정적으로 운영합니다. 미납 요금의 발생부터 납부까지를 관리하고 자동 알림·간편 결제를 지원하는 미납요금 관리 시스템을 개발합니다.• 회원/고객문의 파트 고객이 쏘카서비스를 편리하게 진입하고 안전하게 이용할 수 있게 하기 위한 시스템을 개발/운영하고 있습니다. 고객 문의의 접수, 분류, 응답 전 과정을 효율적으로 처리할 수 있는 1:1 문의 시스템을 구축합니다. 음성·채팅 등 다양한 채널 상담을 통합 관리하고 AI 기반 응답을 제공하는 AICC 시스템을 개발합니다.","[이런 분과 함께 성장하고 싶습니다]• Java/Kotlin, Spring Boot 기반 서버 개발 경력 5년 이상 보유한 분 • Spring Framework, JPA 등 주요 프레임워크에 대한 이해를 바탕으로 웹 애플리케이션 개발 경험이 있으신 분• Kubernetes, Docker 등을 활용한 배포 및 운영 환경 구성 경험이 있으신 분• 다양한 서비스를 빠르게 파악하고 비즈니스 목적에 맞춰 결제 시스템을 설계한 경험이 있는 분• 객체지향 설계 원칙에 대한 이해를 바탕으로 개발이 가능하신 분• AWS 인프라 환경과 GCP 기반 서비스를 사용한 경험이 있는 분• 다양한 팀과의 협업 및 원활한 커뮤니케이션 역량을 보유한 분• 문제를 구조적으로 분석하고 복잡한 요구사항을 해결할 수 있는 역량을 보유한 분.","[이런 분이면 더욱 좋습니다]• MSA(Micro Service Architecture) 환경에서 서비스 개발 및 운영 경험 및 이해가 높으신분• gRPC 및 RESTful API를 활용한 서비스 간 통신 설계 및 개발에 능숙하신 분• Kafka, Redis 등 다양한 분산 및 확장 시스템을 활용한 이벤트 기반 시스템 구현 경험이 있는 분• 대규모 트래픽 처리를 위한 분산 시스템 아키텍처에 대한 이해와 설계 및 운영 경험을 보유하신 분• 여러 도메인을 통합하는 플랫폼 설계 및 운영 경험이 있으신 분• 목표를 기반으로 문제를 정의하고 우선순위를 통해 순차적으로 해결할 수 있는 역량을 가진 분• 지속적인 성장을 통해 기술 발전에 기여하는데 관심이 많은 분• 동료와 지식을 교류하고 함께 성장하고자 하는 의지가 높은 분• 모니터링/로깅 도구(Prometheus, Grafana, Datadog 등)를 활용해 서비스 안정성을 확보한 경험이 있는 분• 코드 리팩토링 및 테스트 코드 작성을 통해 코드 품질 향상에 적극적으로 기여하실 수 있는 분[동료의 한마디]• 기존의 레거시 개선을 위해 마이크로 서비스를 구축 중이에요. 기술적으로 다양한 문제를 경험하며 성장하기에 좋은 시기라고 생각해요.• 개발에만 집중할 수 있는 자유로운 업무 환경에서 최고의 동료들과 새로운 기술을 익히고 도입해 볼 수 있어요. 원한다면 백엔드와 프론트엔드를 가리지 않고 다양한 기술스택들을 경험해보아요.• 쏘카의 개발 조직은 최신 기술들을 사용하는 데에 두려움이 없어요!• 온라인에서 오프라인으로 이어지는 서비스를 함께 고민하며 만들어보아요.• 수평적인 문화와 실력 있는 동료들이 함께하는 쏘카 개발 조직에서 다양한 경험을 쌓아가요.• 어제의 경력보다 오늘의 경험이 더 소중히 쓰여질 이곳에서 내일을 함께 그려갈 동료를 찾아요!"
여기어때컴퍼니,• 여기어때 해외숙소 플랫폼 백엔드 개발 및 운영• 여러 공급사의 정보를 통합하는 대규모 데이터 파이프라인 구축• 글로벌 판매를 위한 안정적이고 확장 가능한 시스템 구축• 안정적인 서비스 제공을 위한 실시간 모니터링 시스템 구축 및 운영.,"• 대용량 트래픽 처리를 위한 시스템 설계 경험이 있는 분• 논리적이고 체계적인 문제 해결 능력과 커뮤니케이션 능력을 보유한 분• Java(Kotlin) Spring 기반 대규모 애플리케이션 개발 및 운영 경험이 있는 분• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험이 있는 분• AWS 클라우드 환경(EKS, RDS, ElastiCache) 기반의 인프라 설계 및 운영 경험이 있는 분.","• 여행/숙박/OTA 또는 이커머스/O2O 서비스 개발 경험이 있는 분• 스트리밍 플랫폼(Kafka)을 활용한 실시간 데이터 파이프라인 구축 경험이 있는 분• NoSQL(MongoDB, Redis) 및 컨테이너 기술(Docker, K8s) 활용 경험이 있는 분• AI/ML 엔지니어링 지식을 활용한 시스템 구현 경험이 있는 분• DevOps 문화에 대한 이해 및 오픈소스 기여 등 개발자 커뮤니티 활동 경험이 있는 분."
채널코퍼레이션,"• B2B-B2C 간 연동 데이터의 실시간 전송 및 데이터 무결성을 유지하기 위한 방안을 구현하고 모니터링합니다.• Go, Gin 프레임워크를 이용해 만들어진 메인 API 서버를 개발합니다.• PostgreSQL, DynamoDB, Redis를 활용한 데이터 저장소를 설계하고 쿼리 성능을 최적화합니다.• DDD(Domain-Driven Design) 패턴을 적용한 클린 아키텍처 기반으로 유지보수성 높은 코드를 작성합니다.• LLM(Large Language Model)을 활용하여, 기존 데이터와 연동되는 콘텐츠 기능를 개발하고 API를 통해 제공합니다.","• 컴퓨터 공학 또는 관련 학과 전공• 자료구조, 알고리즘과 관련한 지식이 깊은 분• 하나 이상의 프로그래밍 언어를 사용한 소프트웨어 개발 경력 1년 +• 팀 워크 및 커뮤니케이션 역량• 새로운 것을 빠르게 배우고 적용시킬 수 있는 역량• 문제가 생겼을 때 빠르게 디버깅 및 수정할 수 있는 역량.",• 컴퓨터 공학 또는 관련 기술 분야에서 석사 학위 또는 박사 학위.
