기업명,주요업무,자격요건,우대사항
오엠티아이코리아,"[주요업무]• 웹 어플리케이션 개발 및 유지보수[개발 환경]• 프론트엔드: Jquery, Kendo UI Component 기반의 MVVM 패턴 개발. Ajax사용• 백엔드: Microsoft ASP.NET MVC 5• 데이터베이스: Microsoft SQL Server• 서버: Microsoft Azure 기반의 Windows Server Platform• 형상관리: GitHub• 협업 관리 툴: Axosoft + SmartSheet + Google Workspace• 개발 문화: 사내 코딩 가이드 룰에 따른 코딩 패턴 준수하고 100% 코드 리뷰 진행.",• 초대졸 이상 혹은 졸업예정자• 해외여행(출장)에 결격사유가 없으신 분• 관련 학과 졸업 혹은 관련 교육 과정 6개월 이상 이수자• 프로그램 개발에 관심이 많으신 분.,• ASP.NET MVC 유경험자.
클레,"• 3차원 머신비전 솔루션 데스크탑 앱을 개발하고 유지보수합니다.• 3차원 카메라 조작 앱을 개발하고 유지보수합니다.• 3차원 카메라를 활용한 새로운 데스크탑 앱을 개발합니다.• 하드웨어 개발자, 필드 엔지니어, 현장 오퍼레이터들과 협업합니다.[구체적으로 어떻게 성장할 수 있나요?]• 높은 성능과 안정성을 요구하는 현장에서는 여전히 데스크탑 앱에 대한 수요가 높습니다. 또한 응용분야와 산업 별로 요구하는 플랫폼이 다르기 때문에 저희는 기본적으로 크로스플랫폼 개발을 지향합니다. 클레와 함께 하시면 높은 성능과 안정성을 갖춘 데스크탑 앱을 다양한 플랫폼으로 배포 가능한 개발자로 성장하실 수 있습니다. 또한 클레의 응용분야는 컴퓨터비전, 인공지능, 머신러닝, 디지털트윈 등입니다. 함께 개발 프로젝트를 진행하면 이와 같이 요즘 핫한 분야에 대한 경험과 지식을 습득하실 수 있습니다!",• 기술스택과 맞지 않더라도 본인이 자신 있는 프로그래밍 언어 하나는 있어야 합니다.• 새로운 것을 배우는 데 두려움이 없어야 합니다.• 다양한 직군과의 원활한 의사소통 및 협업 능력이 있어야 합니다.• 자기 주도적으로 개발하며 스스로 동기 부여할 수 있어야 합니다.• 업무상 필요에 의하여 해외출장이 있을 수 있습니다.• 대학교 졸업(4년) 이상 또는 그에 준하는 학력 기준을 요합니다.,"• 기술스택에 있는 언어나 프레임워크를 다뤄본 경험이 있으면 좋습니다.• 데스크탑 앱을 개발해본 경험이 있으면 좋습니다.• 공장자동화 관련 개발을 해본 경험이 있으면 좋습니다. (PLC, 로봇 등)• 컴퓨터비전 관련 개발을 해본 경험이 있으면 좋습니다.• Git 을 사용할 줄 알면 좋습니다.• 영문 자료를 참고하고 해외 커뮤니티에서 소통하며 문제를 해결할 수 있는 영어실력이 있으면 좋습니다.• 기술스택과 툴: 1) 언어: C#, C/C++, Python2) 프레임워크 및 라이브러리: .NET, .Net Framework, WPF, Avalonia, Qt, OpenCV, OpenGL, Issac Sim, Omniverse, Blender, Unity3) 협업툴: Git, Figma, Slack, Monday.com, Notion."
랭코드,"• 생성형 AI Agent 솔루션인 랭코드 CXP(Conversational eXperience Platform)의 백엔드 개발에 참여합니다.• 최신 클라우드 및 AI 기술을 활용하여, 사용자 경험을 최적화하고 플랫폼의 안정성과 확장성을 확보하기 위해 데이터 관리 및 최적화, 프롬프트 작성 등의 역할을 수행합니다.• AI Agent 최적화를 위한 효율적인 파이프라인을 구축하여 데이터의 정확성과 접근성을 높이는 작업을 수행합니다.• 현재 자체 솔루션 CXP의 리팩토링 작업을 진행 중이며 백엔드는 ASP.NET Core, 프론트엔드는 Next.js 기반으로 전환하고 있습니다.• 최신 기술 트렌드 및 업계 동향을 지속적으로 모니터링하며, 서비스 운영과 개발 프로세스에 적극 반영합니다.","• ASP.NET Core와 EF Core를 이용한 개발 경험을 3년 이상 보유하신 분• IT 분야의 빠른 변화에 대응해 새로운 기술을 빠르게 습득하고 적용할 수 있는 역량을 보유하신 분• 데이터와 코드를 분석하여 복잡한 기술적 문제를 해결할 수 있는 역량을 보유하신 분• 시스템 설계 또는 아키텍처(소프트웨어 설계 패턴, 안정성 및 확장성) 관련 경험을 보유하신 분• 해외 여행에 결격 사유가 없으신 분.","• 상기 기술 스택에 대한 경험을 보유하신 분• LLM 응용 어플리케이션 및 프롬프트 엔지니어링 관련 경험을 보유하신 분• SaaS 개발 및 운영 경험을 보유하신 분• B2B 솔루션 개발 및 운영 경험을 보유하신 분• 테크 리드, 멘토 또는 엔지니어링팀을 리딩한 경험을 보유하신 분• 영문 이메일 및 기술 문서 등에 대한 이해와 대응 역량을 보유하신 분."
브이디크럭스,"• Visual C++, C# 언어 기반의 Window 어플리케이션 개발• POS, KIOSK 등 주문 및 결제 기능 중심의 매장관리 솔루션 개발• React + Electron 기반 키오스크 개발.","기술 요건 • Visual C++, C#, WPF 중 1개 이상 언어 사용이 가능하고, 이해도가 높으신 분 • Electron.JS를 활용한 윈도우 어플리케이션 개발 경험이 있는 분• RESTful API 연동 개발 경험이 있는 분• Socket 통신을 이용한 네트워킹 경험이 있는 분사용 도구• Bitbucket으로 소스코드 관리.• Jira로 개발 프로세스 관리.• Slack으로 의사소통.","• 컴퓨터공학, 소프트웨어 계열 관련 전공자• Windows환경에서 Visual C++, C#, WPF 로 SW를 개발하거나,유지보수한 경험이 있으신 분• POS 또는 KIOSK 시스템 개발 경험이 있는 분."
카를로,• C#/.NET 기반 시뮬레이션 엔진 기능 개발 및 성능 최적화• 웹 기반 3D 환경 디지털 트윈 개발• 실시간 DB 연동 관련 개발.,• C# 및 .NET에 대한 이해와 실무 경험 (배우고자 하는 의욕 높으신 지원자)• 웹 애플리케이션 개발에 대한 기본적인 이해• 팀과의 원활한 협업 능력.,• C#/.NET으로 애플리케이션 개발 경험자• 웹 애플리케이션 개발 경험자• 개발에 열정이 있는 엔지니어• 다양한 분야에서 다양한 경험을 원하는 엔지니어.
팜킷,• 백엔드 개발 (ASP .NET CORE)• 클라우드 배포 및 관리.,"• 경력 3년 이상 보유• C# ASP .NET CORE에 대한 이해• Java Script - BackEnd, 클라우드, DB 등에 대한 기본적인 개념 이해.",• AI/빅데이터/SW 관련 석사 학위 또는 관련 자격증 보유자• Food AI 기술 및 개인화 서비스 분야에 관심이 높으신 분• 스타트업 업무 경력 보유자.
유니크굿컴퍼니,"• 앱 서비스, 웹 서비스에 필요한 API 개발 및 성능 최적화• 기존 서비스 안정화 및 고도화를 위한 유지보수 개발• 신규 비즈니스 확장을 위한 MVP 설계 및 API 개발• 서비스 아키텍쳐를 설계 및 Agile하게 프로덕트를 개선• 기존 기능 및 신규 기능 기획을 함께 고민하고, 개발을 통한 구현• 비즈니스 성장을 위한, 빠른 실험과 시도.","• 산업기능요원 보충역 편입 또는 현역/보충역 전직 희망자• 사용자 경험과 고객 가치를 최우선으로 하여 개발을 통해 비즈니스 성장에 기여하고 싶은 열망이 있는 분• Java, Spring 혹은 ASP.Net 등의 백엔드 프레임워크를 이용한 개발 경험• HTTP에 대한 올바른 이해와 이를 활용한 API 개발 경험• 관계형 데이터베이스를 이용한 개발 경험, NoSQL 데이터베이스에 대한 이해• OOP에 대한 올바른 이해• 타 직군과의 원활한 커뮤니케이션 능력• 지속가능하고 안정적인 개발 환경을 조성하는데 관심이 있으신 분[현재 사용중인 기술 스택]• Spring boot, Kotlin, JPA/Hibernate, Querydsl• ASP.Net Core 8 / Entity Framework Core• AWS (ECS, RDS, ElasticCache, S3, EKS 등)• Postgresql, Elasticsearch, MongoDB, Redis.","• AWS, Azure 등 클라우드 서버 인프라에 대한 경험• 미래지향적이면서도 현재 상황에 적합한 설계를 할 수 있는 능력• 다양한 기술에 대한 관심과 이해, 그리고 비판할 수 있는 능력• 동시성 제어에 대한 경험이 있으신 분• 테스트 코드 작성에 관심이 있으신 분."
현대오토에버,• 현대건설 원전/플랜트 현장 관리 시스템 운영 : 통합배관관리 시스템• : 원전사업관리시스템.,"• 웹 어플리케이션 개발/운영 : .NET, JAVA• MSSQL DB 설계 및 Stored Procedure 개발 역량.","• C#, .NET Framework 개발 경험• 모바일 앱 개발/운영 경험• Spring framework 개발 경험• HTML5 개발 경험• React, Vue 경험."
에듀윌,"• 에듀윌 주요 서비스(온라인 자격증·편입 교육 플랫폼)의 웹 서비스 개발 및 운영 총괄• ASP.NET(C#) 기반 웹 애플리케이션 개발 및 유지보수• 개발팀 관리 및 프로젝트 일정·품질·리스크 관리• 서비스 구조 개선, 성능 튜닝, 신규 기능 기획 및 기술 검토• Java(Spring) 기반 서비스 협업 및 아키텍처 이해를 통한 통합 관리• Kubernetes 및 컨테이너 오케스트레이션 이해.","• 개발팀장 또는 PL(프로젝트 리더) 역할 수행 경험 (인원 관리, 코드리뷰, 일정관리 등)• ASP.NET(C#)을 이용한 Web Application 개발 및 운영 경력 5년 이상• MS-SQL Stored Procedure 작성 및 튜닝 능력 보유• Windows Server 및 IIS 환경 이해 및 운영 경험• Jenkins, Jira, Git 등 협업 및 배포 도구 활용 능력• 문제 해결 능력 및 커뮤니케이션 역량이 뛰어난 분• 4년제 대졸, 컴퓨터공학 등 관련학과 전공자.","• Java(Spring Framework) 기반 서비스 개발 경험자• 대규모 트래픽 서비스(교육 플랫폼, 커머스 등) 운영 경험자• 클라우드(AWS, Azure 등) 환경에 대한 이해• 보안·성능·장애 대응 프로세스 개선 경험• AI/EdTech 서비스 환경에 대한 관심 또는 경험• Marathon/Mesos 기반 Docker 환경 경험• VMware 기반 가상화 환경 경험• 비흡연자, 이직 많지 않은 분 선호."
스튜디오랩(STUDIO LAB),"• Canon Camera SDK를 활용한 카메라 제어 기능을 개발해요.• UR, RB 등 협동로봇을 WPF 프로그램으로 정밀하게 제어해요.• 자사 API와 외부 API를 활용한 통합형 콘텐츠 워크플로우를 설계하고 구현해요.• 프로젝트 목적에 맞는 UX/UI를 직접 설계하고 구현해요.• 현장 셋업 및 테스트에 참여하여 실사용 환경을 최적화해요.• 반복적인 테스트와 개선을 통해 확장 가능한 구조로 시스템을 발전시켜요.","• C# 및 WPF 환경에서의 개발 경험이 2~5년 이상 있으신 분• Restful API, Socket, Serial 통신 등 다양한 통신 방식을 이해하고 구현할 수 있는 분• 자유롭게 의견을 나누며 책임감 있게 개발을 주도해나가실 수 있는 분• 타 직군과의 협업에 열린 분.","• MVVM 아키텍처 기반 개발 경험이 있으신 분• SDK, 개발 문서를 바탕으로 새로운 기능을 빠르게 분석하고 구현할 수 있는 분• 현장 테스트 및 셋업 경험이 있는 분• UR, RB 등 협동로봇 제어 경험이 있는 분."
