기업명,주요업무,자격요건,우대사항
오렌지스퀘어,"＜ 우리는 이런 일을 해요 ＞· 개발.인프라 조직 리딩 - 약30명 규모의 개발/메이커 인력과 6개 스쿼드+6개챕터(서버, iOS, Android, Web, Infra, Kiosk)전체 리더쉽· 안정적 확장 가능한 인프라 구축 - 대규모 트래픽, 글로벌 멀티 리전 환경을 위한 고가용성.고성능 시스템 설계 및 운영· 데이터 중심 의사결정과 서비스 고도화 - 데이터 수집,저장,분석,활용 체계 확립과 실시간 모니터링과 지표 기반 운영· 보안 규제 준수 - 금융규제(전자금융업, AML/KCY) 및 개인정보보호, 내부통제 대응＜기술 환경＞· Backend: Java / Kotlin / Python, Spring Boot / Webflux, JPA / MySQL / Redis· Infra: AWS, Prometheus / Grafana, GitHub Actions, Docker, EKS, K8s· Architecture: MSA, 고가용성·대규모 트래픽 구조· Client: iOS / Android / Web, React / Flutter 등· Data: Kafka, Spark, Hadoop.","＜ 우리는 이런 분과 같이 일하고 싶어요 ＞· 12년 이상의 소프트웨어 개발 및 아키텍처 설계 능력· 3년 이상 50인 이상 규모의 개발/인프라 조직 리딩 경험· 핀테크·결제·커머스·대규모 트래픽 서비스 중 2개 이상 분야에서의 실전 경험· Java/Kotlin/Spring, MSA, 클라우드(AWS/NCP) 등 대규모 서비스 핵심 기술 스택에 대한 깊은 이해· 데이터 기반 서비스 운영 및 고도화 역량· 전략적 사고와 강력한 실행력을 겸비한 리더쉽.","＜ 우리는 이런 분이면 더 좋아요 ＞· 국내외 핀테크·커머스·슈퍼앱·B2C 개발 경험· IPO 준비, 대규모 투자유치, M&A 등 기업 성장 단계의 기술 총괄 경험· 일본어, 영어, 중국어 중 하나 이상의 외국어 커뮤니케이션 능력."
비에이치에스엔,"• 고객사 SI 프로젝트의 전체 개발 리딩 및 품질 관리• 프로젝트 요구사항 분석 및 기술 설계(Architecture, API, DB 설계 등) 주도• 내부 개발팀 및 외주 파트너 발굴, 관리 및 커뮤니케이션• 주요 기술 이슈에 대한 문제 해결(Problem Solving) 및 의사결정 지원• 프로젝트 산출물(설계서, 검수 문서, 배포 문서 등) 품질 검수 및 개선 관리• 신규 기술 도입 및 Legacy 시스템 개선 제안• Sales / PM / 개발 등 타 부서와의 협업 및 고객사 커뮤니케이션• 기업, 공공기관 등 수요처 및 협업 외주 파트너 발굴.","• SI 프로젝트 개발 리더 또는 PL / PM 경험 3년 이상• 기업 내부 시스템 및 보안 환경에 대한 폭넓은 이해• 전체 시스템 (Architecture, Data, API) 설계까지 일관된 기술 방향 제시• 대규모 B2B / 공공 시스템 구축 프로젝트 수행 경험• Java(Spring) 또는 Node.js 기반 백엔드 아키텍처 설계 및 개발 경험• DB 설계 및 쿼리 튜닝(MySQL, PostgreSQL 등) 실무 경험• Git, JIRA, Confluence 등 협업 도구 활용 능숙• 일정, 품질, 리소스 관리 등 프로젝트 운영 전반 대한 이해.","• 고객사 중심의 End-to-End 프로젝트(요구사항→배포) 리딩 경험• Frontend(Svelte)–Backend(Spring Boot) 연동 구조 이해 및 최적화된 인터페이스 설계 가능• AI / Cloud / SaaS 기반 환경 구축 및 개선 제안 경험• 법률, 공공, 금융 등 보안 · 인증 요건이 높은 프로젝트 수행 경험• 외주 파트너 관리 및 코드 품질 검수·리뷰 경험• MSA, RESTful API, CI/CD 등 현대적 개발환경 설계·운영 경험• 프로젝트 참여자 코칭 및 기술 문화 리딩 경험."
버즈빌(buzzvil),"• 광고 상품의 백엔드 시스템 설계 및 개발• 고성능, 고가용성 시스템 아키텍처 설계 및 리팩토링• 제품 전략과 기술 방향성 결정 과정에 적극 참여• 제품 지표 개선을 위한 실험 설계 및 실행• 코드 품질, 개발 생산성, 운영 효율성 향상을 위한 기술적 투자[개발 환경]• 주요 기술 : Python(Django), MySQL, Amazon DynamoDB, Amazon Athena, Kubernetes, Redis, Airflow• 테스트/빌드/배포 : Github Action, ArgoCD• 업무 도구 : Jira, Confluence, Slack, Github• 모니터링 : Datadog, Grafana, Prometheus, Loki, Sentry.","광고 도메인 경험이 없어도 괜찮습니다! 문제를 탐구하고 해결하는 태도가 더 중요합니다.하단에 있는 모든 사항들에 대해 자신있게 긍정 할 수 있어야 합니다.• 하나 이상의 프로그래밍 언어를 능숙하게 다룹니다.• 복잡한 기술적 개념을 비개발자도 이해할 수 있게 설명할 수 있습니다.• 정해진 일을 수행하는 것이 아닌, 필요한 일을 주도적으로 찾아서 진행한 경험이 있습니다.• 성장하기 위해 적극적으로 피드백을 구하고 개선한 경험이 있습니다.","하단 사항들에 대한 구체적인 사례를 지원문서(이력서, 포트폴리오)등에 포함시켜주세요.(선택)• 팀이 인지하지 못한 문제를 발견하고 해결책을 제시한 경험• 제품의 비즈니스 가치를 이해하고 기술 결정에 반영한 경험• 다른 직군(PM, 디자이너, QA 등)과의 협업을 주도하여 문제를 해결한 경험• 동료의 성장을 도운 구체적 사례 (멘토링, 페어 프로그래밍, 지식 공유 등)• 개인의 성과보다 팀의 성공을 우선시하여 행동한 경험."
비에이치에스엔,• 서비스의 백엔드 시스템 설계 및 개발 전반 리딩• 기술 구조 개선 및 아키텍처 방향성 수립• 유연하고 안정적인 서버 구조 설계 및 성능 최적화• 서비스 확장 및 고객 요구사항 반영을 위한 구조 효율화• 기획 아이템에 대한 개발 관련 작업 조율(Sales / Product / Dev간).,"(개발 경험)• Kotlin, Java, Spring boot 3.x, Spring 6.x, Spring Cloud, JPA 기반 개발 경험• Restful API 설계 및 운영 경험• Docker, Kubernetes 등 컨테이너 기반 환경에서 서비스 배고 경험• Git 기반 협업 및 코드 관리 능숙• 웹서비스 구조(Frontend ↔ Backend)에 대한 이해• 서비스 전반 아키텍처 설계 및 개선 경험(조직 리더 경험)• 6명 이상의 개발자 조직 리딩 경험• 팀 운영 프로세스 설계 및 운영 경험• 구성원의 성장과 협업을 이끄는 피드백 및 코칭 역량(적합성)• B2B 솔루션 및 엔터프라이즈 시스템 개발 및 운영 경험• 기본 서비스 환경을 분석해 점진적 개선 및 리팩토링 주도한 경험.","• 뮤니케이션이 원활하고 문서화 습관이 체화된 분• CI/CD 파이프라인 구축 및 자동화 경험• Redis, Kafka, ES 등 활용 경험이 있으신 분• MSA에 대한 이해도가 있으신 분• AWS, GCP, Azure 등 클라우드 컴퓨팅 솔루션 경험."
딜리버리랩,"• 기술 비전 및 로드맵 - 식자재 유통 도메인의 비즈니스 목표에 부합하는 장기 기술 로드맵 및 기술 전략을 수립* 플랫폼 아키텍처 고도화 - AWS 기반 Kubernetes/Kafka 환경을 기반으로, 대규모 주문 및 이벤트에 선제적으로 대응 가능한 고가용성, 확장성, 비용 효율성이 극대화된 아키텍처를 설계하고 운영* 기술 조직 리더십 - 기술 조직 전체의 역량을 극대화할 수 있는 리더십을 발휘하고, AI 기반 워크플로를 통합한 성과 중심의 개발 문화를 정착시키며, 개발자들의 기술적 성장을 위한 환경을 조성* 성능 및 데이터 최적화 - 서비스의 99.99% 가용성 확보와 Latency 최적화에 주력하고, 데이터 기반 의사결정을 위한 플랫폼 및 아키텍처를 설계* 전사 프로세스 혁신- 개발 프로세스 전반(기획, 개발, 배포)을 개선하고 기술 리스크를 사업 일정에 맞춰 관리하며, 기술 부채 해소 방안을 정의하고 실행.","• IT/소프트웨어 개발 분야 10년 이상의 개발 경력 및 기술 조직 관리/리딩 경험이 있으신 분.• 기술 조직에 대한 효과적인 리더십, 코드 리뷰 문화 정착, 개발팀의 성장 및 채용에 대한 명확한 철학을 가지신 분.• Java/Kotlin 백엔드 및 Vue.js/React 프론트엔드 환경에 대한 깊은 이해를 바탕으로 기술 의사결정을 리드해 본 경험이 있으신 분.• Kafka와 같은 메시지 브로커를 활용한 EDA 설계 및 대용량 분산 시스템 운영 경험이 있으신 분.• AWS 환경에서 Kubernetes (EKS) 기반 프로덕션 서비스를 구축하고 운영한 경험이 있으신 분.","• 식자재 유통, E-commerce, SCM, TMS 또는 WMS 관련 핵심 시스템을 설계하고 운영한 경험이 있으신 분.• 복잡한 결제/정산 로직을 설계 및 고도화한 경험이 있으신 분.• 개발 프로세스 내 AI 코딩 어시스턴트 또는 자동화 도구를 도입한 경험이 있으신 분.• 수요 예측, 개인화 추천, 검색 랭킹 등 이커머스/유통 도메인에서 AI/ML 모델을 개발한 경험이 있으신 분.• Elasticsearch 등 검색 엔진 기반 시스템 설계 및 대용량 데이터 처리 파이프라인(CDC 등) 구축 경험이 있으신 분.• MSA 환경에서의 대규모 트래픽 처리 경험과 안정적인 서비스 운영을 위한 아키텍처 설계 및 최적화 경험이 있으신 분.• TDD, BDD를 도입하고, 자동화된 QA 및 CI/CD를 구축하여 개발 품질을 혁신한 경험이 있으신 분.• 기술 부채를 측정 및 관리하는 명확한 기준을 수립하고, 해소한 경험이 있으신 분."
페칭,"• Node.js 기반 API 서버 개발 및 운영• Nest.js + TypeScript 환경에서의 비즈니스 로직 설계• Node.js 기반 웹 크롤러 개발 및 유지보수• 관리자(Admin) 페이지 및 내부 서비스 백엔드 개발• AWS 인프라 환경 구성 및 운영 자동화• 시스템 안정성과 확장성을 고려한 구조 설계 및 개선---#사용 기술 스택• 백엔드: Node.js, TypeScript, Nest.js, MySQL (AWS Aurora)• 인프라: AWS RDS, ECS, Elastic Cloud, RabbitMQ, Docker• 프론트: Next.js, React Native• 협업: Notion, Slack.","• 4년 이상의 Node.js 백엔드 개발 경력• CS 기초 지식(운영체제, 네트워크, DB, 자료구조, 알고리즘 등) 보유 및 실무 적용 가능• Nest.js, Django, Spring 등 웹 프레임워크 경험 보유• 웹/앱 서비스의 실제 백엔드 시스템 설계 및 개발 경험• AWS 기반의 인프라 구성 및 운영 경험 (RDS, ECS 등)• MySQL(MariaDB), NoSQL 등 데이터베이스 설계/운용 경험• Git, SVN 등 버전 관리 시스템 사용 경험• Docker 컨테이너 환경에서의 개발 경험• 협업 도구 사용 및 다양한 팀과의 원활한 커뮤니케이션 능력• 주어진 목표를 넘어 능동적으로 문제를 정의하고 해결하는 자세.","• 클린 코드와 구조적 설계에 대한 집착이 있으신 분• 코드 리뷰를 즐기며 팀의 코드 퀄리티 향상에 기여하시는 분• 대규모 웹 크롤러 개발 및 운영 경험 보유자• React, Next.js 등 프론트엔드 프레임워크에 대한 이해 또는 실무 경험."
아이트럭,"• 웹/앱, AI/ML 개발 총괄• 팀원 및 팀 일정 관리• 보안 관제 시스템 도입 및 운영• 사업성 분석 및 고도화 리딩• 팀 개발 역량 강화 및 상향 평준화.","• 개발 역량 7년 이상, 대졸이상, 남녀무관• 웹/앱(Android & ios) 개발 경험• 웹/앱 플랫폼 서비스의 사업성 분석 경력• 유연한 커뮤니테이션• Full-stack 업무 경험자• 실무 및 리딩 업무 가능자 [기술 스택]Backend: Node.js(ExpressJS), FastAPI, REST API, MySQL(RDS/Aurora), ElasticsearchFrontend / App: React, Next.js, React Native, Expo(CodePush)Infra / DevOps: AWS (ECS Fargate, EC2, Lambda, S3, CloudWatch), Docker, Terraform, GitHub ActionsAI/ML: Python, scikit-learn, XGBoost, YOLOv5, ResNet, MLflow, Pandas/NumpyData / ETL: Airflow(또는 Cloud Composer), BigQuery, Elasticsearch, SQLAlchemy, AsyncIO 기반 크롤러Security: IAM, VPC, 보안 관제 시스템 구축 및 운영 경험.",• 머신러닝 프로젝트 경험자• 고난이도 빌링 시스템(에스크로) 개발 경험자• 모빌리티 플랫폼 경험자.
서플라이스,"• 서비스 기획단계부터 참여하고, 디자인, 개발, 출시의 전체 사이클을 총괄합니다.• 리더십들과 직접적으로 소통하고 사업적 니즈를 SW개발 방향성과 맞추고 리드합니다.• SW팀을 리딩하며, 앱, FE, BE 개발직군들과 협력하여 최적의 플랫폼과 프러덕트를 개발합니다.• 서비스 요구사항을 기반으로 확장 가능하고 안정적인 플랫폼을 설계하고 운영합니다.• 개발 팀원들의 기술역량 강화를 지원하고, 개발조직의 성장을 위한 문화와 환경을 만듭니다.• 서비스 프로젝트 사이클을 이해하고 이를 관리하고 리딩합니다.• 실무 핸즈온을 통해 SW 개발에 기여하고, 기술적인 가이드와 리더십을 발휘합니다.","• 풀스택 개발 또는 백엔드 개발 실무 경험이 7년 이상인 분• 팀 리드 경험이 2년 이상인 분• Typescript/Javascript, NestJS, Typeorm, NextJS 실무 개발 경험 5년 이상인 분• aws 인프라 운영 경험, ALB, ECR, 쿠버네티스(EKS), aws 람다 개발 및 운영 경험• CI/CD 구축 경험(Jenkins 또는 Github action, aws Code Pipeline, Codebuild)• 개발 경험을 기반으로 모바일, FE, BE 개발 및 시스템 아키텍처 경험• 개발팀을 리딩하고 성과를 달성한 경험• 개발 조직 리더십 및 부서 간 협업 능력• 원활한 커뮤니케이션 및 문제 해결 능력• Agile 기반 업무 프로세스 및 매니징 경험.","• 스타트업(시리즈 A, B, C 등) 경험을 통해 유연한 업무 환경에서 빠르게 성장해 본 경험이 있는 분• 10명 이상의 기술 조직관리(목적, 스쿼드 조직) 및 리딩 경험• 데이터 기반 의사결정에 필요한 서비스 데이터 구축 경험• Agile 조직에서 데이터 기반으로 주도적인 의사결정 경험• Fitness, F&B 사업에 대한 IT 기술 접목 경험."
와따에이아이,• 자사 안전/물류관리 BtoB 플랫폼 개발 PM으로서 개발 로드맵을 설계하고 추진.• 제품을 효율적으로 만들 수 있도록 개발 계획 및 개발 진행 PM.,"• 개발팀 리드 또는 개발PM 경력 5년 이상• B2B 서비스를 시작부터 끝까지 기획하고 출시해 보신 분• AWS의 클라우드 환경에서 서비스 개발, 배포 및 운영 경험• 복잡한 비즈니스 요구사항을 풀어내며 적극적이고 원활한 커뮤니케이션이 가능하신 분• 외부 연동/제공 API 개발 경험 또는 그에 필요한 기술 이해가 있으신 분• 로봇 하드웨어 연동 서비스의 경험이 있으신분• Git 등의 분산 버전 관리 시스템 이용 경험이 있으신 분.","• Smart Factory, IOT 플랫폼 관련 경험을 보유하고 열정이 높으신 분• 플랫폼 개발환경에 대한 이해와 경험이 있으신 분• Software 전반적인 QA 및 프로젝트 관리 관련 지식이 있으신 분• 개발팀을 육성한 경험과 관심이 있으신 분• 좋은 코드, 개발 프로세스에 관심을 가지고 노력하고 계신 분."
비지트,• 회사 비전과 목표에 부합하는 기술 로드맵 설계 및 실행• 360 콘텐츠 활용 데이터 개발 및 최적화• 기업부설연구소 agile 기반 개발 프로세스 구축• 기술 협력 업체 및 파트너사 협업 관리.,"• 컴퓨터공학, SW엔지니어링 관련 석사 이상(Image Processing, Vision, 3D, AI 관련• AI 기반 영상처리 관련 개발 경력 및 높은 기술 이해• 데이터 처리와 분석에 대한 이해 및 활용• 360 콘텐츠 또는 AI 서비스 관련 데이터 처리와 시각화 경험• 실무자 간 원활한 소통과 협업 능력.",• 스타트업에서 개발 조직 리딩 • 팀 빌딩• 서비스 관련 운영.
