기업명,주요업무,자격요건,우대사항
리디(RIDI),"• 콘텐츠 ​플랫폼의 ​핵심 백엔드 시스템을 ​설계하고 ​개발합니다.• 대용량 ​트래픽과 데이터를 처리하는 ​확장 가능한 ​서버 ​아키텍처를 구축하며, ​사용자 서비스와 ​내부 ​운영을 위한 고성능 ​API를 개발합니다.• 서비스 ​안정성과 가용성을 위한 모니터링, 성능 최적화, 장애 대응 업무를 수행합니다.","• Node.js, TypeScript, MySQL, Go 등에 기반한 서버 개발이 가능하신 분• 클라우드 및 분산 컴퓨팅 환경에서 백엔드 애플리케이션 및 배치성 작업을 개발하는 것에 익숙하신 분• 코드와 시스템 품질, 원인 파악 및 해결, 테스팅에 익숙하신 분.","• 비지니스 요구사항을 빠르게 이해하고, 데이터 모델과 API를 디자인하실 수 있으신 분• 대규모의 백엔드 시스템을 처음부터 만들어보신 분• 모니터링, 로깅, 장애 대응 등 SRE 업무에 익숙하신 분• 자유로운 근무환경에서 스스로의 목표와 일정을 관리할 수 있으신 분• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받으시는 분• 맡은 작업에 대한 오너십을 갖고 이를 완성시키는 일에 열정이 있으신 분."
콘텐츠웨이브(wavve),• ​Wavve ​상품/빌링/회원 등 ​인프라 시스템 설계 및 ​개발.,"• ​서버 개발자로 ​실무 5년차 ​이상 또는 그에 ​준하는 ​역량을 보유하신 분• ​Go, ​Java, ​Node.js, Kotlin, Python ​중 1개 ​이상 ​유경험자• Restful ​API 설계와 ​개발 ​경험• 백엔드 아키텍처 ​설계와 개선 ​경험• 클라우드(AWS 등) 및 K8S 기반 서비스 개발 경험• SQL 및 NoSQL 데이터베이스 활용 경험• Redis, Kafka 등 활용 경험.",• 유관 업무 경험자 (상품/빌링/회원/인증 등)• MSA 설계 및 적용 경험• 도메인 기반 설계(DDD) 능숙한 분• 새로운 프로젝트 및 기존 서비스 유지보수를 모두 경험해 본 분• 백엔드 서비스 API에 대한 꾸준한 노력과 도전 경험이 있는 분.
미스터블루,"• Typescript, React, Next.js 기반의 웹 프론트엔드 서비스 개발 및 운영• 미스터블루 서비스 전체 웹 프론트엔드 개발 업무.","• 프론트엔드 개발 경력 3년 이상이거나 이에 준하는 경험을 보유하신 분• SPA/SSR 개발 경험이 있으신 분• TypeScript 또는 ES6+를 통한 React 개발 경험이 있으신 분• REST API에 대한 이해가 있으신 분• 디자이너, 기획자, 서버 개발자 등 다양한 직군과의 원활한 협업 및 커뮤니케이션 능력을 보유하신 분• 코드 품질, 유지보수성, 재사용성을 고려한 컴포넌트 설계 및 구현 경험을 보유하신 분• Git을 이용한 형상 관리와 Git-flow 기반의 협업 경험이 있으신 분.","• 웹 서비스 성능 최적화 및 더 나은 사용자 경험을 위해 끊임없이 고민하고 연구하시는 분• 스스로 문제를 찾아내고 정의하여 이를 해결하려는 능동적인 태도를 갖추신 분• 코드 리뷰 & 페어 코딩 등 동료 개발자와 협업 경험이 있으신 분• AI 기술을 활용해 문제를 해결하거나 실제 서비스에 적용해본 경험이 있으신 분• 프론트엔드 레거시 전환 경험이 있으신 분• 자발적으로 학습하고 적극적으로 공유하는 것을 즐기는 분(블로그, Github 등 있으시면 제출)[미스터블루에서 활용하는 기술 스택]미스터블루 프론트엔드팀은 최신 기술을 적극적으로 도입하며, 팀원들과 함께 최적의 스택을 고민하고 적용합니다.• 패키지 매니저: PNPM• 코어: TypeScript, React, Next.js• 상태 관리: Recoil, Tanstack Query• 스타일링: SCSS, styled-components• 포매터&린터: Prettier, ESLint, Biome• 빌드: webpack• CI/CD: GitLab CI/CD, Docker, Nginx• 디자인: Zeplin, Figma• 협업: Jira, Confluence, Slack,• IDE: Cursor."
아임웹,"Back-end Engineer는 100만 개의 브랜드와 브랜드 고객(실구매자)으로부터 발생하는 대용량 데이터를 기반으로 브랜드들이 마주하는 모든 어려움을 해결하고 있어요. 담당하는 제품의 백엔드 영역에 집중하여 아키텍처 설계부터 피처 단위의 개발까지 적극적으로 의견을 낼 수 있고, 주도적으로 운영을 책임질 분을 찾고 있어요.• 대용량 트래픽을 고려해 안정적이고 확장 가능한 시스템을 개발·운영해요.• 아임웹 핵심 도메인 기능을 개발하고 고도화해요.• 신규 요구사항에 따라 DB를 모델링하고 API를 개발해요.• 성능을 모니터링하며 시스템을 최적화해요.• 장애가 발생하면 신속히 대응하고, 기술적 오류를 분석·개선해요.","• 2년 이상의 백엔드 개발 경력이 있으신 분• Node.js, Java, Go 중 하나를 능숙하게 다루실 수 있는 분• NestJS 또는 Spring Framework 사용 경험이 있으신 분• REST API, GraphQL, Protocol Buffers 등 API 개발 경험이 있으신 분• RDB 설계 및 운영 경험(MySQL, PostgreSQL 등)과 NoSQL 사용 경험이 있으신 분• Docker 등을 활용한 배포 자동화 및 운영 환경 구성 경험이 있으신 분.","• Kafka, Redis 등 메시징/캐시 시스템을 활용해 확장 가능한 시스템을 구현하고 대용량 트래픽을 처리한 경험이 있으신 분• gRPC 및 RESTful API를 활용한 서비스 간 연동 개발 경험이 있으신 분• Grafana, Datadog 등 모니터링/로깅 도구를 활용해 서비스 안정성을 확보한 경험이 있으신 분• 코드 리팩토링 및 테스트 코드 작성으로 코드 품질 향상에 기여하신 분• 다수의 프로젝트를 주도하거나 관리한 경험이 있으신 분• 특정 도메인 지식에 국한되지 않고 다양한 분야의 문제를 해결한 경험이 있으신 분• 꾸준한 학습과 성장을 통해 기술 발전과 함께 성장하고자 하는 의지가 높으신 분."
토스플레이스,"• 오프라인 결제 및 매장 경험을 혁신하기 위해, 토스플레이스가 만드는 토스 포스(POS)에서 실행되는 확장 프로그램 플랫폼(플러그인 SDK)을 설계하고 개발해요.• 토스 포스에 배달 연동 기능을 개발해 점주의 운영 효율을 극대화하고, 토스 포스 하나로 매장 운영이 가능하도록 도와요.• 토스플레이스 팀 전체의 생산성을 높이기 위한 업무 자동화 플랫폼을 구축해요.","• 사용자들의 모바일 행동이 훨씬 쉬워지도록 도운 경험이 있으신 분을 찾고 있어요.• 외부 상황에 따라 서비스가 중단되지 않도록 데이터를 수집하고 모니터링해 보신 경험이 있으신 분을 찾고 있어요.• 유연하면서도 가독성이 좋은 코드, 유지보수가 가능한 코드를 작성하실 수 있는 분을 찾고 있어요.","• 반복적인 업무 프로세스의 패러다임을 바꾸고 새로운 방식으로 전환한 경험이 있으면 좋아요.• 더 좋은 개발자 경험(Developer Experience)을 만드는 것에 관심이 많은 분이면 좋아요.[이력서는 이렇게 작성하시는 걸 추천해요]• 기여한 프로젝트를 사례 중심으로 상세히 기술해 주세요. (본인의 역할, 사용했던 기술스택, 프로젝트 전후 개선된 점 등)• Node.js, ELK, ORM등 다양한 기술을 활용한 웹/앱 서비스 운영 경험을 작성해 주세요.• 불편한 인터페이스를 자동화한 경험이 있다면 작성해 주세요."
레브잇,"• 올웨이즈 Growth Feature/Commerce Platform 제품의 웹/앱 컴포넌트 설계, 개발, 테스트 및 운영을 담당합니다.• 서비스 아키텍처 설계부터 출시까지 전 과정에 참여합니다.• 백엔드 시스템이 더 높은 확장성을 갖출 수 있도록 서비스 운영 안정성을 향상시킵니다.","• 만 2년 이상의 백엔드 개발 경력에 준하는 역량을 보유하신 분이 필요합니다.• 프로그래밍 언어(Kotlin/Java 또는 Typescript), 프레임워크(Spring Boot 또는 Node.js) 활용 능력 및 소프트웨어 개발 역량이 있으신 분이 필요합니다.• 비즈니스 요건을 빠르게 이해하고 능숙하게 데이터 모델과 API를 디자인할 수 있는 분이 필요합니다.• 빠르게 개발하고 배포하는 조직에서 주도적으로 일해 보신 분이 필요합니다.• 고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있는 분이 필요합니다.[기술 스택]• 프로그래밍 언어: Kotlin/Java, Typescript• 프레임워크: Spring Boot, Node.js, Express.js• 데이터베이스: PostgreSQL, MySQL, MongoDB, Redis, Elasticsearch• 클라우드 서비스: AWS (EC2, S3, Lambda, Route 53, CloudFront 등)• 컨테이너 오케스트레이션: Kubernetes, Docker• CI/CD: GitHub Actions, Argo CD• 버전 관리: Git• 모니터링 및 로깅: Datadog, Sentry• 협업 도구 : Slack, Jira• AI 개발 툴 : Claude Code, Cursor, Copilot, ChatGPT 등.",• 커머스/플랫폼/앱테크 관련 도메인 경험이 있는 분을 선호합니다.• 업무 비효율을 줄이고 자동화와 최적화로 팀의 생산성을 높일 수 있는 분을 선호합니다.• AI 개발 툴 활용능력이 높은 분을 선호합니다.
테서,• 환자 중심 AI 의료 플랫폼 온톨(Ontol)의 백엔드 개발 및 운영• 병원 검진센터 B2B 솔루션 Ontol for Clinics 백엔드 개발 및 운영• AWS 기반 클라우드 인프라 운영 및 자동화• 병원 별 PoC 및 운영 환경에 맞춘 데이터 보안·성능 최적화·장애 대응.,"• 팀 작업 경험 2년 이상 또는 그에 준하는 수준의 백엔드 개발 실무 역량• Node.js + TypeScript 기반 서버 애플리케이션 개발 경험• 객체지향 프로그래밍의 기본 개념과 원칙을 이해하고, 이를 적용할 수 있는 역량• 관계형 데이터베이스에 대한 이해와 SQL·데이터 모델링 경험• Git 기반 협업 환경 및 브랜치 전략에 대한 이해• 단순 기능 구현을 넘어 서비스 문제를 기술적으로 해결할 수 있는 사고방식• 함께 아키텍처·코드 품질·개발 프로세스·팀 문화를 발전시키고자 하는 열정.","• NestJS, TypeORM 기반 백엔드 개발 경험• GraphQL 기반 API 설계 및 개발 경험• OpenAPI 스펙 기반 API 문서화, 자동화 경험• MSA(Microservices Architecture) 환경에서의 서비스 개발 및 운영 경험• IaC(Infrastructure as Code) 기반 인프라 설계 및 운영 자동화 경험(예: Terraform, AWS CDK, CloudFormation 등)• Redis Streams / SQS / Kafka 등 메시지 큐 기반 비동기 처리 경험• WebSocket, SSE 등 실시간 이벤트 전송 및 연결 유지 메커니즘에 대한 이해와 구현 경험• RDB 설계, SQL 쿼리 튜닝 및 최적화, ORM 활용 경험• CI/CD 파이프라인 구축 및 자동화 경험• 의료 데이터, B2B SaaS, 복잡한 도메인 환경 개발 경험."
넥슨코리아(NEXON),• Node.js 기반의 메이플스토리 게임 관련 백엔드 서비스 설계 및 개발• 프로젝트 내부에서 사용하는 웹툴 개발 전반 담당.,• Node.js를 사용한 백엔드 개발 실무 경력이 3년 이상이신 분• TypeScript에 대한 깊은 이해도와 실무 경험이 있으신 분• RESTful API 설계 및 구현 능력을 보유하신 분• SQL 및 NoSQL 데이터베이스 경험이 있으신 분• 커뮤니케이션 및 협업이 원활하신 분.,• NestJS 프레임워크 사용 경험이 있으신 분• MSA(Micro Service Architecture) 실무 개발 경험이 있으신 분• DevOps 개발/배포 환경 실무 경험이 있으신 분• 개인 프로젝트로 외부 서비스 배포 경험이 있으신 분• 새로운 언어 및 환경에도 바로 적응 가능하신 분• 메이플스토리 게임 내 컨텐츠/시스템에 대한 이해가 높으신 분.
씨제이이엔엠(CJ ENM),"프론트엔드 개발자는 Mnet Plus의 사용자 경험을 완성하고, 서비스의 사용성과 효율성을 극대화하는 역할을 담당합니다.• Mnet Plus 앱 컨텐츠를 관리하는 CMS 개발• 사용자 경험 개선 및 웹 서비스 성능 최적화• 디자인 시스템 개발• 프론트엔드 플랫폼 개발.",• Javascript/Typescript을 사용한 개발 업무를 3년 이상 경험하신 분• React 기반 웹 애플리케이션 개발 경험• 브라우저 렌더링 원리 및 웹 동작 방식에 대한 깊은 이해• 비동기 프로그래밍 및 네트워크 통신에 대한 이해• nodejs 개발 경험을 갖추신 분.,"• 한 제품을 2년 이상 다뤄본 경험이 있으신 분• 5명 이상의 개발팀, 10명 이상의 제품팀에서 원활한 협업을 진행한 경험을 보유하신 분• 웹 성능 최적화 경험 (메모리 누수, 렌더링 성능, 번들 사이즈 최적화 등)이 있 으신 분• 검색 엔진 최적화(SEO) 구현 경험이 있으신 분• 글로벌 서비스를 위한 다국어처리(i18n) 경험을 보유하신 분[캐릭터&성향]• 직군과 관계없이 어울릴 수 있고, 적극적인 커뮤니케이션을 하려고 노력하는 분• 우선순위를 명확히 하여 Resource 대비 최대의 Impact를 만들어 줄 수 있는 분• 나의 팀만을 위한 의사결정이 아닌 사업부 차원의 의사결정을 할 수 있는 분• 사업과 조직의 Stage변화에 맞춰 유연하게 사고하고, 일하는 방법과 Role, Formation 방식 등에 유연하게 대응할 수 있는 분• 콘텐츠에 대한 진심과 애정으로 콘텐츠業을 사랑하며 진정한 덕업일치를 이루고 싶은 분."
코딧(CODITCorp.),"• 코딧 플랫폼 및 생성형 AI 기반의 대화형 정책 및 규제 챗봇 ChatCODIT을 개발합니다.• Node.js, Express 와 Typescript를 이용하여 코딧 API 서버를 구현하고, 기능 개발 및 유지보수 업무를 하게 됩니다.• Node.js와 ES6를 이용하여 알림 서버를 구현하고, 기능 개발 및 유지보수 업무를 하게 됩니다.• 각종 법령 및 규제와 관련하여 수집된 데이터를 ELK와 연동하여 API 서버를 구현합니다. • AWS의 여러 서비스를 이용하여 서버를 구성하고 관리하게 됩니다.• 법안/법령/정책 등 고객에게 제공하는 다양한 종류의 데이터를 웹 또는 공공 API에서 수집하는 일을 합니다.• 데이터를 수집하는 여러 크롤러의 데이터 파이프라인을 구축 및 운영합니다.","• JavaScript(ES6 이상), node.js 개발 능력을 보유하신 분• RDB 또는 Nosql 설계 및 개발이 가능하신 분• HTML5, CSS3, 웹 표준의 이해가 높으신 분• 유연한 문제해결 능력과 투명한 커뮤니케이션 역량을 보유하신 분• 담당 업무에 몰입할 수 있고, 그 과정에서 얻게 되는 성취와 성장에 가치를 두는 분• 서비스 품질에 대한 책임감과 개선에 대한 의지가 있으신 분.","• Typescript, Python 개발 경험이 있는 분• Beautifulsoup4, Puppeteer 능숙하신 분• ELK를 이용하여 데이터 인덱싱 또는 API 연동 경험이 있는 분• Apache Airflow를 이용하여 크롤러 스케줄링 및 운영 경험이 있는 분• 어려운 문제를 주도적으로 해결한 경험이 있거나 즐기는 분• 긍정적이고 능동적인 마인드를 보유한 분• 변하는 상황에 맞춰 다양한 업무를 경험하고 싶은 분• 성장하는 스타트업을 경험하고 싶으신 분."
