기업명,주요업무,자격요건,우대사항
빗썸,"• 거래소의 가장 핵심 기능인 가상자산 입출금 시스템을 개발하고 안정적으로 운영합니다. 이는 대용량 트랜잭션을 처리하고 고객 자산의 정확성을 보장해야 하는, 금융 수준의 무결성을 갖춘 미션 크리티컬 시스템을 다루는 경험입니다.• 새로운 외부 분산 시스템(블록체인 L1/L2)을 분석하고, 거래소 시스템과 안정적으로 연동합니다. 이는 다양한 외부 노드와의 비동기 통신, 대규모 트랜잭션 데이터의 정합성을 보장하는 복잡한 시스템을 설계하는 도전적인 일입니다.• 자산 기반의 신규 서비스(예: 스테이킹)의 백엔드 로직을 개발합니다. 이 과정에서 발생하는 복잡한 보상 및 정산 체계를 거래소 시스템과 안정적으로 연동하는 역할을 수행합니다.• 업계 최고 수준의 키 관리 시스템과 백엔드 서비스 간의 안전하고 효율적인 API 인터페이스를 개발하고 고도화합니다.","• Java/Kotlin, Go, Python 등 하나 이상의 언어 및 관련 프레임워크(Spring Boot 등)에 능숙하며, 안정적이고 확장 가능한 백엔드 시스템을 주도적으로 설계, 개발, 운영할 수 있는 역량을 보유한 분• RDBMS(MySQL 등)와 NoSQL(Redis 등)의 특성을 이해하고, 대용량 데이터를 처리하기 위한 스키마 설계 및 쿼리 최적화가 가능한 분• 자료구조, 알고리즘, 네트워크, OS 등 CS 핵심 지식을 바탕으로 시스템의 성능 병목을 분석하고 개선한 경험.","• Kafka 등 이벤트 스트리밍 플랫폼을 활용한 비동기/대용량 트래픽 처리 및 분산 시스템 설계/운영 경험이 있는 분• Go, Rust 등 고성능/동시성 처리에 강점이 있는 언어 사용에 능숙하신 분• Kubernetes, Docker 기반의 클라우드(AWS/GCP) 환경에서 개발 및 운영 경험을 보유한 분• 블록체인 노드 연동 또는 관련 기술(EVM 등) 개발 경험 혹은 성장하고 싶은 관심을 가진 분• 금융, 거래 시스템 등 높은 안정성이 요구되는 미션 크리티컬 시스템 개발/운영 경험, 그리고 이에 필요한 꼼꼼함과 책임감을 가진 분• 복잡한 도메인 문제를 주도적으로 해결하고, 다양한 기술 팀(리서치, 보안, DevOps 등)과 효과적으로 협업하는 능력을 보유하신 분[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
빗썸,"• 월렛 시스템과 블록체인 노드를 안전하게 격리하고 보호하기 위해, VPC, Subnet, Security Group, VPN 등을 활용한 보안 중심의 네트워크 아키텍처를 설계하고 운영합니다.• 24/7 중단 없는 입출금 서비스를 위해 Multi-AZ/Region을 활용한 고가용성 및 재해 복구아키텍처를 주도적으로 설계하고 구축합니다.• 개발자들이 안정적으로 서비스를 운영할 수 있도록 Kubernetes(EKS/GKE) 클러스터를 설계, 구축하고 네트워킹(CNI) 및 보안 정책을 수립합니다.• Terraform을 중심으로 모든 인프라 자원을 코드로 관리(IaC)하여, 반복 가능하고 일관성 있는 인프라 환경을 구축하고 고도화합니다.• 수백 대의 노드와 서버 리소스 사용량을 모니터링하고, 비즈니스 요구사항과 안정성을 고려한 비용 최적화 방안을 수립하고 실행합니다.","• 클라우드(AWS/GCP) 환경에서 인프라 아키텍처를 주도적으로 설계, 구축, 운영해 본 경험을 보유하신 분• IaC(Infrastructure as Code) 도구(특히 Terraform)를 활용한 인프라 관리 경험을 보유하신 분• 네트워크(TCP/IP, VPC, Subnet, LB, Firewall, VPN)에 대한 깊이 있는 이해를 보유하신 분• Kubernetes(EKS/GKE) 클러스터 설계 및 구축/운영 경험을 보유하신 분• Linux 시스템 엔지니어링 및 트러블슈팅 역량을 보유하신 분.","• 클라우드 환경에서의 고가용성 및 재해 복구 아키텍처 설계/구축에 대한 깊이 있는 전문성• Kubernetes 네트워킹(CNI) 및 보안(Network Policy 등)을 포함한 심층적인 클러스터 설계/운영 경험• 클라우드 네이티브 보안(IAM, WAF, KMS, Security Group 등)에 대한 깊은 이해 및 아키텍처 적용 경험• 핀테크, 거래소 인프라 또는 실제 블록체인 풀노드 운영 인프라를 다뤄본 경험• 초기 구축 단계에서 시스템 전체를 조망하며, 주도적으로 최적의 아키텍처를 제안하고 구축하는 역량• 비즈니스 요구사항과 비용 효율성을 모두 고려하여 인프라를 설계하고, 개발팀과 원활하게 소통하는 능력[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
판도라티비,"• API 개발 및 유지보수• 서비스 및 인프라의 안정성, 확장성, 효율성 개선• 신규 서비스 구축 및 운영• AI 서비스 연동 및 활용 (OpenAI, Gemini 등 LLM API 기반 서비스 개발).","• 유관 경력 2년 이상이신 분• Python / Django 기반 백엔드 서비스 개발 및 운영 경험이 있으신 분• API 및 서버 기능 개발, 성능 개선 및 안정화 경험이 있으신 분• 서비스 인프라 및 데이터 구조 개선 참여 경험이 있으신 분.","• Git 및 소스 코드 관리 경험이 있으신 분• DB 성능 최적화(인텍싱, 정규화, 퀴리 튜닝) 및 ORM 최적화 경험이 있으신 분• 대규모 트래픽 대응 및 인프라/DB 최적화 경험이 있으신 분• AWS 등 클라우드 인프라 운영 경험이 있으신 분• 블록체인 지갑 개발 경험이 있으신 분• 가상자산 및 블록체인에 대한 이해도가 높으신 분."
매스어답션,"[백엔드 엔지니어는 이런 업무를 해요!]• 버클 Web/Mobile Application에 필요한 API 설계 및 개발• 다양한 커머스플랫폼 등 외부 API 연동 개발 및 데이터 마이그레이션• 효율적이고 안정적인 서비스 운영을 위한 시스템아키텍처 및 성능 개선[우리는 이런 분들과 함께하고 싶어요!]• 사용자가 겪는 문제를 IT 기술을 통해 주도적으로 해결하려고 노력하는 사람• 새로운 기술에 대해 거부감이 없고, 끊임없이 도전하길 좋아하는 사람• 팀원들과 기술을 공유하고 함께 성장하는걸 중요하게 생각하는 사람• 되는 걸 만드는 것보다 잘 되는 걸 만들기 위해 노력하는 사람• 자신의 의견을 적극적으로 말할 수 있는 사람[버클에서는 이런 기술들을 활용합니다!]• Back-end: TypeScript(Nest.js), Kotlin(SpringBoot), Python, Flink, Airflow• Front-end: React.js, Next.js, TypeScript, Zustand, TanStack Query, tailwind, emotion, shadcn-ui, MUI• Native App: Flutter, React-Native• Database: MySQL, MongoDB, DynamoDB, Redis, StarRocks, BigQuery• Infra: AWS (EC2, RDS, Lambda, SQS, S3, Amplify, etc.), k8s, Kafka, ArgoCD• Co-work: Github, Slack, Notion, Figma.","• 개발 경력 5년 이상 혹은 그에 준하는 역량을 갖추신 분• 한 가지 이상의 개발언어(TypeScript, Kotlin, Golang, Python 등)를 능숙하게 활용 가능하신 분• 자료구조, 알고리즘, 네트워크, 보안 등 기본적인 컴퓨터 공학 지식을 보유하신 분• AWS 기반 클라우드 환경에서 다양한 서비스 경험이 있으신 분• RDBMS, NoSQL 등 여러 종류의 데이터베이스 개발 경험이 있으신 분• 백엔드 아키텍처 및 성능 최적화 경험이 있으신 분• Git을 이용한 버전관리에 대한 이해가 있으신 분.",• 컴퓨터공학 전공 및 관련학과 우대• 커머스 및 B2B SaaS 도메인 지식 보유 및 경험 우대• MSA & Event Driven 아키텍 환경에서 개발 경이 있으신 분• 대용량 트래픽 대응을 위한 분산 시스템 운영 경험이 있으신 분• 실시간 데이터 파이프라인 설계 혹은 구축에 참여한 경험이 있으신 분• LLM 기반 구조 설계 또는 Agent 구현에 관심이 있거나 경험이 있는 분• CI/CD에 대한 이해와 구축 경험이 있으신 분.
넥써쓰,"• 테스트 결과 분석 및 이슈 트래킹• 릴리즈 전 최종 검수 및 품질 보증• 기능/비기능 테스트 수행 및 자동화 테스트 환경 구축• 버그 리포트 작성 및 개발팀과 협업을 통한 문제 해결• 블록체인 기반 웹/모바일 애플리케이션의 테스트 계획 및 테스트 케이스 설계• 구글 플레이스토어 및 애플 앱스토어 등록, 업데이트와 관련된 QA 관리 및 외부 커뮤니케이션 대응.",• 가상자산 거래소 또는 블록체인이나 Web3 관련 서비스 경험을 보유하신 분• 학력 : 무관• 경력 : QA 경력 2년 이상 5년 이하 모바일 및 웹 애플리케이션 QA 경험 보유하신 분• 자기 주도적으로 QA 업무를 진행하시는 분• 개발팀과의 원활한 커뮤니케이션 및 협업 능력• 테스트 케이스 설계 및 결함 추적 도구 사용 경험•,"• 컴퓨터 공학 또는 관련 전공 학사 이상• UI / API 자동화 테스트 구축 경험이 있으신 분• 아래 툴 사용 경험자　ㄴ TMS: TestRail, Xray, Zephyr 등　ㄴ API 테스트 : Postman, Jmeter 등　ㄴ UI 테스트 자동화 : Selenium, Appium, Playwrignt 등　ㄴ CI/CD 파이프라인: GitHub Actions, Jenkins 등."
람다256,"[이런 일을 해요]• 신규 API 또는 기능 출시에 따라 필요한 Open API 개발자 문서(https://developer.nodit.io/) 페이지를 작성하고 배포합니다. 기존 개발자 문서 페이지들을 유지보수합니다.• 개발 도구 활용을 위한 예제 코드 및 가이드 문서(README 포함)를 작성하고 배포합니다.• Open API 연동을 위한 언어별 SDK 및 오픈소스 라이브러리를 개발(구현), 운영, 유지보수합니다.• 주요 국내외 개발자 컨퍼런스, 밋업 등에 참석하여 개발자 피드백 수집 및 커뮤니티와의 협업을 통해 Best Practice 발굴에 기여합니다.• 개발자 친화적인 사용자 경험을 위한 개선 방안 제안 및 문제 해결을 주도합니다.","[우린 이런 팀원을 원해요]• 컴퓨터 공학 전공자로서 관련 기본 지식(운영체제, 알고리즘, 자료구조, DB 등)을 갖추신 분• 1년 이상의 기술 문서 작성(API Specification, 사용자 가이드 등) 경력 또는 개발 커뮤니티 협업 경력이 있으신 분• 웹 서비스의 일반적인 아키텍쳐에 대한 이해 및 RESTful API 설계 및 개발/운영 경험이 있으신 분• 다양한 Open API를 연동 및 사용해 본 경험이 있으신 분• 끊임없는 학습 및 기술 공유에 적극적이신 분.","[이런 분이면 더 좋아요]• 3년 이상의 소프트웨어 개발 직무 경험을 보유하신 분• 블록체인 또는 암호화폐에 대한 기본 지식이 있으신 분• API, SDK, 오픈소스 라이브러리 개발 및 유지보수 경험이 있으신 분• 오픈소스 프로젝트에 기여하거나 운영해본 경험이 있으신 분 (GitHub 등 증빙 자료 필수 제출)• 다양한 프로그래밍 언어(Python, javascript/typescript, java 등) 중 하나 이상의 언어에 대해 능숙하며 코딩 표준과 Best Practice에 대한 이해도가 높으신 분• 글로벌 개발자 커뮤니티 또는 컨퍼런스에 참여하여 네트워킹 및 트렌드 파악 경험이 있으신 분."
모드하우스,"• 프로덕트 팀과의 협업을 통해 Cosmo앱의 백엔드 서비스를 개발하고 운영합니다.• EKS, SQS, Aurora, Cloudflare 등의 인프라 위에서 Cosmo 앱에 필요한 API를 개발합니다.• 모니터링/로깅/알람 등을 통해 지속적인 시스템 개선을 합니다.• EVM 기반의 NFT 및 투표 컨트랙트를 개발하고 운영합니다.기술 스택• NodeJS 프레임워크를 활용해 서비스를 개발해요.• 인프라로 EKS를 기반으로 AWS 내 여러 서비스를 사용해요.• 개발 도구 및 협업도구로 Jira, Github를 쓰고 있어요.• EVM 기반 블록체인을 사용하고 있어요.","• 2년 이상의 백엔드 개발 경험이 있으신 분• RDBMS(MySQL, Postgresql 등) 경험이 있으신 분• Typescript (혹은 ES6)를 사용하는 데 익숙하신 분• 새로운 기술을 빠르게 학습하고 변화에 유연하게 대처하는 능력이 있으신 분• 해외 파트너사들과의 영어 업무 소통에 거부감이 없으신 분.","• 7년 이상의 백엔드 개발 경험• 라이브 스트리밍에 대한 개발 경험• 타입 시스템, 정적 분석 등의 경험이 있으신 분• Ethereum 계열의 블록체인 개발 경험 및 데이터 취합/가공 경험이 있으신 분• Blockchain Platform, Wallet, Trading 상품에 대한 이해가 있으신 분• EVM에 대한 높은 개발 이해가 있으신 분• 비즈니스 회화 이상의 영어 사용이 가능하신 분• Container Orchestration (EKS, ECS, GKE 등) 서비스 상에서 서비스 운영 경험이 있으신 분• K-POP 엔터테인먼트 분야를 좋아하고 열정이 있으신 분."
오픈에셋,"# 우리는 이런일을 해요• 원화 기반 스테이블코인 발행/유통/결제/정산 서비스의 **백엔드 서버 개발 및 고도화**• 다양한 비즈니스 로직을 반영한 **API 및 데이터 모델 설계/구현**• Database, Redis 기반의 안정적이고 효율적인 데이터 처리• 블록체인 네트워크(EVM 계열 등)와 연동되는 서비스 개발# 우리는 이런 기술을 써요• Golang• MySQL, Redis• Docker, AWS, GitHub Actions• Solidity 및 스마트 컨트랙트 (필수 아님, 협업 수준 이해 필요).","• 서버 개발 경험 **2년 이상**• Database, Redis 등 데이터 저장/캐싱 시스템에 대한 이해• 비즈니스 로직을 이해하고 API/데이터 모델을 설계할 수 있는 역량• 자신이 경험한 프로젝트를 구체적이고 명료하게 설명할 수 있는 분• 주도적으로 문제를 찾고 해결할 수 있는 분.",• **Golang** 개발 경험• **Solidity** 및 스마트 컨트랙트 구현 경험• EVM 계열 또는 타 블록체인 플랫폼에서 DApp 개발 경험• 금융 서비스 또는 결제 서비스 개발 경험.
빗썸,"• 조직의 핵심 기술 프로그램(예: 코어 시스템 고도화, 신규 서비스 개발, R&D 과제)을 시작부터 배포까지 주도하고 총괄합니다.• 리서치, 보안, 백엔드, 플랫폼 엔지니어링(인프라/DevOps) 간의 복잡한 기술적 의존성을 식별하고, 병목 지점과 리스크를 사전에 파악하여 선제적으로 해결합니다.• 프로그램의 전체 로드맵과 핵심 마일스톤을 수립하고, 각 팀의 실행 일정을 추적하며 프로그램이 목표 일정 내에 완수될 수 있도록 관리합니다.• 프로그램의 진행 상황, 이슈, 변경 사항을 모든 이해관계자(내부 엔지니어, 리더십, 외부 블록체인 재단 등)와 명확하고 시의적절하게 공유하고 동기화합니다.• 효율적인 협업 프로세스(애자일, 스크럼 등)를 정립하고 개선하며, 조직의 애자일 코치 역할을 수행하여 팀의 실행 역량을 높입니다.","• Technical Program Management (TPM) 또는 이에 준하는 역할로서 복잡한 크로스-펑셔널 소프트웨어 엔지니어링 프로그램을 성공적으로 이끌어 본 경험을 보유하신 분• 컴퓨터 공학, 소프트웨어 엔지니어링 전공 또는 그에 준하는 탄탄한 기술적 배경지식을 보유하신 분• 소프트웨어 개발 생명주기 및 애자일/스크럼 방법론에 대한 깊은 이해를 보유하신 분• 복잡하고 모호한 요구사항을 명확한 실행 과제로 정의하고, 기술적 의존성을 파악하여 로드맵을 수립할 수 있는 역량을 보유하신 분• 탁월한 커뮤니케이션 능력, 기술 문서 작성 능력, 그리고 다양한 이해관계자를 설득하고 협업을 이끌어내는 능력을 보유하신 분.","• 블록체인, 가상자산 거래소, 핀테크 도메인에서 프로젝트 또는 프로그램을 리드해 본 경험을 보유하신 분• 애자일 코칭 관련 자격증 또는 전문적인 코칭 경험을 보유하신 분• 실제 백엔드, 인프라, 또는 보안 엔지니어로서의 개발 경험을 보유하신 분 (엔지니어와의 원활한 소통을 위함)• Jira, Confluence, Slack 등 협업 도구를 활용하여 복잡한 프로젝트를 효율적으로 관리한 경험을 보유하신 분• 기술적 권한이 아닌 신뢰와 데이터를 기반으로, 엔지니어들의 협업을 이끌어내고 동기를 부여하는 소프트 스킬을 보유하신 분• 복잡한 기술 이슈를 비엔지니어(기획, 운영 등)에게 쉽게 설명하고 설득할 수 있는 역량을 보유하신 분[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
디렉셔널,• EVM 및 Solidity를 활용한 Smart Contract 개발• 온체인 리스크 관리 로직 구현• 테스트넷 / 메인넷 배포 및 모니터링• 보안 감사 대응 및 취약성 개선.,"• Solidity 기반 Smart Contract 개발 경력• Hardhat, Foundry, OpenZeppelin 등 사용 경험• Gas 최적화 및 재진입 공격 등 보안 이해도• Blockchain 외 백엔드 혹은 프론트엔드 개발 경험• 아래 조건 중 하나 충족• 관련분야 전공의 학사 학위 이상과 관련분야 업무 1년 이상 경력• 금융업에서 관련분야 업무 1년 이상 경력관련분야 전공 전기, 전자, 정보, 컴퓨터, 반도체, 제어계측, 메카트로닉스, 통신, 전파, 방송설비, 전산, 시스템, 멀티미디어관련분야 업무 IT분야 개발 / 운영 / 정보보호 등의 업무금융업 은행(농협,신협, 저축은행 등 포함), 금융투자회사, 증권금융회사, 종합금융회사, 명의개서대행회사, 보험회사, 여신전문금융회사(겸영여신업자), 그 외 금융감독원이 검사하는 기관.","• MakerDAO / Curve / Aave 등 유사 모델 구현 경험• 거래소 (DEX, CEX) 개발 경험• Smart Contract 보안 감사 대응 경험."
