기업명,주요업무,자격요건,우대사항
빗썸,• 가상자산 거래소 플랫폼 서비스의 개발 및 고도화• 대고객 서비스 기능 설계 및 구현• 안정적이고 확장 가능한 RESTful API 설계 및 개발• 고성능 서비스 아키텍처 구성 및 최적화• 서비스 품질 향상을 위한 성능·안정성 개선 및 운영 고도화.,"• 백엔드 개발 경력 3년 이상 보유하신 분• 하나 이상의 프로그래밍 언어로 실제 서비스 프로젝트를 개발·운영한 경험이 있으신 분• 복잡한 비즈니스 로직을 안정적 아키텍처로 설계 및 구현할 수 있는 역량이 있으신 분• Java / Kotlin 기반 Spring Boot 서비스 개발 경험을 보유하신 분• RESTful API 설계 및 개발 경험을 보유하신 분• RDBMS, Redis 등 데이터베이스 및 캐시 시스템 활용 경험을 보유하신 분• AWS 환경에서의 개발·운영 경험을 보유하신 분• Git을 활용한 소스 형상관리 경험을 보유하신 분• JPA, QueryDSL 등 ORM 활용 경험을 보유하신 분• 트랜잭션 처리 및 데이터 정합성 유지에 대한 이해와 실무 경험을 보유하신 분• 다양한 직군(기획, 프론트엔드, QA 등)과 원활히 협업할 수 있는 커뮤니케이션 능력을 보유하신 분• 단순 구현을 넘어 가독성·확장성·안정성을 고려한 장기적 시스템 설계에 관심이 있으신 분• 어려운 기술적 문제에 직면했을 때 주도적으로 해결책을 탐색하고 완성할 수 있는 문제 해결 능력을 보유하신 분.","• Spring WebFlux 기반 비동기 서비스 개발 경험을 보유하신 분• MSA 환경에서의 분산 트랜잭션 관리 및 데이터 정합성 유지 경험이 있으신 분• 가상자산, 증권, 파생상품 등 금융 거래소/핀테크 분야 백엔드 시스템 개발·운영 경험을 보유하신 분• TWAP, Iceberg, Stop-Loss 등 주문 유형 시스템 개발 경험 및 도메인 지식 보유하신 분• Open API 연동을 통한 기관투자자 대상 시스템 개발 경험이 있으신 분."
카카오모빌리티(kakaomobility),• 전사 장애대응 프로세스 통합 및 정책 수립• 사내 다양한 기술 문제에 대한 PM업무.,"• 컴퓨터공학 등 IT 관련 전공의 학사 학위 이상 보유하신 분• 관련 경력 3년 이상이신 분• IT 아키텍처 및 운영 전반에 대해 높은 이해도를 가지신 분• 장애 원인을 파악하고, 리스크를 식별해서 대응하는 프로세스를 운영 해보신 분• 기술 과제에 대하여 목표를 정량적,정석적으로 정의하고 성과를 측정하여 성공적으로 완료해보신 분.","• 주도적인 오너십을 가지신 분• 특정한 기술영역에 대해 빠르게 학습하며, 이를 기반으로 기술부문 크루와 원활한 소통이 가능한 분• 다양한 AI Tool을 활용하고, 이를 기반으로 생산성 개선을 해보신 분."
힐링페이퍼(강남언니),"• React, TypeScript를 활용한 강남언니 웹 서비스의 유저 인터페이스 개발 및 개선• 컴포넌트 기반 아키텍처 설계 및 구현을 통한 재사용 가능한 UI 시스템 구축• 웹 성능 최적화 및 크로스 브라우저 호환성 보장을 통한 일관된 유저 경험 제공• 백엔드 개발자와의 협업을 통한 효율적인 API 연동 및 사용자 경험 향상• 최신 웹 기술 동향 파악 및 적용을 통한 서비스의 기술적 경쟁력 강화• 코드 리뷰와 테스트를 통한 웹 서비스의 품질 및 안정성 향상.","• 5년 이상의 모던 웹 개발(Nextjs/React 등) 경험이나 그에 준하는 역량을 갖춘 분• Tailwind CSS와 styled-components를 활용한 모던 스타일링 방식에 능숙하신 분• 제품 개발 과정(개발, 테스트, 배포, 유지보수)에 대한 이해를 바탕으로 효율적인 제품 라이프사이클 관리 역량을 갖추신 분• 문제의 본질을 이해하고 답을 찾기 위해 동료의 의견에 집중하는 분• 자신의 생각을 말, 글, 그림을 통해 합리적으로 표현할 수 있는 분• 문제 해결에 필요하다면 자신의 지식과 경험을 내려놓을 수 있는 분• 지금보다 더 나은 엔지니어로 성장하고 싶은 분.","• 모바일 앱 내 웹뷰 개발 경험을 가진 분• 좋은 아키텍처의 생산성 기여를 깊이 이해하시는 분• 디자인 시스템 도입 등 팀 개발 효율을 높인 경험을 가진 분• 모듈화에 대한 설계 원칙들의 개념과 장단점을 이해하는 분• 성능 문제를 발견하고 개선한 경험이 있는 분• 테스트 주도 개발 이해와 경험을 가진 분• 자동화된 테스트, 빌드, 배포를 위한 CI/CD 파이프라인 설계 및 유지보수를 경험하신 분."
리디(RIDI),"• 리액트 네이티브 또는 네이티브 기반 사용자 앱 서비스 설계 및 개발을 수행합니다.• 서비스를 안정적으로 유지하기 위한 자동화 및 유지보수를 합니다.• 더 나은 서비스를 위한 새로운 기술 도입, 구조 개선, 성능 최적화 등의 다양한 시도를 합니다.",• 3년 이상의 모바일 앱 개발경력이 있거나 그에 준하는 실력을 갖추신 분• 1년 이상의 자사 서비스 유지보수 경력이 있으신 분• 기술에 대한 편견 없이 프로젝트에 적합한 기술을 사용하여 개발하는 것을 선호하시는 분.,"• EPUB/만화/웹툰 관련 실무 개발 경험이 있으신 분• 프로세스 자동화나 지속 가능하고 효율적인 유지보수를 위한 경험이 있으신 분• iOS 또는 Android 네이티브 개발 경력이 있으신 분• 콘텐츠 소비나 서비스 개발을 즐기시는 분• 자유로운 근무환경에서 스스로의 목표와 일정을 관리할 수 있는 분• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받는 분• 맡은 작업에 대한 오너십을 갖고, 이를 완성시키는 일에 열정이 있는 분."
데이원컴퍼니,"[데이원컴퍼니에서 아래와 같은 역할을 담당하게 됩니다]• Node.js(NestJS) 기반 백엔드 시스템 개발 및 유지보수 참여• Google Pub/Sub 기반 워커 시스템 및 스케줄러 개발 지원• MySQL, MongoDB, 벡터 검색 시스템을 활용한 데이터 처리 업무 수행• GCP 환경에서의 서비스 운영 및 배포 프로세스 학습 및 참여• 시니어 개발자와 협업하여 백엔드 기능 구현 및 개선• 프론트엔드 개발자(React, Next.js), PO, PM, 디자이너, QA와 협업하여 제품 완성도 제고• [해당 포지션으로 데이원컴퍼니에서 근무 후, 얻게 될 수 있는 것들입니다.]1. 빠르게 진화하는 AI 기반 러닝 플랫폼에서의 실전경험• 강의 AI 도우미, 맞춤 추천, 자동 채점 등 최신 AI 기술을 실제 서비스에 적용합니다.• 생성형 AI를 백엔드 레벨에서 실무 적용해본 엔지니어로 성장할 수 있습니다.2. 프로덕트 중심의 협업과 비즈니스 감각• PO, 디자이너, 프론테엔드, 마케팅 등 다양한 직군과 협업하며 '기능'이 아닌 '문제 해결' 관점으로 일하게 됩니다. 이를 통해 개발을 넘어 비즈니스 임팩트를 설계할 수 있는 시니어 백엔드로 성장할 수 있습니다.",[이런 경험과 역량을 가진 분들을 찾고 있습니다]• Node.js 기반 백엔드 개발 경험 2년 이상 보유자• 웹 애플리케이션의 기본 구조와 RESTful API 설계에 대한 이해가 있는 분• MySQL 또는 MongoDB 등 데이터베이스 사용 경험이 있는 분• Git을 활용한 버전 관리 및 협업 경험이 있는 분• 새로운 기술을 배우고 적용하는 것에 적극적인 분.,"[아래와 같은 경험과 역량을 가진 분들은 조금 더 우대합니다]• NestJS 또는 Express.js 프레임워크 사용 경험자• GCP, AWS 등 클라우드 플랫폼 사용 경험자• TypeScript 개발 경험자• 메시지 큐(Pub/Sub, RabbitMQ 등) 또는 스케줄러 사용 경험자• 코드 리뷰 문화에 익숙하거나 관심이 많은 분• B2B SaaS 서비스, 인재 매칭/교육 도메인 경험자."
큐피스트(글램),"• 자사 서비스(웹/앱) 멀티브랜드 QA 테스트• 테스트케이스 작성 및 테스트 수행• 결함(Bug) 리포트 작성 및 관리, 재현 및 원인 분석 지원• 개발 및 기획 등 관련 부서와의 협업(리뷰, 피드백)을 통한 서비스 품질 개선.","• 유관 경력 1년 이상• 웹/앱 서비스에 대한 관심과 이해도가 있는 분• QA 프로세스 및 소프트웨어 테스트에 대해 배우고자 하는 의지가 있는 분• 개발 수명 주기에 따른 적합한 테스트 전략 수립 경험이 있으신 분• 기획/디자인 결과물로 테스트 케이스 작성 경험이 있는 분• 동료 및 유관 부서(기획, 개발, 마케팅, 디자인 등)와 원활하고 적극적인 커뮤니케이션을 할 수 있는 분.","• RN 앱/웹/모바일 웹 테스트 경험• 서비스 요구사항 분석 및 테스트 계획 수립 경험• API 검증(Postman, Charles 등) 경험• 테스트 자동화 도구에 대한 관심 또는 경험• Slack , Notion, Figma 등 다양한 협업 툴 사용 경험• 빠른 주기의 앱/웹 배포 경험• QA 계획 단계부터 실행 단계까지 자기 주도적 진행 경험."
씨제이올리브영(CJ올리브영),"[유닛 소개]커머스플랫폼유닛 - ①커머스서비스 / ②버티컬서비스 / ③앱서비스 / ④웰니스서비스""빠르고 안정적인 고객 경험""을 위한 견고한 서버를 구축합니다.올리브영 커머스플랫폼유닛은 1,600만 이상의 고객에게 빠르고 안정적인 쇼핑 경험을 제공하는 핵심적인 역할을 수행합니다. 이에 대규모 트래픽을 효율적으로 처리하고, 복잡한 비즈니스 로직을 안정적으로 구현하는 숙련된 Back-End 엔지니어를 찾습니다. 온라인몰의 핵심 기능인 전시, 상품, 검색 등 다양한 서비스의 서버 사이드 개발 및 운영을 담당하며, 시스템의 안정성과 성능을 향상시키고, 서비스 미래 성장을 위한 새로운 기술 도입 및 적용을 주도하게 됩니다.[주요 업무]• 온라인몰의 핵심 비즈니스 로직 개발 및 안정적인 운영 (상품 관리, 전시 로직, 검색 엔진 연동 등)• Java 또는 Kotlin 기반의 Spring Framework를 활용한 고성능 서버 시스템 개발• 효율적인 데이터 관리를 위한 데이터베이스 설계 및 ORM (JPA, Hibernate) 활용• Front-End 및 외부 시스템과의 원활한 연동을 위한 RESTful API 설계 및 개발• 시스템 성능 모니터링 및 개선, 안정성 확보를 위한 기술적인 문제 해결• MSA (Microservice Architecture) 환경에서의 서비스 개발 및 운영• 새로운 기술 도입 및 검토를 통한 시스템 개선.","5년 이상의 백엔드 애플리케이션 개발 경력이 있으신 분• Java/Kotlin을 이용한 Spring Framework 기반의 애플리케이션 개발 경험이 있으신 분• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험이 있으신 분• WEB 환경에 대한 기본적인 이해 및 지식이 있으신 분• 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험이 있으신 분• 학습과 성장에 관심이 많고, 자기 개발을 위해 노력하시는 분• 올리브영의 성장과 함께 성공 경험을 만들어 가고 싶으신 분.","Spring Boot 를 이용한 프로젝트 수행 경험이 있으신 분• Docker, Kubernetes 등 컨테이너 기반 기술을 이용한 배포/운영 경험이 있으신 분• MSA 환경을 구축하고 운영해 본 경험이 있으신 분• MQ 나 Kafka 등의 비동기 처리 Stream Engine 운영/개발 경험이 있으신 분• 다양한 캐싱 전략에 대한 이해 및 경험이 있으신 분• 대용량 데이터, 트래픽에 대한 개발 및 운영 경험이 있으신 분• 기술 부채를 보면 잠 못 이루시는 분."
쿠키플레이스,"[크레페에서는 이런 기술스택을 사용합니다]• Node.js, TypeScript, Vitest, Fastify• GraphQL　- Yoga, Relay, Pothos, Prisma• ElasticSearch, MongoDB, FCM• Docker, Github Actions• AWS　- ElasticBeanstalk, CloudWatch, Aurora PostgreSQL, Lambda, SES, S3, ElastiCache (Redis)• Grafana, Sentry[크레페를 백엔드의 관점에서 만들고 성장하는 미래를 준비하는 일을 해요]• 크레페 및 연계 서비스의 백엔드 시스템 및 API를 백엔드팀과 함께 설계하고 구현해요.• 팀에서 하는 수작업, 반복적인 일, 비효율적인 일을 모두 자동화하거나 플랫폼화 하는 일을 해요.[크레페를 백엔드의 관점에서 모니터링하는 일을 해요]• 안정적인 서비스를 만들기 위해 모니터링 및 최적화를 진행해요.[크레페 백엔드 팀에서 함께 매니징 및 협업을 진행해요]• 코드 리뷰, 페어프로그래밍, 기술 공유 등을 통해 팀의 기술 역량에 기여해요• 기술 지식과 경험을 바탕으로 요구사항을 분석하고 실현 가능성과 작업 계획을 공유해요• 팀 전체가 더 빠르고 정확하게 움직일 수 있도록 도구와 협업에 대해 고민하고 프로세스를 발전시켜요.","[자격요건과 우대사항을 통합하여, 이런 분을 찾고 있어요]""Do More with Less""의 기조 아래, 높은 인재밀도를 유지하며 x10 성장을 목표로 하고 있습니다. 조직이 직면한 문제를 인력 추가 채용으로 해결할 수 있다는 판단은 대부분의 경우 잘못된 진단이라는 공통의 합의가 있습니다. 조직이 비대해질수록 늘어나는 커뮤니케이션 코스트, 급증하는 업무를 위한 업무 리소스는, 우리가 진짜 문제를 다루는 것이 아니라 가짜 문제를 다루고 있다는 명백한 증거이기 때문입니다. 그렇기에 더더욱, 서로가 서로를 신뢰하며 함께 진짜 문제를 논하고 회사의 성장과 개인의 성장을 같이 추구할 수 있도록 하기 위해, 자격요건과 우대사항을 통합하여 여러 업무적 지향점을 열어놓고 채용을 진행합니다. [백엔드 애플리케이션에서 종종 발생하는 문제들을 전역적으로 어떻게 줄일 수 있는지 고민해봤거나 해결하고 싶은 분을 찾고 있어요]• 백엔드 인스턴스가 여러개임에 따라 발생하는 동시성 문제와, GraphQL 패러다임을 채용한 어플리케이션에서 발생하는 데이터 관리와 최적화 문제 등의 문제를 다뤄보시거나 이러한 문제 해결에 숙련되신 분을 찾고 있습니다. [GraphQL 통신 모델을 이해하고, 이를 비롯한 데이터 스키마에 깊은 이해도를 가지고 계신 분을 찾고 있어요]• 현재의 쿠키플레이스와 크레페는 GraphQL 패러다임을 채용한 어플리케이션을 운영하고 있기에 이 패러다임의 강점을 최대한 활용하고자 하며, 이에 따라 GraphQL over HTTP/WS/SSE 각 통신 모델의 장단점을 파악하고 활용할 수 있는 분을 찾고 있습니다.[서비스 운영 안정성을 위한 Observability Engineering 경험이 있으신 분을 찾고 있어요]• 크레페는 이용자 수와 트래픽이 지속적으로 빠르게 성장함에 따라, 소모하는 인프라 자원 역시 빠르게 증가하고 있으며 이에 따라 새로이 발생하거나 발견되는 문제들 역시 있습니다. 지속가능한 성장을 위해, 계속해서 소모되는 자원을 비례적으로 증가시켜가는 것이 아니라, 집중 조사하여 문제를 해결하거나 최적화할 여지가 발생하는 곳을 파악하기 위한 모니터링이 필수적입니다. 쿠키플레이스는 이를 위한 도구 중 하나로 Observability Engineering을 활용할 수 있다고 판단하고 있으며 이에 대한 경험이 있는 분을 모시고자 합니다.[ElasticSearch 및 검색 개인화 개발에 대한 경험이 있으신 분을 찾고 있어요]• 크레페 서비스에서 제공 중인 검색 기능을 넘어서, 사용자들이 원하는 정보를 개인화하여 전달받는 경험의 구현을 목표로 서비스를 개발하고 있습니다. 관련하여 경험이 풍부하신 분을 찾고 있습니다.• 크레페 서비스 대다수의 부분에서 모든 사용자에게 동일한 정보를 제공하고 있지만, 더 많은 사용자의 유입과 서비스의 성장에 따라 다양화/세분화되는 취향으로부터의 요구에 응하는 방향으로 서비스를 개선해나가려 합니다. 검색결과 또는 컨텐츠 제공에 있어 개인화 모델을 관리하고 이를 운영하는 경험이 있는 분을 모시고자 합니다.[생산성을 높이기 위해 끊임없이 탐구하고 학습하시는 분을 찾고 있어요]• 단순히 개인의 퍼포먼스가 어떤지 만으로 ""좋은 엔지니어""를 정의할 수 없으며 정의하지 않고 있습니다. ""좋은 엔지니어""는 그것이 어떠한 방식이든 팀 전체의 생산성을 함께 높일 수 있으며, 팀 전체의 생산성을 높이기 위해 지속적인 노력을 하는 분을 찾고 있습니다.• 쿠키플레이스 개발팀은, 테스트가 개발에서 필수 불가결한 부분이며 생산성을 높일 수 있는 매우 효율적인 방법이라 확신합니다. Unit Test, Integration Test, E2E Test 등 다양한 레벨에서의 테스트 자동화 경험이 있으신 분을 찾고 있습니다.",[이런 태도나 배경을 가지셨거나 문화 친숙도를 가진 분이면 더 좋아요]• 개인정보 보호 및 윤리에 민감하고 업무에 이러한 관점을 반영하실 수 있는 분• 커미션주와 신청자가 함께 해나가는 창작의 경험을 존중하고 그 즐거움을 이해하시는 분• 커미션주와 신청자 각각의 입장에서 보호해야 할 가치와 경험을 고민하실 수 있는 분• 다양한 문화의 고유한 맥락과 결을 존중하고 지켜야 할 규칙을 잘 파악하시는 분• 지속적으로 학습하고 지식을 팀과 나누면서 함께 성장할 수 있는 분[구성원과 함께 건강하게 스트레스를 회복하실 수 있는 분이면 더 좋아요]• 스트레스를 원활하게 관리하고 건강한 회복탄력성을 지향하시는 분• 구성원의 안전을 위해 수립된 회사의 제도를 충분히 활용하고 필요에 따라 개선과 발전을 요구하실 수 있는 분• 서로의 컨디션을 신경쓰고 존중하는 문화 속에서 다른 회사의 구성원들과 커뮤니케이션을 통해 업무 스트레스를 나누고 업무의 중심을 잡을 수 있는 분.
케이티밀리의서재,"이 포지션은 플랫폼기술본부 아키텍처팀 소속이에요.아키텍처팀은 밀리의 서재의 서비스를 개발하고 운영하는 팀으로, 아키텍처링을 기반으로 한 설계와 구현에 중점을 두고 체계적으로 접근하는 것이 팀의 핵심 철학이에요.비즈니스 문제 해결을 위해 언어 레벨의 고민 뿐만 아니라, 다양한 오픈소스 플랫폼을 비즈니스 요구 사항과 제품 특성에 맞춰 활용해요. 데브옵스, 애플리케이션 설계 및 API개발, 비즈니스 개발, Data 등 다양한 전문 직군이 원팀으로 구성되어 완결성 있는 서비스 설계와 구현을 함께 수행하고 있어요.• 독서 컨텐츠 플랫폼 서비스의 비즈니스 개발을 담당하며, 주로 컨텐츠 도메인 영역을 중심으로 업무를 수행해요.• 서비스 구현을 위한 API 개발, 배치 개발, 비동기 처리, 연동 개발 등 핵심 개발 업무를 진행해요.• 안정적이고 확장성 있는 서비스의 제공을 위하여 다음과 같은 활동들을 포함해요. - 모니터링과 로깅, 자동 알람 구축을 기반으로 서비스 안정성 확보 - 테스트 코드 작성, 코드리뷰를 통한 리팩토링 활동 - 연동 표준 규약과 문서화를 통한 협업 인터페이스 구축 제공• 프로젝트나 스크럼 체계로 협업하고 서비스의 다양한 개선점을 수시로 도출하여 애자일한 업무 방식으로 해결해요.","• 웹 서비스 구성의 전반적인 이해와 REST ful API, OIDC 표준 인증 체계, MSA 구조의 개발 및 배포 방법론 등 현대적인 개발 표준과 방법론에 대한 이해가 있으신 분을 환영해요.• Python, PHP, Java, Kotlin 등 서비스 구현에 널리 활용되는 개발 언어 중 2가지 이상에 대한 실무 경험을 보유한 분을 찾고 있어요.• 사용한 개발 언어들의 동작 구조와 특성을 깊이 있게 이해하고 업무에 적용할 수 있는 역량을 가진 분을 선호해요.","• 대규모 서비스 분산 구조 설계 및 운용 경험이 있으신 분이면 좋아요. - MSA 아키텍처 설계, 분산 시스템 구축, 로드 밸런싱 및 서비스 디스커버리 운영 경험을 보유하신 분을 선호해요.• Airflow, Kafka 활용 경험이 있으신 분을 선호해요. - Apache Airflow를 통한 데이터 파이프라인 스케줄링 관리 또는 Apache Kafka를 활용한 실시간 스트리밍 데이터 처리 경험을 보유하신 분이면 좋아요.• NoSQL 및 ElasticSearch 운영 경험을 해보신 분이면 좋아요. - MongoDB 등 NoSQL 데이터베이스 설계/운영 또는 ElasticSearch를 활용한 로그 분석 및 검색 시스템 구축 경험을 보유하신 분이면 좋아요.• 검색엔진 구축 및 연동 경험이 있으신 분을 환영해요. - 서비스 내 검색 기능 개발, 외부 검색엔진 API 연동, 검색 서비스 구축 등 검색 시스템 관련 업무 경험을 보유하신 분이면 좋아요."
밸런스치과병원,AI 기반 헬스/치과 SaaS 플랫폼 설계 및 개발 (백엔드/프론트엔드)외부 API 연동(앱개발)MVP 상용화 SaaS 제품으로의 확장기술팀 리딩 + 개발 문화/CI/CD 구축.,"웹 또는 앱 개발 경력 3년 이상 (프론트 or 백엔드 or 풀스택)Python/Django, Node.js, 또는 유사 백엔드 프레임워크 경험React/Vue 등 Front 경험 있으면 우대 (필수는 아님)DB 설계 및 시스템 아키텍처 이해실제 서비스 런칭 경험 1회 이상“빨리 만들어보고 개선하는 스타트업 방식”에 익숙한 사람.","AI/LLM 활용 서비스 개발 경험 (OpenAI, Langchain 등)의료/보험/핀테크/보안 관련 프로젝트 경험B2B SaaS 또는 플랫폼 구조 설계 경험Git 기반 협업, DevOps 경험스타트업 초기 멤버 경험 (부서 혼자 만들어본 사람)“기술 = 사업”으로 보는 마인드 (코드 장인보다 Product Builder)."
