기업명,주요업무,자격요건,우대사항
뱅크샐러드,"[Data AI팀은 구체적으로 다음과 같은 일들을 합니다.]Data AI팀의 미션은 AI가 금융 문제를 대신 해결해주는 세상을 만드는 것입니다. 우리가 일상에서 느끼는 번거로운 자산관리 업무를 더욱 효율적이고 똑똑하게 해결하고자 합니다.고객의 금융과 건강 데이터를 가장 많이 확보하고 있는 뱅크샐러드는, 압도적인 데이터 커버리지를 바탕으로 사용자의 금융 문제를 해결하는 금융 AI 에이전트를 제품화하는 데 집중합니다.AI 기술을 도구로 하여 사용자에게 직접적인 효용과 만족을 주는 경험을 설계하며, 중장기적으로는 AI 에이전트 기술이 나아가야 할 방향성과 정책을 제시하는 데에도 기여하며 금융 산업의 미래를 함께 만들어가고자 합니다.1. 금융 AI 에이전트 전략 수립• AI Agent의 방향성과 설계 원칙을 수립하고, 어떤 기술을 어떻게 적용할지 전략을 고도화합니다.• AI 기술, 데이터 인프라, 정책·규제 등 다양한 관점을 고려해 지속 가능한 서비스 생태계를 설계하고 조율합니다.2. AI 모델 설계 & 제품화• 사용자 시나리오에 최적화된 AI 모델의 기획부터 학습, 평가, 개선까지 전체 사이클을 주도합니다.• 모델 성능이 실제 서비스에서 얼마나 잘 작동하는지를 꾸준히 관찰하고, 정확도와 신뢰도, 실용성 측면에서 지속적으로 개선합니다.[Data AI팀의 PM은 이러한 업무들을 주로 수행합니다.]• 사용자 중심의 문제 정의를 통해, AI를 활용한 금융 문제 해결 시나리오를 기획하고 검증합니다.• 마이데이터 기반의 금융 자산 정보를 활용해, 사용자 맞춤형 AI 에이전트 기능을 설계하고 제품화합니다.• 서비스에 적용할 AI 모델의 요구사항 정의부터 성능 검증, 제품화까지 전체 사이클을 리딩합니다.• AI 기술이 실제 사용자 경험에 자연스럽게 녹아들 수 있도록, UX 설계와 기능 설계를 유기적으로 연결합니다.• 데이터와 모델의 정확성, 신뢰도, 활용 가능성 등을 기준으로 서비스 품질을 지속적으로 점검하고 고도화합니다.• 기술 트렌드, 내부 인프라, 정책 환경 등을 고려하여 AI 기반 금융 서비스의 중장기 전략과 로드맵을 수립합니다.","[이런 경험을 지향하시는 분들과 여정을 함께하고 싶어요.]• 유저 관점에서 사고하여 경쟁력 있는 가치 제안을 개발하고, 유저의 후생 증대와 편익 극대화 기준을 정량화(북극성 지표)하고 이를 기준으로 제품을 고도화하는 경험이 있는 분들을 원해요.• MAKER들과 애자일 조직에서 가설 수립 및 가설 검증 이터레이션 통해 PMF를 끈질기게 찾아 본 분을 원해요.• 모바일 비즈니스나 트래픽 비즈니스의 핵심 지표 정의, 성장 로드맵을 구축하고 실행해본 경험이 있는 분을 원해요.• 도메인 경험은 없어도 되나, 도메인 학습에 있어 두려움이 없이 호기심을 가지고 있는 분을 원해요.• 직접 의사결정을 내리고 성과까지 온전히 책임지는 분, 여정 상 번거로운 일이나 어려운 일들을 마다하지 않고 손수 실질적 성과까지 이끌어내는 분들은 뱅크샐러드에서 크게 인정받습니다.• 한계 없이 문제를 풀 수 있다는 도전 정신이 투철하고, 스스로의 성과로 신뢰를 얻고자 하는 의지가 강하며, 뛰어나지만 항상 발전을 추구하는 독립심을 갖춘 사람과 일하고 싶습니다.",
시나몬,"• 영상 제작툴(PC Client), 영상 제작 플랫폼 웹서비스 등 자사 서비스(CineV)에 대한 검증 업무• Testcase 및 Checklist 작성• Test 수행 및 기획/개발 협업• Test 결과 Report 작성.","• 관련 분야 경력 5년 이상이신 분 • QA 업무 관련 전체 프로세스 이해도가 있으신 분• 요구사항 분석을 통해 기획 단계에서 오류 도출이 가능하신 분• 기획, 개발 내용에 대한 피드백 등 원활한 커뮤니케이션 역량을 보유하신 분• 주도적이고 꼼꼼한 업무 자세로 높은 완성도의 결과물을 만들어내는 분.","• 팀 관리 경험이 있으신 분• PC 툴 관련 경험이 있으신 분• 개발 초기부터 라이브까지 자기 주도적으로 QA 업무 경험이 있으신 분• 협업에 필요한 적극적인 마인드, 책임감, 정리 능력 및 커뮤니케이션 스킬이 있으신 분• 협업 도구(Slack, Monday.com, Jira, Taskworld 등)의 사용 경험이 있으신 분."
보이저엑스(VoyagerX),"• 주요 업무:보이저엑스 구성원들이 업무에 몰입할 수 있도록 안정적이고 효율적인 IT 환경을 만들고 운영합니다.기술적인 문제 해결을 넘어, 더 나은 업무 환경을 위한 고민과 실행을 함께합니다.1. 컴퓨터 및 각종 기기 관리• 컴퓨터 및 각종 기기 구매 및 세팅• 하드웨어 문제 진단 및 해결• 사무용 기기 관리• IT 자산 관리2. 네트워크 관리• 유무선 네트워크 안정성 유지 및 연결 문제 해결• 네트워크 접근 권한 관리3. 소프트웨어 관리• 소프트웨어 라이선스 관리• 계정 관리■ 추가 업무:4. 사무 환경 개선• 사무 환경 개선 아이디어 제안 및 실행.","A. 아래 모두에 해당하는 분1. IT 관련 학과 졸업 또는 실무 경험 3년 이상2. 기초적인 프로그래밍이 가능함B. 아래 중 6가지 이상에 해당하는 분1. 지원 업무에 보람을 느낌2. 성실하고 꼼꼼함3. 정직하고 책임감이 강함4. 논리적이고 분석적임5. 공감하고 경청할 수 있음6. 글을 잘 읽고 잘 쓸 수 있음7. 각종 소프트웨어를 잘 다룸 8. 스타트업 근무 경험이 있음9. AI에 대한 관심이 많음C. 아래 중 5가지 이상에 대해 잘 대답할 수 있는 분• Q1. HDD, SSD, DRAM 각각의 성능은?• Q2. CPU와 GPU의 차이는?• Q3. VM과 컨테이너의 차이점은?• Q4. Cache 정책이란?• Q5. 공유기의 원리는?• Q6. 패스워드를 안전하게 전송/보관하는 방법은?• Q7. 오픈소스 소프트웨어 사용시 주의할 점은?• Q8. 올바른 백업 전략은?• Q9. GDPR이란?",
로이드케이,ㆍ대용량/실시간 데이터 수집/처리 및 모니터링 시스템 설계/운영ㆍ키워드/벡터 검색 시스템 구축 및 최적화 성능 튜닝ㆍ이상 탐지/예측 분석 및 트렌트 분석 시스템 구축ㆍ데이터 파이프라인 구축 및 자동화.,"ㆍPython/Shell Script 기반 데이터 파이프라인 자동화 경험ㆍLinux 및 클라우드 환경(AWS, GCP, Azure 등) 활용 경험ㆍ문제 해결 능력 및 원활한 커뮤니케이션 역량 보유.","ㆍ컴퓨터 공학, 시스템 공학 등 관련 전공ㆍ기술 컨설팅, 고객사 대응 또는 프로젝트 리딩 경험ㆍ대용량/실시간 데이터 수집 파이프라인 설계 및 운영 경험ㆍJava/Python 기반 검색 서비스 개발 및 운영 경험."
이지스헬스케어,-타사 소프트웨어 데이터 구조 분석-타사 프로그램 데이터 변환 개발 및 정합성 검증-업무 관련 자동화 도구 개발 및 기술지원 서비스.,"-기초 SQL 활용 능력: select, join, where 기본 쿼리 작성이 가능하신 분-데이터베이스 이해도: MSSQL/MySQL/PostgresSQL 중 택 1-기초적 프로그래밍 능력(C#)을 보유하신 분.",-유관업무 경험 보유하신 분-데이터 분석과 분석 중 오류를 개선하는 것에 흥미가 있으신 분-원활한 커뮤니케이션 역량을 보유하신 분.
쿠팡,"• 오프라인 매장, 식당 또는 파트너사에서의 현장 통합 테스트 및 디버깅 수행• 테스트 계획 수립, 실행 및 정밀한 테스트 보고서 작성• 파트너사와의 기술적 커뮤니케이션을 통해 문제 해결 및 통합 지원• 식품 벤더의 경우, 통합 테스트 및 디버깅 기간은 약 1~2주이며, 온사이트 지원은 약 20%• 비식품 벤더의 경우, 초기 단계로 2~3일 정도의 온사이트 지원이 예상되며, 온사이트 비율은 약 20~30%.","• QA 엔지니어 또는 소프트웨어 개발 엔지니어로서의 경력 보유자 (5년 이상)• B2B 전자상거래 서비스 경험자 우대• HTTPS, 네트워크 통신 등 기본적인 인터넷 기술에 대한 이해 및 설명 능력• 문제 해결을 위한 디버깅 경험과 테스트 자동화 또는 수동 테스트 경험• 세심하고 체계적인 업무 스타일, 학습 및 성장에 대한 강한 의지.","컴퓨터공학, 전자공학 또는 관련 전공의 학사 학위 이상 소지자."
노타(Nota),"• 라벨링 데이터 구축 기획 및 운영 관리 - 라벨링 작업 요구사항 정의 및 가이드 문서 버전 관리 - 내부 라벨링 프로젝트 일정·비용 관리 및 내외부 협업 커뮤니케이션 - 라벨링 데이터셋 구축 수행 결과물 및 품질 관리 - 인하우스 라벨러 커뮤니케이션 및 계약·비용 관리• 라벨링 플랫폼 운영 관리 - 구독형 또는 오픈소스 기반 라벨링 플랫폼(CVAT, Label Studio 등) 관리·운영 - 라벨링 플랫폼 활용 프로세스 개선 및 효율화• 사내 데이터 관리 실무 수행 - 사내 데이터 관리 정책에 따른 사내 데이터셋 분류 및 S3 접근 권한 관리 - Jira, Confluence, Notion 문서 작성.",• 해외 여행에 결격 사유가 없으신 분• 데이터 가공 프로젝트 기획·운영 3~5년 실무 경험(일정·비용·리스크 관리)이 있으신 분• 서버 또는 클라우드를 활용하여 Infra/DevOps/ML 엔지니어와 원활히 협업 커뮤니케이션이 가능하신 분• 커뮤니케이션 및 문서화 능력을 바탕으로 업무를 수행하고 문제를 해결하실 수 있으신 분.,"• 관련 학과를 졸업하신 분 (학사 이상)• 스프레드시트 내 쿼리 함수 활용으로 데이터 매핑 작업이 가능하시거나 체계적인 문서 작성 및 관리가 가능하신 분• 오픈소스 기반 플랫폼 구축 및 운영 관리 경험이 있으신 분 (예: CVAT, Label Studio 등)• Vision 데이터셋 또는 개인정보/의료 데이터셋을 취급해보신 경험이 있으신 분."
에이아이트릭스(AITRICS),"• EMR(의료정보의무기록) 시스템과 VitalCare 제품 연동을 위한 인터페이스 협의• 병원 EMR 시스템과 회사 AI 제품(VitalCare) 간의 데이터 연동 (환자 재원 정보, Vital Sign, Lab Data)• Python을 사용한 병원 데이터베이스 및 병원 EMR API 연동 개발• Docker 이미지 생성 및 배포 관리• 병원과의 기술 협력 및 연동 지원 (커뮤니케이션 포함)• 연동 소프트웨어 유지보수 및 트러블슈팅• Git과 Jira를 통한 코드 및 이슈 관리• 서비스 안정성을 위한 시스템 운영 및 모니터링• 주말 및 휴일 긴급 장애 대응을 포함한 시스템 운영 관리.","• Linux(Ubuntu) 시스템 관리에 대한 이해• Python을 활용한 개발 및 데이터 연동 경험• Docker Compose를 사용하여 서비스 배포 및 관리• Relational Database에 대한 이해 및 병원 데이터 연동 경험• 협업 도구(git, Jira) 사용 경험• 주말 및 휴일 긴급 장애 대응 가능한 분.","• 병원 EMR 시스템에 대한 이해와 경험• 의료 데이터 (재원 정보, Vital Sign, Lab Data) 처리 경험• 시스템, 서버 엔지니어 경력 우대• AI 헬스케어에 대한 관심과 경험• 고객과의 커뮤니케이션 및 기술 지원 경험• 서비스 장애 대응 및 문제 해결 능력• 끊임없이 운영되는 서비스의 안정적인 유지 보수 및 시스템 운영 경험."
앤서스랩코리아,"| 우리는 이런 일을 해요• 외부 카지노 게임 제공사와의 API Integration 및 관리-RESTful API를 통한 게임 연동 및 관련 백엔드 시스템 개발-API 연동 중 발생하는 기술적 문제 해결 및 커뮤니케이션(영어 필수)• 게임 서비스 운영 중 발생하는 기술적인 문제 진단 및 제공사와의 협업을 통한 해결• 백엔드 시스템 개발 및 운영-유저 게임 기록 관리-게임 클라이언트에 제공할 개인화된 게임 및 프로모션 목록 구성 로직 개발-프로모션 기능 개발 및 운영 지원• 데이터 및 규제 관련 업무-게임 관련 각종 규제 및 준수 사항 이행을 위한 시스템 개발• 정산 및 통계 데이터 생성/제공을 위한 백엔드 개발Managing and Integrating APIs with External Casino Game ProvidersDevelop and maintain backend systems for game integration via RESTful APIs.Troubleshoot and resolve technical issues during API integration, requiring clear communication (English proficiency is essential).Game Service Operation and Issue ResolutionDiagnose and swiftly resolve technical issues that occur during game service operation, collaborating with providers.Backend System Development and ManagementDevelop and manage user game history and record systems.Develop logic for the provision/delivery of personalized game and promotion lists to the game client.Develop promotion features and support their operational deployment.Data and Regulatory ComplianceDevelop systems to implement and ensure compliance with various game-related regulations and requirements.Develop backend logic for the generation and provision of settlement and statistical data.","| 이런 분과 함께 하고 싶어요Java 백엔드 개발 경력 2년 이상인 분원어민 수준 (Native or near-Native proficiency)의 영어 역량을 갖춘 분외부 파트너사와의 협업 및 문제 해결을 위한 원활하고 논리적인 커뮤니케이션이 가능한 분Spring Framework (Spring Boot 포함)를 활용한 개발 경험이 있는 분RDBMS (MySQL, PostgreSQL 등) 설계 및 능숙한 활용 경험이 있는 분RESTful API 설계 및 개발 경험이 있는 분TCP/IP, HTTP 등 네트워크에 대한 기본적인 이해 및 문제 해결 능력을 갖춘 분Experience: 2+ years of experience in Java backend development.Native or near-Native proficiency in English.Ability to engage in fluent and logical dialogue for collaboration and problem-solving with external partners.Experience developing with Spring Framework (including Spring Boot).Experience with the design and proficient utilization of RDBMS (MySQL, PostgreSQL, etc.).Experience designing and developing RESTful APIs.Basic understanding of networking concepts (TCP/IP, HTTP, etc.) and troubleshooting skills.","| 이런 경험이 있으면 더 좋아요해외 거주 경험이나 글로벌 회사 근무 경험이 있는 분TDD에 대한 이해와 실무 적용 경험이 있는 분적극적인 코드 리뷰 문화가 활발한 환경에서 근무한 경험이 있는 분대규모 트래픽 환경 또는 고가용성 시스템 운영 경험이 있는 분클라우드 환경 (AWS, GCP 등)을 활용한 서비스 개발 및 배포 경험이 있는 분Experience living abroad or working at a global companyUnderstanding of TDD (Test-Driven Development) and experience applying it in practiceExperience working in an environment with an active and robust code review cultureExperience operating high-volume or high-availability (HA) systemsExperience in service development and deployment utilizing cloud environments (AWS, GCP, etc.)."
굿닥(goodoc),"• 병원에서 사용하는 소프트웨어와 굿닥 앱과 병원 시스템을 연결하여 접수/예약 서비스를 개발합니다.• 서비스 운영 중 발생하는 기술적 이슈(CS)를 지원하고 문제를 해결합니다.• C++ 기반의 애플리케이션 및 라이브러리를 설계/개발/유지보수하며, 성능 최적화와 메모리·스레드 안정성을 확보합니다.• 데이터베이스, 네트워크, 멀티스레드 환경에서 안정적인 기능을 구현합니다.• 코드 리뷰와 테스트, 디버깅을 통해 품질과 서비스 안정성을 높입니다.• Modern C++ 표준(C++14/17/20 등) 및 최신 기술을 적극적으로 학습·적용합니다.","• C++ 언어에 대한 깊은 이해를 갖추고, 3~5년의 개발 경험이 있으신 분 (STL, 스마트 포인터, RAII 등)• 객제지향 프로그래밍(OOP)과 디자인 패턴을 능숙히 활용하실 수 있는 분• 멀티스레드, 동기화, 메모리관리 경험이 있으신 분• Visual Studio, vcpkg 등 개발 환경 사용 경험이 있으신 분• Git, CI/CD 등 협업 도구 활용 경험이 있으신 분• 논리적 사고력과 문제 해결 능력을 갖추신 분.","• 네트워크 프로그래밍(TCP/IP, WebSocket 등) 경험이 있으신 분• 데이터베이스(RDBMS, Embedded DB: SQLite, LevelDB 등) 연동 경험이 있으신 분• Windows OS 기반 GUI 프레임워크 (MFC, Qt, WinUI3 등) 경험이 있으신 분• 성능 최적화 및 대규모 시스템 개발 경험이 있으신 분• 오픈소스 프로젝트에 기여한 경험이 있으신 분• 프로젝트 전 과정(기획 설계 개발 배포 유지보수)을 경험하신 분• WinDbg, PDB 심볼 분석, Crash Dump 분석 등 Windows 환경 심층 디버깅 경험이 있으신 분."
