기업명,주요업무,자격요건,우대사항
두핸즈(품고),"• 두핸즈가 제공하는 서비스의 테스트를 수행하고, 결과를 체계적으로 기록합니다• 신규 기능과 개선 사항에 대해 QA 계획에 따라 테스트 케이스를 작성하고 검증합니다• 사용자 입장에서 제품의 흐름과 사용성을 점검하고 개선점을 제안합니다• 기획, 개발, 운영 등 다양한 팀과 협업하며 문제를 명확히 재현하고 전달합니다• 반복되는 테스트를 표준화하고, QA 프로세스 개선에 기여합니다.","• 신입 또는 소프트웨어 QA, 테스트 업무 경력 0~2년• 문제를 꼼꼼히 파악하고 끝까지 확인할 수 있는 책임감이 있는 분• 다양한 직군과 원활하게 소통할 수 있는 기본적인 커뮤니케이션 능력을 갖춘 분• 새로운 것을 배우는 데 적극적이며, 스스로 성장할 의지가 있는 분• 스타트업 환경에 대한 이해와 적응력이 있는 분.","• QA 또는 소프트웨어 테스트 관련 인턴·실무 경험• 테스트 케이스 작성 경험 또는 QA 관련 툴(Jira, TestRail 등) 사용 경험• 물류, 커머스, 플랫폼 서비스에 대한 관심 또는 유관 경험• CS·운영·기획 등에서 문제 상황을 정리해본 경험• 테스트 자동화나 스크립트 작성에 관심이 있는 분."
뤼튼테크놀로지스,"• 프로덕트 디자인/설계 리뷰에 참석하고 요구 사항을 수정합니다.• 테스트 케이스 및 테스트 프레임워크를 설계합니다.• 소프트웨어 버그 또는 결함을 문서화, 추적 및 해결하고 개발팀에 의미 있는 피드백을 제공합니다.• 소프트웨어 엔지니어 및 프로덕트 매니저와의 긴밀한 협업을 통하여 프로젝트 및 테스트 목표에 대한 이해를 높이고 이를 실행합니다.• 필요에 따라 문제를 문서화, 추적 및 에스컬레이션합니다.• 엔지니어링 매니저 및 디자이너와 협력하여 테스트 프로세스 및 전략을 설계합니다.• 품질 프로세스를 정의하고 고도화하며, 생성형 AI의 새로운 QA 문화를 정립하여 전파합니다.[서류 제출 시 필수 사전 과제]서류 제출 시 아래 항목을 작성하시어 함께 제출해주시기 바랍니다. 1000자 이내로 자유롭게 작성해주시면 됩니다.1. 기능 배포 전 미처 발견하지 못하는 엣지 케이스를 최소화하기 위해 QA Manager는 어떤 방안을 모색해야 할까요?2. 크랙에서 발견한 이상한 동작, 버그, 또는 엣지케이스를 하나 작성하고 이러한 엣지 케이스가 테스트 단계에서 사전에 방지될 수 있도록 어떤 전략과 방안을 적용해야 할지 제안해 주세요.",• 소프트웨어 개발 라이프 사이클(Software Development Life Cycle) 전반에 걸쳐 품질 관리 경험이 있으신 분• 다양한 프로젝트를 동시에 관리하고 우선순위를 지정할 수 있는 검증된 능력을 보유하신 분• 이슈 관리 자동화 툴(Jira)을 활용한 업무 관리를 수행할 수 있으신 분.,"• 모바일 자동화 테스트 프레임워크 및 생성형 AI 관련 제품에 대한 경험이 있으신 분• API 테스트 툴 (Postman 또는 유사한 REST API 관련 테스트 툴), CI/CD 툴 (Jenkins, Circle CI, Docker 또는 유사한 관련 툴), 성능 테스트 툴 (JMeter, Artillery, Load Runner 또는 유사한 관련 툴) 경험을 보유하신 분• 자동화 테스트 툴 (Selenium, Appium, AWS Device Farm, HeadSpin 또는 유사한 관련 툴) 경험을 보유하신 분• 프로그래밍 언어에 대한 기본 지식이 있으신 분 (Python, JavaScript, Java, Kotlin, SQL 등)• 소프트웨어 QA Engineering 또는 SDET(Software Development Engineer in Test) 경력을 보유하신 분• 유연하고 독립적으로 업무가 가능하고, 자기 동기 부여가 가능하신 분• 다양한 팀원들과 소통하고 업무를 조율하는 과정에 적극적인 분• 배포 주기가 빠른 서비스에 맞는 QA process를 제안하고 개선한 경험이 있으신 분."
우아한형제들(배달의민족),"- QA 프로세스 수립 및 운영- 다양한 테스트 기법 및 툴을 활용한 기능/비기능 테스트- 기획, 디자인, 개발 문서 리뷰 및 피드백을 통한 개선- 지속적인 QA 활동, 결함 분석 및 오류 보고.","- 4년 이상의 소프트웨어 QA 경력을 갖춘 분 - 웹, 앱, API 서비스 구성요소에 대한 특성과 원리를 이해하고 관련 경력을 보유한 분- 다양한 개발방법론에 따른 품질 보증 전략 수립 및 수행이 가능한 분- 논리적인 판단과 유연한 커뮤니케이션이 가능한 분.","- 품질지표 수립 경험이 있는 분- 대규모 서비스 QA 경험이 있는 분- 개발 산출물 표준화 경험과 개발 아키텍쳐와 배포 프로세스 이해가 능숙한 분- DB 쿼리 또는 로그를 통한 결함 및 오류 분석이 가능한 분- 다양한 테스트 도구(Postman, Charles, Selenium, Appium 등) 활용 경험이 있는 분- 자동화된 테스트 스크립트 작성 및 유지보수, 테스트 도구 개발 경험이 있는 분- Jira, Confluence, Gitlab 사용 경험이 있는 분- 새로운 기술 및 트렌드에 대한 관심이 많은 분- 테스터, 테스트 엔지니어와 협업 경험이 있는 분."
티맵모빌리티,"• AI Agent 품질 지표(metrics)를 정의·수립하고, 이를 자동화된 평가 파이프라인으로 구현·운영합니다.• 제품의 특징과 목적을 이해하고 이를 반영한 사용자 중심 시나리오 설계 및 평가합니다.• 실제 Application 환경에서 AI Agent가 기대하는 품질 수준을 충족하는지 end-to-end QA 관점으로 검증합니다.• Agent의 내부 동작(planning, tool call, reasoning 등)과 외부 결과물을 연계 분석하여 품질 문제 진단합니다.• 운영 중인 Agent 서비스 품질 모니터링, 이상 징후 탐지 및 지속 개선합니다.• 평가 체계 고도화를 위한 리서치 활동합니다. (예: LLM-as-a-judge, synthetic test data 생성 등).","• AI Model / AI Agent / AI Service 품질 평가 관련 경력 1년~5년 이상이거나 이에 준하는 경험을 보유하신 분• Application 레벨 시나리오 기반의 end-to-end 테스트 경험을 보유하신 분• 제품 특성을 고려한 사용자 중심 QA 시나리오 설계·평가 경험을 보유하신 분• 대규모 서비스 또는 AI 프로젝트에서 품질 관리 및 개선을 주도한 경험을 보유하신 분• Python 등 프로그래밍 언어 능숙하신 분 (테스트 자동화, 데이터 처리/분석 스크립트 작성 가능)• 머신러닝/딥러닝 및 LLM 기반 Agent 구조·동작 원리에 대한 이해도를 보유하신 분• 평가지표 정의 및 자동화된 평가/QA 파이프라인 구축 경험을 보유하신 분• 로그 분석 및 디버깅을 통한 오류 원인 추적 역량을 보유하신 분• 리서치 기반 탐색 경험을 보유하신 분 (예: synthetic data 생성, 평가용 LLM 활용, 새로운 지표 정의)• 품질 이슈를 명확히 정의·문서화하여 팀에 공유할 수 있는 능력을 보유하신 분• 개발/QA/Product 팀과의 cross-functional team 협업 경험을 보유하신 분• 기술적 문제를 비기술적 이해관계자도 이해할 수 있게 설명할 수 있는 역량을 보유하신 분• 품질 개선을 위한 적극적 제안과 피드백 제공 태도를 보유하신 분.","• AI Agent 또는 대화형 시스템 평가 경험을 보유하신 분• human-in-the-loop 평가 시스템 설계 경험을 보유하신 분• synthetic/adversarial test data generation 경험을 보유하신 분• 클라우드 환경(AWS, Azure, GCP 등) 기반 개발 및 운영 경험을 보유하신 분• AI 윤리성, 공정성, 설명 가능성(Explainability) 관련 지식을 보유하신 분."
마이리얼트립,"[함께 일하게 될 팀]마이리얼트립의 QA팀은 고객의 기대를 넘어서는 누구도 경험하지 못한 새로운 여행 서비스를 제공하기 위해 품질에 집착합니다. MSA 서비스의 빠른 변화 속에서도 전략적인 테스트 설계/자동화/프로세스 개선/리스크 관리 등을 통해 서비스 품질을 책임지고 있으며, 수평적이고 능동적인 분위기에서 다양한 기술적 시도와 Lesson & Learn을 통해 함께 성장해 나갑니다.• 개발 프로세스 전 단계에 걸쳐 QA 업무를 진행• 각자 도메인/프로젝트의 QA Owner로서 주도적으로 일함• 적극적인 기술 도입과 효율화/자동화 중심의 문제 해결 문화• 성공/실패 사례를 활발히 공유하며 상호 피드백과 협업을 지향• TC리뷰, 코드리뷰, 회고, 스터디 등 다양한 성장 기회와 자율적 업무 환경 [QA Engineer가 하는 일]• 테스트 자동화 인프라 구축• Web/App/API 테스트 자동화 컨텐츠 개발• 자동화 품질 목표 설정 및 달성 관리• 제품 개발 과정의 업무 자동화 및 효율화 방안 검토 및 실행• 담당 프로젝트의 전 과정에서 품질 책임자로 테스트 전반 수행• QA 정책 및 프로세스 설계, 운영 및 지속적 개선• 장애 및 이슈 분석, 재발방지 체계 수립.","[이런 역량이 있는 분을 찾고 있어요.]• Python 기반 테스트 코드 작성 및 자동화 테스트 실무 경험• Selenium, Appium 등 테스트 자동화 라이브러리 활용 경험• Android SDK, Xcode/WebDriverAgent 등 빌드 및 설정 경험• CI/CD 환경(Jenkins, Github Actions 등) 내 테스트 자동화 구축 경험• Postman, SoapUI, Katalon 등 API 테스트 도구 사용 경험• 다수의 팀 및 이해관계자와 SDLC 전반에서 QA 역할을 주도한 경험• 다양한 상황에서 문제를 신속하게 인식하고 주도적으로 해결하는 역량• AI 도구 및 프롬프트를 활용한 업무 개선 경험 [기술 스택]• 프로그래밍: Python(필수), Java, Shell Script, JavaScript• 테스트 자동화 도구: Selenium, Appium, Android SDK, Xcode/WebDriverAgent, Gauge, Cucumber, Robot - Framework• API 테스트: Postman, SoapUI, Katalon, Python requests• DB/Query: SQL, DBMS• CI/CD: Jenkins, Github Actions• 클라우드: AWS(EKS, EC2)• 협업/문서화: Jira, Confluence, Slack, GitHub, Notion.","• Gauge Framework, Cucumber, Robot Framework 등 BDD 도구 사용 경험• 테스트 자동화 시스템을 처음부터 구축 및 운영한 경험• AWS 환경에서 서비스 구성 및 운영 경험• QA 프로세스 및 산출물 양식 개선 주도 경험• ISTQB, CSTS, 정보처리기사 등 IT/테스트 관련 자격증• 이커머스, 여행 등 관련 도메인 QA직무 경험• Jira, Confluence 등 협업 도구 활용 능력• Charles, Fiddler 등 Web Proxy 도구 사용 경험• Jmeter, LoadRunner, Locust 등 성능 테스트 및 도구 사용 경험• FE/BE/Android/iOS 개발 경험."
워시스왓(세탁특공대),"[이런 일을 해요.]• 전반적인 QA 기본 정책을 설계하고, 제품 특성에 맞는 QA 프로세스를 구축 및 개선해요.• 신규 기능 및 개선사항을 검증하고, 결함 없는 안정적인 릴리즈가 이루어질 수 있도록 전 과정을 책임져요.• 장애 및 이슈 발생시 문제를 분석하고, 재발 방지 대책을 수립해요.","[이런 분을 찾습니다!]• 최소 2년 이상의 Jira 기반 QA 운영 경험이 있으신 분• 테스트 계획 단계부터 배포까지의 전반적인 경험이 있으신 분• Postman, Charles, Selenium, Appium 등의 테스트 도구 사용 경험이 있으신 분• 배포 주기가 빠르고 서비스 변경이 잦은 서비스에 맞추어 적합한 QA 프로세스의 구축/개선 경험이 있으신 분.","[이러한 경험이 있으면 좋습니다.]• Agile 프로세스를 이해하고, 목표 기반의 스프린트 플래닝 및 QA 프로세스 구축/개선 경험을 보유하신 분• 클라우드 환경 (AWS 등)에서의 테스트 경험이 있으신 분• 웹/앱 QA 자동화 환경을 구축 혹은 활용해 본 경험이 있으신 분• 사용성 이슈를 데이터에 기반해 논리적으로 설득할 수 있는 커뮤니케이션 스킬을 보유하신 분• 소프트웨어 테스팅 관련 자격증 보유한 분 (ex. ISTQB, CSTS)• CI/CD 프로세스와 QA 활동을 통합한 개발 및 배포 프로세스를 구축해 보신 분."
빗썸,• QA 일정 및 전략 수립• 테스트 설계 및 테스트 케이스 개발• 이슈 발생에 따른 재현 및 원인 분석 활동• 품질 보증 프로세스 개선.,• 3년 이상의 Web / App QA 경력을 보유하신 분• 명세 기반 테스트케이스 작성이 가능하신 분• 개발 / 기획 / 디자인에 대한 리뷰 및 피드백 등 유연한 커뮤니케이션 역량을 보유하신 분• QA/Tester 협업 및 프로젝트 리딩 경험이 있으신 분• 다양한 테스팅 방법 적용 경험을 보유하신 분• 리소스 산출 및 프로젝트 진행과정에 따른 유연한 일정 관리가 가능하신 분.,"• 다양한 Test Tool 및 BTS (Slack, Jira, Notion 등)에 대한 경험이 있으신 분• 소프트웨어 테스팅 (ISTQB, CSTS 등) 자격증을 소지하신 분• API 테스트 경험이 있으신 분• 가상자산에 대한 관심, 지식, 거래경험이 있거나, 유관 업종에 종사한 경험이 있으신 분 • 금융업계 규제(AML 등) 시스템 QA 경험이 있으신 분• AI 도입 경험이 있으신 분."
매스프레소(콴다),"• 전반적인 서비스 테스트 수행 및 품질 개선• 요구 사항 명세 리뷰 및 피드백, 테스트 플랜/테스트 케이스 작성• 테스트 수행 및 이슈 등록/관리• 지속적인 릴리즈 프로세스 점검 및 개선 활동.",• 3년 이상의 Mobile Service 테스트 및 QA 업무 경험이 있는 분• Software QA 업무에 대한 열정과 긍정적인 마인드를 가진 분• 사용자 경험 중심의 협업 및 다양한 팀과 원활한 커뮤니케이션이 가능하신 분• 반복적인 테스트 활동에서 높은 집중력과 끈기 있는 성격을 가지신 분.,• QA 업무 효율화를 위한 프로세스 개선 경험이 있으신 분• 모바일 OS별 특성 및 네트워크 환경에 대해 이해하고 계신 분• Test Case 작성 경험 및 주도적인 테스트 계획 및 수행 경험이 있으신 분• 테스트 자동화 구축 및 운영 경험이 있으신 분.
당근마켓,"• 자동화 테스트가 가능한 시스템을 설계하고 구축해요• 자동화된 테스트 시나리오를 설계하고 직접 개발, 운영 및 분석을 진행해요• 테스트를 통해 발견된 문제점이나 개선이 필요한 부분을 모바일플랫폼팀과 공유하여 서비스 품질 향상을 위한 제안 업무를 진행해요.","• 모바일 서비스의 개발 및 배포 환경에 대한 이해도가 높은 분• 소프트웨어 QA 방법론에 대한 지식을 보유하신 분• 자동화 테스트 프레임워크와 도구 사용 경험이 있으신 분• 모든 일에 대하여 자동화 하는 것에 관심이 많고 즐기시는 분• 자기 주도적으로 일하는 걸 즐기고, 동료들과 커뮤니케이션이 원활하신 분.","• Appium등 자동화된 QA 솔루션을 이용하여 테스트 환경을 구축하고 운영해보신 분• 클라우드 환경(AWS 등)내에 자동화 시스템을 구축하고 운영해보신 분• Java, Kotlin 언어에 능숙하신 분• 소프트웨어 엔지니어링을 코드 작성 이상으로, 소프트웨어 변화와 발전을 관리하는 정책, 도구, 모범 사례를 포괄하는 개념이라고 이해하시는 분• SQL과 스크립트 작성에 능숙하신 분."
월급쟁이부자들,• 월급쟁이부자들 프로덕트 품질 검수• 배포 관리 및 모니터링• 운영 환경 이슈 대응• TC 작성 및 TC 기반의 전사 QA 주도.,"• 2년 이상 8년 이하의 QA 경력을 가지신 분• QA 역할에 대한 높은 이해도(일정 협의, 테스트 계획 수립, TC작성, 테스트 수행, 버그 리포팅, 테스트 결과 공유 등)• 애자일/스크럼 개발 프로세스에 대한 높은 이해도• 모바일/웹서비스 제품 QA 경험.","• Selenium, Cypress, Playwright 등 테스트 자동화 경험• 소프트웨어 테스팅 관련 자격증(e.g. ISTQB, CSTS)• QA 프로세스를 제안하고 개선한 경험."
