기업명,주요업무,자격요건,우대사항
현대오토에버,• IOS 개발 및 안드로이드 개발 및 아키텍처 구축• : 기존 운영중인 모바일 서비스 없음• : 기존 개발된 완성차 품질 업무에 대해 모바일 서비스 아키텍처 개발 및 Agile 운영 환경 구축• : 네이티브 모바 일 앱상 동 작하는 하이브리드 앱 개발 방법론 제시.,"• 인프라 : CI/CD 파이프라인 활용• AOS : java , 코틀린• IOS : Swift• 안드로이드 와 IOS의 다년간의 경험으로 신규시스템을 구축 하고 ""모바일웹 하이브리드 웹"" 서비스의 아키텍처 및 운영 환경 제안 및 구축/리딩 역량.","• React, springBoot• 컨플루언스 , Jira 사용."
빗썸,• 빗썸 App(Android) 개발.,"• 3년 이상의 안드로이드 네이티브 개발 경력을 보유하신 분• Kotlin과 Java를 능숙하게 사용하실 수 있으신 분• 안드로이드 UI/UX 가이드라인에 대한 높은 이해도를 보유하신 분• MVP, MVVM 디자인 패턴 적용 경험과 DI 라이브러리 (Dagger Hilt, Koin) 활용 능력을 보유하신 분• Android Jetpack 라이브러리 (ViewModel, LiveData, Room, Navigation Component, Paging, DataBinding 등) 사용이 가능하신 분• 오픈소스 라이브러리 (Retrofit, Glide, Lottie 등) 사용 경험이 있으신 분• HTTP/HTTPS 네트워크 통신과 RESTful API에 대한 기본 지식 및 활용 가능하신 분• 클린 아키텍처(Clean Architecture)에 대한 이해 및 적용 경험을 보유하신 분.","• 앱 서비스의 설계, 개발 및 운영 전 과정에 대한 경험이 있으신 분• Web Socket을 활용한 네트워크 통신 경험이 있으신 분• Reactive 프로그래밍 및 코루틴 적용 경험이 있으신 분• CI/CD 체계에 대한 이해와 실무 경험이 있으신 분• 오픈소스 라이브러리 커스터마이징 경험이 있으신 분• 대규모 B2C 서비스 개발 및 운영 경험이 있으신 분• 긴급 상황이나 이슈 대응에 유연하고 침착하게 대처하실 수 있는 분• 코드 리뷰와 기술 공유에 적극적으로 참여하며 팀 성장에 기여하실 수 있는 분• 안드로이드 최신 기술 트렌드에 대한 지식이 있으신 분."
리디(RIDI),"• 네이티브 기반 사용자 앱 서비스 설계하고 개발합니다.• 서비스를 안정적으로 유지하기 위한 자동화 및 유지보수를 수행합니다.• 더 나은 서비스를 위한 새로운 기술 도입, 구조 개선, 성능 최적화 등의 다양한 시도를 합니다.",• iOS 또는 Android 프로덕트 및 피쳐 개발 경험을 해오신 분• 기술에 대한 편견 없이 프로젝트에 적합한 기술을 사용하여 개발하는 것을 선호하시는 분.,"• 6개월 이상의 자사 서비스 유지보수 경력이 있으신 분• 플랫폼(iOS or Android) 고유의 특성에 대한 이해• 프로세스 자동화나 지속 가능하고 효율적인 유지보수에 대해 고민하고 시도하시는 분• 성능 최적화 및 더 나은 사용성을 위해 끊임없이 고민하고 연구하시는 분• MVVM, Clean Architecture 등 다양한 디자인 패턴에 고민하고 연구하시는 분• React 또는 React Native를 활용한 개발 경험이 있으신 분• 콘텐츠 소비나 서비스 개발을 즐기시는 분• 자유로운 근무환경에서 스스로의 목표와 일정을 관리할 수 있으신 분• 배움에 대한 열정을 갖고, 지속적이고 효과적으로 피드백을 주고 받으시는 분• 맡은 작업에 대한 오너십을 갖고, 이를 완성시키는 일에 열정이 있으신 분."
트리플콤마(골드스푼),"• Flutter 를 사용하여 ‘재팬’ 앱 서비스 개발• 백엔드 개발자와 커뮤니케이션하며 모바일 앱 설계• 신규 기능 개발, 지속적인 개선, 더 높은 퍼포먼스를 위한 고도화.","• 모바일앱 1년 이상 혹은 그에 준하는 실력을 보유한 분• Flutter/Dart 기반 모바일 앱 개발 경험• 상태관리 Riverpod 활용 경험• RESTful API 활용하여 서비스 개발 경험이 있으신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분(일본 시장 중심 서비스 특성상, 일본어 활용 경험이 있으시거나 관심이 있는 분을 환영합니다.).","• 일본 시장 서비스나 콘텐츠에 익숙한 분• 일본어로 기본적인 커뮤니케이션이 가능한 분 (비즈니스 수준 우대)• 글로벌 환경에서 협업 경험이 있으신 분• 프로젝트를 처음부터 끝까지 참여하고 운영까지 경험해 본 분• Android 또는 iOS 환경에 대한 높은 이해도를 보유하신 분• 새로운 기술을 접하는데 주저함이 없는 분• 다양한 플랫폼 개발 경험을 가지신 분• 사용자 대상의 서비스 설계,개발, 런칭 및 운영 경험이 있으신 분• 안정적이고 퍼포먼스 높은 앱을 개발하기 위해 지속적으로 학습하시는 분."
이지케어텍,"• 자사 의료정보시스템 BESTCare, EDGE&NEXT 등과 연동되는 애플리케이션 개발 및 유지보수• 의료진·환자용 앱(UI/UX) 개발 및 병원 업무 프로세스 모바일화 추진• 의료데이터 연동(API, FHIR 등) 및 실시간 정보 조회 기능 개발• 신규 기능 기획·설계·개발 및 성능 개선• 클라우드 환경(AWS, OCI, Private Cloud 등) 기반 모바일 서비스 배포 및 운영 자동화• 사용자 피드백을 반영한 UI/UX 개선 및 품질 고도화.","• 경력 2년 이상• 모바일 앱 개발 경력 (Flutter, Android, iOS)• Dart, Kotlin, Java, Swift, Objective-C 중 1개 이상 숙련• RESTful API, JSON, WebSocket 등 서버 연동 개발 경험• Git, Jira, Jenkins 등 협업·형상관리 툴 사용 경험• 의료정보시스템 또는 기업형(엔터프라이즈) 앱 개발 경험• 의료정보시스템 또는 기업형(엔터프라이즈) 앱 개발 경험.","• Flutter, React Native 등 Cross-platform Framework 활용 경험자• 의료기관용 모바일 서비스(의사 처방, 간호 업무, 환자 포털 등) 개발 경험자• 엔터프라이즈 환경의 폐쇄망, 온프레미스, 클라우드 인프라 환경 경험자• UI/UX 설계, 디자인 시스템 이해 및 사용자 경험 중심 개발 역량 보유자• 보안 인증, 개인정보 보호 등 모바일 보안정책 적용 경험자• 의료정보 표준(FHIR, HL7 등) 및 API 연동 이해자."
중고나라,[입사 후 맡게 될 주요 업무에요]• Flutter 기반으로 중고나라 iOS/Android 앱을 개발하고 유지보수해요.• 사용자 경험 개선을 위한 UI/UX 구현과 최적화를 진행해요.• RESTful API를 연동하고 효율적인 상태 관리를 구현해요.• 앱 성능을 최적화하고 안정성을 강화하며 코드 리뷰에 참여해요.,[이런 분과 함께하고 싶어요]• 3년 이상의 앱 개발 경력 또는 이에 준하는 경험을 가지신 분이 필요해요.• iOS/Android 플랫폼에 대한 이해가 있으신 분이 필요해요.• RESTful API 연동 개발 경험이 있으신 분이 필요해요.• Git/GitHub를 활용한 협업 경험이 있으신 분이 필요해요.• 앱 UX/UI에 대한 높은 이해도를 가지신 분이 필요해요.,"[이런 경험이 있다면 더 좋아요]• Riverpod, GetX 등 상태관리 라이브러리를 사용해 본 경험이 있으면 좋아요. • 클린 아키텍처, MVVM, MVC 등 디자인 패턴을 적용해 본 경험이 있으면 좋아요. • Android 또는 iOS 네이티브 개발 경험이 있으면 좋아요. • 앱 성능 최적화 및 메모리 관리 경험이 있으면 좋아요. • CI/CD 파이프라인 구축 및 운영 경험이 있으면 좋아요. • E-Commerce(특히 C2C) 서비스 개발 경험이 있거나 관심이 많으면 좋아요."
해빗팩토리,"[해빗팩토리 클라이언트(App) 엔지니어는 무슨 일을 하나요?]• 시그널플래너 고객용/설계사 앱을 운영하고 신규 서비스를 개발해요.• Android 네이티브 앱 및 React Native 기반 기능을 함께 개발해요.• 슬랙, 노션 등을 통해 개발 이슈 공유 및 커뮤니케이션을 진행해요.[해빗팩토리 클라이언트 팀은 이렇게 일해요]• 현재 5명의 엔지니어(iOS 3, Android 2)가 일하고 있어요.• 자기주도적인 개발 문화를 가지고 있어요.• 서로를 존중하는 수평적 조직문화 속에서 누구나 아이디어를 제시할 수 있어요.• 개발자 주도의 다양한 스터디를 정기적으로 진행해요.• 팀 중심보다는 제품/프로젝트 중심의 프로세스로 일해요.• 주기적으로 워크숍을 진행하여 기술 공유 및 회고를 통해 함께 성장해요.• 기존 네이티브(iOS/AOS)로 된 서비스에 부분적으로 React Native Integration을 진행하고 있어요.","[해빗팩토리는 이런 분을 찾아요!]• Google Play 배포 경험 및 Android 개발 유지보수 경력 1년 이상 보유하신 분 혹은 그에 준하는 실력을 보유하신 분• Android 플랫폼과 Kotlin/Java, Android Studio, Jetpack Compose에 대한 이해가 있으신 분• React Native 프로젝트 경험(또는 크로스 플랫폼 경험)이 있으시거나 배울 의지가 있으신 분• 동료들과 존중을 기반으로 한 커뮤니케이션이 가능하신 분• 수동적이지 않고 자기 주도적인 업무가 가능하신 분 • 동료들과 협력하여 멋진 서비스를 만들어 나가고 싶으신 분.","[해빗팩토리는 이런 분을 환영해요!]• 마이데이터 관련 개발/운영 경험자• Android 네이티브와 React Native 브릿지 개발 경험자• 성능 최적화 및 테스트 코드 작성 경험자• 자기계발에 열정적이고, 지속적인 성장에 가치를 두는 인재• 시간 관리와 근태가 뛰어나며, 팀 내에서 협력과 배려를 중요시하는 분해당 자격 요건을 모두 잘 하실 수 있는 분을 모시는 것이 아닙니다.함께 빠르게 학습하고 배워가실 수 있으시다면 지원 부탁드립니다."
토스플레이스,"[합류하면 함께할 업무예요]• 오프라인 결제 시장에 디지털 혁신을 만들고, 이를 통해 아름다운 결제 경험을 제공하는 Android 서비스를 개발해요.• Product Owner, Product Designer, Server Developer, Hardware Engineer 등 다양한 직군의 동료들과 협업 하여 토스플레이스 결제 단말기의 Android 서비스를 개발해요.• 토스만의 고유한 디자인 시스템인 TDS(Toss Design System)를 활용해 어떠한 서비스라도 1분 만에 UI를 완성하고 오직 핵심 로직에만 집중할 수 있어요.",[이런 분과 함께하고 싶어요]• 상용 서비스 개발 경험이 있으시면 좋아요.• Kotlin 개발 경험이 있는 분을 찾아요.• 안드로이드의 UI/UX 가이드라인에 대한 이해도가 높은 분을 찾아요.,"[이력서는 이렇게 작성하시는 걸 추천해요]• 제품의 품질과 안정성에 높은 책임감을 가지고 주도적이고 지속적으로 개선한 경험이 있으면 알려주세요.• 기술과 도메인에 대한 이해를 바탕으로 고객의 삶에 가치를 더하기 위해 치열하게 몰입해 본 경험을 가장 중요하게 생각해요.• 안드로이드와 모바일 전반에 대한 풍부한 이해를 바탕으로 최적화된 인터페이스 설계를 지향하는 분이면 좋아요.[토스플레이스에서 사용하는 기술]• Kotlin, Kotlin Coroutines• Jetpack Compose, TDS (Toss Design System)• Model-View-Whatever."
딜라이트룸(Alarmy),• 성공적인 아침을 만드는 모닝 웰니스 앱 Alarmy 개발• 성공적인 아침을 만들어주는 기능을 높은 품질로 빠르게 개발 및 관리• 사용자 가치 중심을 둔 적정기술을 사용.,"• Android 개발 경력 5년에 준하는 실력을 보유하신 분을 원해요.• Clean Architecture에 대한 이해도가 높으신 분을 원해요.• 모듈화 및 테스터블한 개발에 익숙하신 분을 원해요.• 사용자 중심의 사고를 하며, 제품을 개발하시는 분을 원해요.• 자율적이며 성장을 지향하고, 커뮤니케이션이 원활하신 분을 원해요.• 동료와 배움을 적극적으로 나누시는 분을 원해요. (멘토링, 코칭).","• Jetpack, Compose, Coroutine에 대한 이해도가 높으신 분이시라면 더 좋아요.• 프로세스 자동화에 전문성이 있으신 분이시라면 더 좋아요.• 글로벌 및 대규모 서비스를 개발해보신 분이시라면 더 좋아요.• 광고 및 인앱결제 구현 경험 및 도메인 전문성이 있으신 분이시라면 더 좋아요.• 수면, 습관, 루틴 등 개인 생산성에 관심이 높으신 분이시라면 더 좋아요."
에스비아이코스머니(SBIcosmoney),[주요업무]• 자사 서비스 안드로이드 기반 모바일 앱 개발 및 유지• REST API 연동 및 앱 배포.,"• Android 모바일 앱 개발 경력 5년 이상, 혹은 그에 준하는 실력을 가지신 분• Java / Kotlin에 대한 이해 및 개발 경험이 있으신 분• 앱 개발, 등록, 서비스까지 모든 작업을 경험하신 분• 신규 기능 정의 및 개발을 위해 유관 부서와의 협업 경험이 있는 분.","• 핀테크 서비스 관련 앱 개발 경험• 앱스토어 등록 경험, 테스트 및 코드 리뷰 경험• 디자인 패턴, 리팩토링에 대한 기본 지식이 있는 분."
