기업명,주요업무,자격요건,우대사항
겟스마트,기존 서비스 및 기존 서비스의 백엔드 개발·운영서비스 성능 개선 및 안정성 확보API 설계 및 쿼리 최적화프론트엔드·기획·디자인 등 타 팀과의 협업.,"• 웹 서비스 개발 경력 3년 이상2. 하나 이상의 백엔드 언어/프레임워크 경험(Java/Spring, Node.js, React, Vue. js)3. RDBMS(PostgreSQL, MSSQL 등) 사용 경험4. REST API 설계 및 개발 경험5. Git 기반 협업 경험 우대.","스타트업 또는 애자일 환경에서의 개발 경험이 있고, 커뮤니케이션 능력 및 문제 해결 능력이 우수한 분."
바이오리서치에이아이,"• React, TypeScript를 활용한 웹 서비스의 유저 인터페이스 개발 및 개선• 컴포넌트 기반 아키텍처 설계 및 구현을 통한 재사용 가능한 UI 시스템 구축• 웹 성능 최적화 및 크로스 브라우저 호환성 보장을 통한 일관된 유저 경험 제공• 협업을 통한 효율적인 API 연동 및 사용자 경험 향상.","• 1~3년차 웹 프론트엔드 직군 관련 경험 혹은 그에 준하는 실력이 있으신 분 • HTML, CSS, Typescript, Javascript에 대한 이해도가 있으신 분• React.js, Next.js 및 상태 관리 도구를 활용한 프로젝트 개발 경험자• 차트 라이브러리(D3.js, recharts 등)를 다루어본 경험이 있는 분• 전역상태관리, Tanstack-Query 사용 경험이 있으신 분• Styled-Components를 통한 UI 작업 경험자• Git 기반 협업 및 코드 리뷰 문화에 익숙한 분[인재상]• 빠른 페이스의 스타트업 조직에서 비즈니스 목적에 맞는 설계 및 개발이 가능하신 분• 문서 정리를 좋아하시는 분• 주도적인 일정관리에 능하신 분• 새로운 기술에 관심이 많고 꾸준히 스스로 학습하시는 분• 긍정적 사고와 책임감을 바탕으로 원활한 커뮤니케이션을 하시는 분• 개발 지식을 공유하는 것을 좋아하시는 분[기술스택]• Frontend: TypeScript, React, Next.js, Styled-components, Tanstack-Query, D3.js, Recharts, Monorepo (Yarn Berry), GitHub Actions, Playwright, Storybook• Tools: Jira, Confluence.","• 최신 AI 개발 도구를 활용해 생산성을 높이고자 하는 분• 컴포넌트 설계 및 재사용 가능한 UI 구조 설계 경험이 있는 분• 웹 성능 최적화(코드 스플리팅, 렌더링 최적화 등)에 대한 깊은 이해와 경험이 있는 분• 테스트 코드 작성 및 테스트 관련 지식을 보유하신 분• SPA/SSR/SEO에 대한 경험과 이해도가 높으신 분• CI/CD 환경에서 배포 자동화를 구축·운영해본 경험이 있으신 분• 사용자 데이터 분석 도구(GA 등)를 활용한 데이터 기반의 서비스 개선 경험이 있는 분."
유닛블랙,"[이런 일을 해요]• 개발 및 유지·보수＞＞ Next.js 기반의 고도화된 경정청구 플랫폼• 협업 및 고객 경험 개선＞＞ 기획·디자인 파트와 협업하여 최적의 고객 경험 제공• 어드민 구축＞＞ 세무 전문가들을 위한 시스템 어드민 개발• 서비스 기술 지원＞＞ 환급 서비스 외 유닛블랙이 운영하는 다양한 사내 서비스[개발 환경은 어떤가요?]• 언어 : Typescript• 프레임워크: NextJs, React • 클라우드: AWS • 업무 도구: Github, VSCode • 빌드, 배포: Github CI, ArgoCD • 모니터링: EFK(Elasticsearch, Fluentbit, Kibana) • 코드리뷰: Github PR(/w Graphite).","• 프론트엔드 개발 경력 3년 이상이신 분• React, NextJs 로 프로덕션 서비스 코드 작성을 해 보신 분• 프론트엔드의 안정성에 대한 고민이 있으신 분• 빌드 패키징과 번들링에 대한 이해도가 있으신 분• 유지보수 가능한 코드를 지향하시는 분.","• RxJs 등을 이용하여 Stream 을 다뤄보신 분• React 외에 Svelte, Solid, Qwik 을 사용해 보신 분• 고성능을 요구하는 웹 클라이언트를 개발해 보신 분• WASM 을 활용해 보신 분 • Claude code 등 AI 툴을 사용해서 개발을 해 보신 분."
유닛블랙,"[이런 일을 해요]• 개발 및 유지·보수＞＞ 고도화된 비동기 프로세스 파이프라인 기반의 경정청구 플랫폼• 프로세스 분석 및 기능 개발＞＞ 세무 전문가와 협업하여 실무 프로세스를 반영한 기능 및 보조 툴 • 시스템 설계·개발＞＞ 늘어나는 트래픽을 안정적으로 처리할 수 있는 아키텍처• 어드민 및 API 개발＞＞ 세무 전문가들이 활용할 수 있는 어드민 시스템과 보조 API• 서비스 기술 지원＞＞ 환급 서비스 외 유닛블랙이 운영하는 다양한 사내 서비스[개발 환경은 어떤가요?• 언어 : Typescript • 프레임워크: NestJS • 클라우드: AWS • 데이터 저장소: Mysql, Redis, DynamoDB, Airtable, Google Drive, S3• 업무 도구: Github, Graphite, IntelliJ, Docker • 빌드, 배포: Github CI, ArgoCD• 모니터링: EFK(Elasticsearch, Fluentbit, Kibana)• 코드리뷰: Github PR(/w Graphite).","• 백엔드 개발 경력 5년 이상이신 분• Node.js 기반 프로덕션 서비스 개발 경험이 있는 분• 테스트 코드 작성 및 코드 품질 관리 경험을 보유한 분• 고가용성·분산처리 등 대규모 트래픽 처리 아키텍처 설계·운영 경험이 있는 분• AWS 등 클라우드 환경에서의 서비스 구축·운영 경험을 보유한 분• CI/CD 파이프라인(Jenkins, GitHub Actions 등) 구성 및 운영 경험이 있는 분.",• Functional programming 에 대한 개념이 있으신 분• k8s를 경험해 보신 분• 고가용성/대용량 처리를 해 보신 분• Claude code 등 AI 툴을 활용하여 개발을 해 보신 분.
쿠팡,"• Product Owner, UX Designer, SW Engineer와 협업하여 Frontend Product을 개발 및 운영• 시스템 디자인 리뷰 및 코드 리뷰 참여• 시니어 개발자들과 시스템 디자인 논의에 참여.","• Web Frontend 개발 분야 7년 이상• JavaScript(ES6), TypeScript, HTML5, CSS, React, Redux, Vue.js, Angular 등 경험• Next.js 및 AWS 운영 경험 (필수)• Webpack, Babel, Jest, Storybook 등 경험• 웹표준 및 브라우저 호환성 이해• 고가용성, 확장성, 재사용성 높은 UI 컴포넌트 제작 경험• 복잡하거나 익숙하지 않은 코드 분석 및 작업 능력• 사용성, Lean UX 설계, 개념적 모델링, 트렌드에 대한 이해.","• 긍정적 태도, 서비스 개선 열의, 자기주도적 성장 가능성• 협업 능력 및 커뮤니케이션 스킬• 애자일 소프트웨어 방법론 경험• 클라이언트 성능 최적화를 위한 브라우저 로딩/렌더링 최적화 경험• SPA, SSR, 인앱브라우저 환경 개발 경험• Node.js, Express, NestJs 기반 웹 개발 경험• 대규모 서비스 설계, 구축, 운영 경험• Git 및 CI/CD 도구 활용 경험• Spring Framework 경험• Microservice Architecture 기반 서비스 개발 경험• Open API SDK 등 라이브러리 개발 경험."
북스파이더,"• 시스템 설계, 서버 개발 및 운영 담당• 클라우드 인프라 및 DB 관리• 효율적이고 안정적인 서비스 운영을 위한 인프라 구조 및 성능 개선• 서버 성능 개선(코드 리팩토링, 아키텍쳐 개선 등).","• 파주 출퇴근 가능하신분• 자료구조, 알고리즘, 네트워크, 보안 등 기본적인 컴퓨터 공학 지식을 보유하신 분• Java 및 Spring 프레임워크를 이용한 Web Application 개발 경험하신 분• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험이 있으신 분• RESTful API에 대한 충분한 이해와 개발 경험이 있으신 분• RDBMS/NoSQL에 대한 충분한 이해와 설계 경험이 있으신 분• AWS 기반 클라우드 환경에서 다양한 서비스 경험이 있으신 분• 도메인 주도 설계(DDD) 개발 경험이 있으신 분• 이벤트소싱에 대한 이해와 개발 경험이 있으신분• CQRS의 이해와 개발 경험이 있으신분• 마이크로서비스(MSA) 경험이 있으신 분.","• Axon Framework, Axon Server를 적용하여 개발 경험 있으신분."
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""• 확장 가능한 프론트엔드 아키텍처 설계 및 구현 • Micro Frontends 아키텍처 설계 및 운영 • 도메인 기반의 모듈 설계 • 구조적이고 유연한 컴포넌트 설계 및 유지보수• 성능 최적화 및 시스템 안정화 • 서버사이드 렌더링 기반 페이지의 LCP, CLS 성능 개선 • 서버 응답 시간 및 부하 개선 • APM / 에러 모니터링 도구를 활용한 실시간 장애 감지 및 대응• 팀 개발 문화 주도 및 기술 방향성 정의 • 비즈니스 요구사항과 기술적 제약을 고려하여 장기적으로 유지 가능한 기술 스택과 구조를 설계 • 설계 리뷰, 개발 세미나, 기술 문서화 등의 개발 문화 주도.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• React, Next.js 등 현대 프론트엔드 프레임워크에 대한 깊은 이해와 실무 경험이 있으신 분• 서버사이드 렌더링(SSR) 환경에서의 페이지 렌더링 최적화 및 퍼포먼스 개선 경험이 있으신 분• HTML, CSS, JavaScript, HTTP 등 웹의 기본 기술 스택에 대한 탄탄한 이해를 보유하신 분• 도메인 중심 설계(Domain-oriented Design) 기반의 구조적이고 유연한 UI 설계 경험이 있으신 분• 디자인 패턴, 클린 코드 원칙, SOLID 등의 소프트웨어 설계 원칙에 대한 이해와 적용 경험이 있으신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• Micro Frontends 아키텍처의 설계 및 운영 경험이 있으신 분• APM 도구(Sentry, Datadog 등)를 활용한 실시간 모니터링/장애 대응 경험이 있으신 분• 대규모 프로젝트에서 기존 코드베이스를 기반으로 점진적인 마이그레이션을 수행한 경험이 있으신 분• 기술 세미나, 설계 리뷰, 문서화 등 팀 내에서 기술적 기준을 세우고 리딩한 경험이 있으신 분 | 미리디에서 활용하는 기술 스택 미리캔버스 프론트엔드팀은 최신 기술을 적극적으로 도입하며, 팀원들과 함께 최적의 스택을 고민하고 적용합니다.• 코어: React, Typescript, Next.js• 상태관리: jotai, React-Query• 스타일링: styled-components• 빌드: Turborepo, Vite, Webpack, Rollup• CI/CD: GitHub Actions | 이력서에 이런 내용을 함께 공유해주시면 좋아요!• 단순히 어떠한 기술을 사용할 줄 아는지 에 대한 내용보다, 다양한 기술을 어떻게 활용하여 어떠한 문제를 해결했는지 경험에 기반하여 서술해주시면 좋아요.• 지원자님의 경력 중 가장 임팩트 있었던 경험이나, 큰 실패를 극복한 과정에 대해 공유해 주세요.• 오픈소스 라이브러리 기여 경험이나, 코드 분석 후 적용 경험이 있다면 알려 주세요.• 팀의 생산성을 저하시키는 문제를 발굴하고 개선한 경험이 있다면 서술해주시면 좋아요. | 미리캔버스 프론트엔드팀과 함께 하면 좋은 이유• 코드 리뷰를 넘어서 다양한 기술에 대한 토론과 문제 해결을 경험하며 빠르게 성장할 수 있어요.• 설계 리뷰를 통해 구현 전 단계에서 발생할 수 있는 문제를 사전에 방지하고, 체계적인 코드 리뷰 시스템을 운영하고 있어요.• 빠르게 성장하는 서비스에서 다양한 기술 스펙과 요구사항을 경험하고, 수많은 어플리케이션이 유연하게 확장하는 경험을 함께 할 수 있어요.• 최신 기술과 개발 방법론을 함께 학습하고, 필요하다면 직접 서비스에 적용하는 환경에서 일할 수 있어요."
미리디,"• 누구나 쉽게 디자인 할 수 있는 편집 환경을 제공 • 직관적이고 사용하기 쉬운 인터페이스를 제공하여, 사용자가 복잡한 편집 기능을 쉽게 활용할 수 있도록 합니다.• 유연하고 재사용 가능한 프레임워크 개발 • 기능을 넘어 구조를 고민합니다. 도메인 경계 정의, 상태/데이터 흐름 설계, 점진적 리팩터링으로 변화에 강한 코드베이스를 만듭니다.• 성능 최적화 및 유지보수 • 입력 지연·롱태스크·불필요한 리렌더를 줄여 체감 반응성을 개선합니다. 필드 지표(LCP/INP 등)로 측정하고 결과로 대화합니다.• 팀 개발 문화 및 코드 품질 향상 • 작은 단위의 PR, 설계/코드 리뷰, 테스트·자동화로 안정적 속도를 유지합니다. • 문제를 빠르게 쪼개고 가설을 세워 실험하며, 배포 전후 변화량을 추적합니다.","• 한 가지 이상 프론트엔드 프레임워크(예: React/Vue/Svelte 등)로 사용자 기능을 끝까지 구현해 본 경험이 있으신 분• 설계의 언어에 익숙함: 경계/책임 분리, 의존성 다루기, 테스트 가능한 구조에 대한 관심이 있으신 분• 측정 -＞ 가설 -＞ 개선의 문제해결 방식에 익숙하신 분• 함께 일하기 좋은 습관을 갖고 계신 분 (작은 PR, 명확한 커뮤니케이션, 리뷰와 기록 등)• 그래픽·2D 스택 전부를 알고 있을 필요는 없습니다. 빠르게 배우고 성장하려는 태도를 더 중요하게 생각합니다.","• 대규모 상호작용/렌더링 최적화(가상화, 배치 업데이트, 롱태스크 분할 등) 경험이 있으신 분• MVC/MVP/MVVM 등 패턴 기반 설계와 테스트 경험이 있으신 분• 해당 경험이 없어도 괜찮습니다. 입사 후 함께 익히며 성장할 수 있습니다.| 미리디에서 활용하는 기술 스택 미리캔버스 웹 에디터 팀은 최신 기술을 적극적으로 도입하며, 팀원들과 함께 최적의 스택을 고민하고 적용합니다.• 코어: React, Typescript, Next.js• 상태관리: jotai, React-Query• 스타일링: styled-components• 빌드: Turborepo, Vite, Webpack, Rollup• CI/CD: GitHub Actions."
미리디,"| 함께할 업무에요• 홈페이지, 템플릿 페이지, 미리클 (AI 기능 페이지) 등의 앱을 개발해요 • 홈페이지 : http://miricanvas.com/ • 템플릿 페이지 : http://miricanvas.com/templates • 미리클 : http://miricanvas.com/miricle• 스쿼드에서 새로운 기능을 개발해요 • 템플릿, AI 등 유저의 디자인 편집 경험 관련 기능을 개발해요 • ABT를 활용해 그로스 실험을 해요• 팀에서 기존 기능을 개선해요 • MSA를 위해 모듈화를 진행해요 • LCP와 같은 성능관련 지표를 개선해요| 저희가 사용하는 기술들이에요• 코어: React, Typescript, Next.js• 상태관리: jotai, React-Query• 스타일링: styled-components• 빌드: Turborepo, Vite, Webpack, Rollup• CI/CD: GitHub Actions.","| 이런 분이면 좋겠어요• 맡은 프로덕트에 책임을 가지고 다른 직군들과 소통하며 주도적으로 프로덕트를 만드시는 분• 확장 가능한 구조를 고민하고 작업하시는 분• 문서화, 대화를 통해 작업에서 배운 것을 공유하시는 분• 테스트 코드의 필요성을 느끼고 작성 하시는 분• SEO 관련 지식을 갖추신 분• 서버 사이드 렌더링에 대해 이해하신 분.","| 이력서에 아래 내용을 함께 공유해주시면 좋아요• 깃허브, 블로그, 그 외 SNS 주소• 출시한 프로덕트를 확인할 수 있는 주소• 경력 중 임팩트 있었던 경험이나, 실패를 극복한 과정• 팀 생산성을 개선한 경험• 오픈소스 라이브러리 기여 경험이나, 코드 분석 후 적용 경험."
오케스트로,"• AI 인프라 서비스 포털 및 사용자 대시보드 개발• Vue3 / React 기반 SPA 아키텍처 설계 및 구현• AI 워크플로우 관리/자동화 기능 UI 설계(예: Dataset 업로드, Fine-tuning 워크플로우, Model Registry 연동 등)• 재사용 가능한 컴포넌트/디자인 시스템 기반 개발 및 성능 최적화.","• 3년 이상의 프론트엔드 개발 경험• Vue3 또는 React(Next.js) 기반의 SPA/SSR 서비스 구축 경험• TypeScript, Modern CSS, Webpack/Vite 등 모던 프론트엔드 빌드 환경 이해• REST/gRPC API 연동 및 비동기 데이터 처리 경험• Recoil, Zustand, Pinia, React Query 등 상태 관리 라이브러리 활용 경험• 차트/대시보드 등 데이터 시각화(Chart.js, ApexCharts, D3 등) 경험.","• 클라우드 또는 AI 인프라 관리 포털 개발 경험 (Kubernetes, MLOps, GPU Dashboard 등)• WebSocket 기반 실시간 데이터 렌더링 및 성능 최적화 경험• BFF(Backend for Frontend) 아키텍처 설계 및 GraphQL 연동 경험• UX 관점에서의 사용자 여정 설계 및 UI 인터랙션 구현 능력• 대규모 데이터셋 시각화 및 렌더링 성능 개선 경험."
